classification_id,category_num,classification_origin
WCLS10621,0,gpt_5_6_subagent_rowwise
WCLS10622,0,gpt_5_6_subagent_rowwise
WCLS10623,0,gpt_5_6_subagent_rowwise
WCLS10624,0,gpt_5_6_subagent_rowwise
WCLS10625,0,gpt_5_6_subagent_rowwise
WCLS10626,3,gpt_5_6_subagent_rowwise
WCLS10627,0,gpt_5_6_subagent_rowwise
WCLS10628,0,gpt_5_6_subagent_rowwise
WCLS10629,3,gpt_5_6_subagent_rowwise
WCLS10630,0,gpt_5_6_subagent_rowwise
WCLS10631,1,gpt_5_6_subagent_rowwise
WCLS10632,2,gpt_5_6_subagent_rowwise
WCLS10633,3,gpt_5_6_subagent_rowwise
WCLS10634,1,gpt_5_6_subagent_rowwise
WCLS10635,0,gpt_5_6_subagent_rowwise
WCLS10636,3,gpt_5_6_subagent_rowwise
WCLS10637,0,gpt_5_6_subagent_rowwise
WCLS10638,3,gpt_5_6_subagent_rowwise
WCLS10639,3,gpt_5_6_subagent_rowwise
WCLS10640,3,gpt_5_6_subagent_rowwise
WCLS10641,2,gpt_5_6_subagent_rowwise
WCLS10642,0,gpt_5_6_subagent_rowwise
WCLS10643,0,gpt_5_6_subagent_rowwise
WCLS10644,1,gpt_5_6_subagent_rowwise
WCLS10645,3,gpt_5_6_subagent_rowwise
WCLS10646,3,gpt_5_6_subagent_rowwise
WCLS10647,3,gpt_5_6_subagent_rowwise
WCLS10648,3,gpt_5_6_subagent_rowwise
WCLS10649,3,gpt_5_6_subagent_rowwise
WCLS10650,3,gpt_5_6_subagent_rowwise
WCLS10651,3,gpt_5_6_subagent_rowwise
WCLS10652,3,gpt_5_6_subagent_rowwise
WCLS10653,3,gpt_5_6_subagent_rowwise
WCLS10654,3,gpt_5_6_subagent_rowwise
WCLS10655,3,gpt_5_6_subagent_rowwise
WCLS10656,1,gpt_5_6_subagent_rowwise
WCLS10657,1,gpt_5_6_subagent_rowwise
WCLS10658,1,gpt_5_6_subagent_rowwise
WCLS10659,0,gpt_5_6_subagent_rowwise
WCLS10660,0,gpt_5_6_subagent_rowwise
WCLS10661,0,gpt_5_6_subagent_rowwise
WCLS10662,0,gpt_5_6_subagent_rowwise
WCLS10663,0,gpt_5_6_subagent_rowwise
WCLS10664,0,gpt_5_6_subagent_rowwise
WCLS10665,1,gpt_5_6_subagent_rowwise
WCLS10666,1,gpt_5_6_subagent_rowwise
WCLS10667,1,gpt_5_6_subagent_rowwise
WCLS10668,0,gpt_5_6_subagent_rowwise
WCLS10669,0,gpt_5_6_subagent_rowwise
WCLS10670,3,gpt_5_6_subagent_rowwise
WCLS10671,1,gpt_5_6_subagent_rowwise
WCLS10672,1,gpt_5_6_subagent_rowwise
WCLS10673,3,gpt_5_6_subagent_rowwise
WCLS10674,1,gpt_5_6_subagent_rowwise
WCLS10675,1,gpt_5_6_subagent_rowwise
WCLS10676,2,gpt_5_6_subagent_rowwise
WCLS10677,0,gpt_5_6_subagent_rowwise
WCLS10678,2,gpt_5_6_subagent_rowwise
WCLS10679,0,gpt_5_6_subagent_rowwise
WCLS10680,2,gpt_5_6_subagent_rowwise
WCLS10681,2,gpt_5_6_subagent_rowwise
WCLS10682,0,gpt_5_6_subagent_rowwise
WCLS10683,0,gpt_5_6_subagent_rowwise
WCLS10684,0,gpt_5_6_subagent_rowwise
WCLS10685,0,gpt_5_6_subagent_rowwise
WCLS10686,2,gpt_5_6_subagent_rowwise
WCLS10687,0,gpt_5_6_subagent_rowwise
WCLS10688,2,gpt_5_6_subagent_rowwise
WCLS10689,0,gpt_5_6_subagent_rowwise
WCLS10690,1,gpt_5_6_subagent_rowwise
WCLS10691,1,gpt_5_6_subagent_rowwise
WCLS10692,0,gpt_5_6_subagent_rowwise
WCLS10693,0,gpt_5_6_subagent_rowwise
WCLS10694,1,gpt_5_6_subagent_rowwise
WCLS10695,0,gpt_5_6_subagent_rowwise
WCLS10696,0,gpt_5_6_subagent_rowwise
WCLS10697,0,gpt_5_6_subagent_rowwise
WCLS10698,0,gpt_5_6_subagent_rowwise
WCLS10699,0,gpt_5_6_subagent_rowwise
WCLS10700,1,gpt_5_6_subagent_rowwise
WCLS10701,3,gpt_5_6_subagent_rowwise
WCLS10702,0,gpt_5_6_subagent_rowwise
WCLS10703,0,gpt_5_6_subagent_rowwise
WCLS10704,1,gpt_5_6_subagent_rowwise
WCLS10705,1,gpt_5_6_subagent_rowwise
WCLS10706,1,gpt_5_6_subagent_rowwise
WCLS10707,2,gpt_5_6_subagent_rowwise
WCLS10708,1,gpt_5_6_subagent_rowwise
WCLS10709,2,gpt_5_6_subagent_rowwise
WCLS10710,1,gpt_5_6_subagent_rowwise
WCLS10711,1,gpt_5_6_subagent_rowwise
WCLS10712,0,gpt_5_6_subagent_rowwise
WCLS10713,1,gpt_5_6_subagent_rowwise
WCLS10714,1,gpt_5_6_subagent_rowwise
WCLS10715,0,gpt_5_6_subagent_rowwise
WCLS10716,1,gpt_5_6_subagent_rowwise
WCLS10717,1,gpt_5_6_subagent_rowwise
WCLS10718,3,gpt_5_6_subagent_rowwise
WCLS10719,1,gpt_5_6_subagent_rowwise
WCLS10720,0,gpt_5_6_subagent_rowwise
WCLS10721,3,gpt_5_6_subagent_rowwise
WCLS10722,1,gpt_5_6_subagent_rowwise
WCLS10723,1,gpt_5_6_subagent_rowwise
WCLS10724,1,gpt_5_6_subagent_rowwise
WCLS10725,1,gpt_5_6_subagent_rowwise
WCLS10726,0,gpt_5_6_subagent_rowwise
WCLS10727,0,gpt_5_6_subagent_rowwise
WCLS10728,0,gpt_5_6_subagent_rowwise
WCLS10729,3,gpt_5_6_subagent_rowwise
WCLS10730,3,gpt_5_6_subagent_rowwise
WCLS10731,1,gpt_5_6_subagent_rowwise
WCLS10732,3,gpt_5_6_subagent_rowwise
WCLS10733,1,gpt_5_6_subagent_rowwise
WCLS10734,1,gpt_5_6_subagent_rowwise
WCLS10735,1,gpt_5_6_subagent_rowwise
WCLS10736,1,gpt_5_6_subagent_rowwise
WCLS10737,1,gpt_5_6_subagent_rowwise
WCLS10738,1,gpt_5_6_subagent_rowwise
WCLS10739,1,gpt_5_6_subagent_rowwise
