hp_response_id,memory
HP4601,Many cake products i have found to be extortionate and no reductions are ever made due to it being a small business.
HP4602,"It’s like a gym keeping its monthly membership fee at $12, choosing not to raise or lower the price this year.
"
HP4608,This would be a normal charged price in my company.  
HP4609,"Like just leaving the price as it is, no risk no loss, kinda meh but safe"
HP4610,I don't understand the question. Sorry.
HP4611,An empty train when you're exhausted.
HP4612,Giving a waitress a tip in a restaurant
HP4613,"Maintaining the price is like a landlord who does not want to increase his rent after a year. It does not get better or worse, just the status quo."
HP4614,Someone I know nothing about and have no feelings either way
HP4615,I hope I am understanding this right. Oprah giving out free cars to her audience members.
HP4616,Nothing happening in your life requiring money spent. 
HP4617,Making a great tip at work
HP4619,Similar to accepting the original price of a concert ticket without negotiating or changing anything.
HP4620,Buying a product from one dat to the next
HP4622,This would be akin to giving a stranger a gift.
HP4625,A new government in power in the UK 
HP4627,it being equal and not profiting
HP4629,"When i went to haggle at a market in Turkey,  the market trader refused to reduce her price and was firm so the price did not change. "
HP4634,The other person taking the whole cake
HP4637,"If I don't change the price, I don't think it is similar to anything."
HP4643,People always go for the cheap beer nonetheless. It is what it is.
HP4646,it means that you are stuck to the intitial position
HP4647,"This is like a landlord deciding not to raise rent this year—nothing changes, and both sides just continue with the same agreement as before"
HP4648,Two people sitting in a cafe staring at each other.
HP4650,Insisting on full price for a good in perfect condition and with no reason for a discount.
HP4656,really bad i do not like it
HP4661,There is no price difference so the quality stays the same.
HP4663,getting my way every way
HP4665,Giving away my data for free
HP4666,It is a static situation where the price hasn't changed
HP4669,"I find it similar to a subscription like netflix or amazon. It remains the same, theres no difference or sales for their customers. "
HP4670,I Would get the price I asked for that I felt was fair
HP4672,"Doing a lot of the work and being paid nothing extra, feels almost like slavery"
HP4676,$12 is a fair price. No change is needed. This could be similar to someone buying a shirt for $20.
HP4677,The expected price and the actual price of an item of clothing
HP4678,Trading something to a friend. 
HP4679,2 Students go into a school store to buy notebooks that are 12 dollars.
HP4681,I find it similar to an even split since we both get $12 in this situation if I am not mistaken.
HP4682,Being satisfied that the price is fair.
HP4684,This scenario reminds me of set prices set in most businesses. I walk into a store and bought the data plan at the stated price of $12.00. There is no negotiation or changes to the initial price.  
HP4687,"This is a bit unfair on the other participant, as they would get $12-$12 which is $0. This is similar to when one child is left all of their parents' money in their will and another child is left with nothing"
HP4690,Market price. Do not understand
HP4691,imagine changing this price 12
HP4693,A purchase of a newly launched computer game where desire to purchase is not affected by price
HP4694,I find it similar to paying full cost of an item at the shops.
HP4695,I find it similar to walking around in circles.
HP4701,"This reminds me of an intermediary relationship as the other participant would make no commission, merely acting as the middle man between myself and the end consumer."
HP4708,I find it similar to a situation where a store considers adjusting the price of a product but ultimately decides to keep it exactly the same—like a café reviewing its menu prices for the new season and choosing not to raise or lower the cost of a latte.
HP4709,It reminds me of an online check out where the discount code used isnt applicable to a certain item
HP4711,This would mean keeping the starting price. This reminds me of the situation when I bought my first home. We did not barter with the sellers of the property and try and reduce the price; we thought it was fair and they were nice people.
