rater,replicate,context_id,target_game,frame,class,points,share,ratings_source
relative-agent-1,1,T04,DG,Aid,C,305,0.305,round9_dg_c_neutral
relative-agent-1,1,T04,DG,Aid,M,335,0.335,round9_dg_c_neutral
relative-agent-1,1,T04,DG,Aid,S,360,0.36,round9_dg_c_neutral
relative-agent-1,1,T06,DG,Control,C,325,0.325,round9_dg_c_neutral
relative-agent-1,1,T06,DG,Control,M,335,0.335,round9_dg_c_neutral
relative-agent-1,1,T06,DG,Control,S,340,0.34,round9_dg_c_neutral
relative-agent-1,1,T10,DG,Market,C,335,0.335,round9_dg_c_neutral
relative-agent-1,1,T10,DG,Market,M,305,0.305,round9_dg_c_neutral
relative-agent-1,1,T10,DG,Market,S,360,0.36,round9_dg_c_neutral
relative-agent-1,1,T11,DG,Bonus,C,435,0.435,round9_dg_c_neutral
relative-agent-1,1,T11,DG,Bonus,M,350,0.35,round9_dg_c_neutral
relative-agent-1,1,T11,DG,Bonus,S,215,0.215,round9_dg_c_neutral
relative-agent-2,1,T04,DG,Aid,C,260,0.26,round9_dg_c_neutral
relative-agent-2,1,T04,DG,Aid,M,370,0.37,round9_dg_c_neutral
relative-agent-2,1,T04,DG,Aid,S,370,0.37,round9_dg_c_neutral
relative-agent-2,1,T06,DG,Control,C,310,0.31,round9_dg_c_neutral
relative-agent-2,1,T06,DG,Control,M,345,0.345,round9_dg_c_neutral
relative-agent-2,1,T06,DG,Control,S,345,0.345,round9_dg_c_neutral
relative-agent-2,1,T10,DG,Market,C,330,0.33,round9_dg_c_neutral
relative-agent-2,1,T10,DG,Market,M,310,0.31,round9_dg_c_neutral
relative-agent-2,1,T10,DG,Market,S,360,0.36,round9_dg_c_neutral
relative-agent-2,1,T11,DG,Bonus,C,430,0.43,round9_dg_c_neutral
relative-agent-2,1,T11,DG,Bonus,M,380,0.38,round9_dg_c_neutral
relative-agent-2,1,T11,DG,Bonus,S,190,0.19,round9_dg_c_neutral
relative-agent-3,1,T04,DG,Aid,C,285,0.285,round9_dg_c_neutral
relative-agent-3,1,T04,DG,Aid,M,375,0.375,round9_dg_c_neutral
relative-agent-3,1,T04,DG,Aid,S,340,0.34,round9_dg_c_neutral
relative-agent-3,1,T06,DG,Control,C,315,0.315,round9_dg_c_neutral
relative-agent-3,1,T06,DG,Control,M,335,0.335,round9_dg_c_neutral
relative-agent-3,1,T06,DG,Control,S,350,0.35,round9_dg_c_neutral
relative-agent-3,1,T10,DG,Market,C,335,0.335,round9_dg_c_neutral
relative-agent-3,1,T10,DG,Market,M,315,0.315,round9_dg_c_neutral
relative-agent-3,1,T10,DG,Market,S,350,0.35,round9_dg_c_neutral
relative-agent-3,1,T11,DG,Bonus,C,350,0.35,round9_dg_c_neutral
relative-agent-3,1,T11,DG,Bonus,M,390,0.39,round9_dg_c_neutral
relative-agent-3,1,T11,DG,Bonus,S,260,0.26,round9_dg_c_neutral
relative-agent-1,1,T01,TG,Aid,C-C,255,0.255,round8_original
relative-agent-1,1,T01,TG,Aid,C-D,270,0.27,round8_original
relative-agent-1,1,T01,TG,Aid,M-C,235,0.235,round8_original
relative-agent-1,1,T01,TG,Aid,S-D,240,0.24,round8_original
relative-agent-1,1,T02,TG,Control,C-C,275,0.275,round8_original
relative-agent-1,1,T02,TG,Control,C-D,260,0.26,round8_original
relative-agent-1,1,T02,TG,Control,M-C,225,0.225,round8_original
relative-agent-1,1,T02,TG,Control,S-D,240,0.24,round8_original
relative-agent-1,1,T06,UG,Aid,C-C,170,0.17,round8_original
relative-agent-1,1,T06,UG,Aid,C-D,150,0.15,round8_original
relative-agent-1,1,T06,UG,Aid,M-C,240,0.24,round8_original
relative-agent-1,1,T06,UG,Aid,S-C,440,0.44,round8_original
relative-agent-1,1,T07,UG,Control,C-C,270,0.27,round8_original
relative-agent-1,1,T07,UG,Control,C-D,265,0.265,round8_original
relative-agent-1,1,T07,UG,Control,M-C,225,0.225,round8_original
relative-agent-1,1,T07,UG,Control,S-C,240,0.24,round8_original
relative-agent-1,1,T08,UG,Bonus,C-C,260,0.26,round8_original
relative-agent-1,1,T08,UG,Bonus,C-D,210,0.21,round8_original
relative-agent-1,1,T08,UG,Bonus,M-C,350,0.35,round8_original
relative-agent-1,1,T08,UG,Bonus,S-C,180,0.18,round8_original
relative-agent-1,1,T10,TG,Bonus,C-C,335,0.335,round8_original
relative-agent-1,1,T10,TG,Bonus,C-D,205,0.205,round8_original
relative-agent-1,1,T10,TG,Bonus,M-C,320,0.32,round8_original
relative-agent-1,1,T10,TG,Bonus,S-D,140,0.14,round8_original
relative-agent-1,1,T11,UG,Market,C-C,310,0.31,round8_original
relative-agent-1,1,T11,UG,Market,C-D,290,0.29,round8_original
relative-agent-1,1,T11,UG,Market,M-C,150,0.15,round8_original
relative-agent-1,1,T11,UG,Market,S-C,250,0.25,round8_original
relative-agent-1,1,T12,TG,Market,C-C,290,0.29,round8_original
relative-agent-1,1,T12,TG,Market,C-D,260,0.26,round8_original
relative-agent-1,1,T12,TG,Market,M-C,210,0.21,round8_original
relative-agent-1,1,T12,TG,Market,S-D,240,0.24,round8_original
relative-agent-2,1,T01,TG,Aid,C-C,260,0.26,round8_original
relative-agent-2,1,T01,TG,Aid,C-D,240,0.24,round8_original
relative-agent-2,1,T01,TG,Aid,M-C,290,0.29,round8_original
relative-agent-2,1,T01,TG,Aid,S-D,210,0.21,round8_original
relative-agent-2,1,T02,TG,Control,C-C,250,0.25,round8_original
relative-agent-2,1,T02,TG,Control,C-D,250,0.25,round8_original
relative-agent-2,1,T02,TG,Control,M-C,250,0.25,round8_original
relative-agent-2,1,T02,TG,Control,S-D,250,0.25,round8_original
relative-agent-2,1,T06,UG,Aid,C-C,230,0.23,round8_original
relative-agent-2,1,T06,UG,Aid,C-D,200,0.2,round8_original
relative-agent-2,1,T06,UG,Aid,M-C,275,0.275,round8_original
relative-agent-2,1,T06,UG,Aid,S-C,295,0.295,round8_original
relative-agent-2,1,T07,UG,Control,C-C,250,0.25,round8_original
relative-agent-2,1,T07,UG,Control,C-D,250,0.25,round8_original
relative-agent-2,1,T07,UG,Control,M-C,250,0.25,round8_original
relative-agent-2,1,T07,UG,Control,S-C,250,0.25,round8_original
relative-agent-2,1,T08,UG,Bonus,C-C,280,0.28,round8_original
relative-agent-2,1,T08,UG,Bonus,C-D,225,0.225,round8_original
relative-agent-2,1,T08,UG,Bonus,M-C,320,0.32,round8_original
relative-agent-2,1,T08,UG,Bonus,S-C,175,0.175,round8_original
relative-agent-2,1,T10,TG,Bonus,C-C,300,0.3,round8_original
relative-agent-2,1,T10,TG,Bonus,C-D,200,0.2,round8_original
relative-agent-2,1,T10,TG,Bonus,M-C,360,0.36,round8_original
relative-agent-2,1,T10,TG,Bonus,S-D,140,0.14,round8_original
relative-agent-2,1,T11,UG,Market,C-C,260,0.26,round8_original
relative-agent-2,1,T11,UG,Market,C-D,245,0.245,round8_original
relative-agent-2,1,T11,UG,Market,M-C,210,0.21,round8_original
relative-agent-2,1,T11,UG,Market,S-C,285,0.285,round8_original
relative-agent-2,1,T12,TG,Market,C-C,280,0.28,round8_original
relative-agent-2,1,T12,TG,Market,C-D,250,0.25,round8_original
relative-agent-2,1,T12,TG,Market,M-C,230,0.23,round8_original
relative-agent-2,1,T12,TG,Market,S-D,240,0.24,round8_original
relative-agent-3,1,T01,TG,Aid,C-C,260,0.26,round8_original
relative-agent-3,1,T01,TG,Aid,C-D,225,0.225,round8_original
relative-agent-3,1,T01,TG,Aid,M-C,270,0.27,round8_original
relative-agent-3,1,T01,TG,Aid,S-D,245,0.245,round8_original
relative-agent-3,1,T02,TG,Control,C-C,270,0.27,round8_original
relative-agent-3,1,T02,TG,Control,C-D,230,0.23,round8_original
relative-agent-3,1,T02,TG,Control,M-C,270,0.27,round8_original
relative-agent-3,1,T02,TG,Control,S-D,230,0.23,round8_original
relative-agent-3,1,T06,UG,Aid,C-C,245,0.245,round8_original
relative-agent-3,1,T06,UG,Aid,C-D,235,0.235,round8_original
relative-agent-3,1,T06,UG,Aid,M-C,270,0.27,round8_original
relative-agent-3,1,T06,UG,Aid,S-C,250,0.25,round8_original
relative-agent-3,1,T07,UG,Control,C-C,250,0.25,round8_original
relative-agent-3,1,T07,UG,Control,C-D,250,0.25,round8_original
relative-agent-3,1,T07,UG,Control,M-C,250,0.25,round8_original
relative-agent-3,1,T07,UG,Control,S-C,250,0.25,round8_original
relative-agent-3,1,T08,UG,Bonus,C-C,320,0.32,round8_original
relative-agent-3,1,T08,UG,Bonus,C-D,195,0.195,round8_original
relative-agent-3,1,T08,UG,Bonus,M-C,325,0.325,round8_original
relative-agent-3,1,T08,UG,Bonus,S-C,160,0.16,round8_original
relative-agent-3,1,T10,TG,Bonus,C-C,290,0.29,round8_original
relative-agent-3,1,T10,TG,Bonus,C-D,220,0.22,round8_original
relative-agent-3,1,T10,TG,Bonus,M-C,280,0.28,round8_original
relative-agent-3,1,T10,TG,Bonus,S-D,210,0.21,round8_original
relative-agent-3,1,T11,UG,Market,C-C,285,0.285,round8_original
relative-agent-3,1,T11,UG,Market,C-D,250,0.25,round8_original
relative-agent-3,1,T11,UG,Market,M-C,180,0.18,round8_original
relative-agent-3,1,T11,UG,Market,S-C,285,0.285,round8_original
relative-agent-3,1,T12,TG,Market,C-C,270,0.27,round8_original
relative-agent-3,1,T12,TG,Market,C-D,245,0.245,round8_original
relative-agent-3,1,T12,TG,Market,M-C,255,0.255,round8_original
relative-agent-3,1,T12,TG,Market,S-D,230,0.23,round8_original
