set,task,context,receiver_id,value
1,graded,C-UG,B4,45
1,split,C-UG,B4,8
1,graded,C-UG,C4,25
1,split,C-UG,C4,3
1,graded,C-UG,B2,18
1,split,C-UG,B2,0
1,graded,C-UG,B3,55
1,split,C-UG,B3,12
1,graded,C-UG,G3,35
1,split,C-UG,G3,5
1,graded,C-UG,S4,22
1,split,C-UG,S4,0
1,graded,C-UG,G1,45
1,split,C-UG,G1,10
1,graded,C-UG,C2,28
1,split,C-UG,C2,0
1,graded,C-UG,S2,32
1,split,C-UG,S2,3
1,graded,C-UG,S3,32
1,split,C-UG,S3,4
1,graded,C-UG,G2,20
1,split,C-UG,G2,0
1,graded,C-UG,C1,42
1,split,C-UG,C1,8
1,graded,C-UG,C3,35
1,split,C-UG,C3,5
1,graded,C-UG,G4,20
1,split,C-UG,G4,0
1,graded,C-UG,S1,85
1,split,C-UG,S1,22
1,graded,C-UG,B1,80
1,split,C-UG,B1,20
1,graded,M-UG,B4,50
1,split,M-UG,B4,9
1,graded,M-UG,C4,30
1,split,M-UG,C4,3
1,graded,M-UG,B2,20
1,split,M-UG,B2,1
1,graded,M-UG,B3,35
1,split,M-UG,B3,4
1,graded,M-UG,G3,30
1,split,M-UG,G3,3
1,graded,M-UG,S4,55
1,split,M-UG,S4,13
1,graded,M-UG,G1,30
1,split,M-UG,G1,3
1,graded,M-UG,C2,30
1,split,M-UG,C2,3
1,graded,M-UG,S2,35
1,split,M-UG,S2,5
1,graded,M-UG,S3,40
1,split,M-UG,S3,6
1,graded,M-UG,G2,40
1,split,M-UG,G2,7
1,graded,M-UG,C1,35
1,split,M-UG,C1,4
1,graded,M-UG,C3,35
1,split,M-UG,C3,4
1,graded,M-UG,G4,48
1,split,M-UG,G4,10
1,graded,M-UG,S1,38
1,split,M-UG,S1,6
1,graded,M-UG,B1,55
1,split,M-UG,B1,19
1,graded,C-TG,B4,30
1,split,C-TG,B4,4
1,graded,C-TG,C4,30
1,split,C-TG,C4,4
1,graded,C-TG,B2,25
1,split,C-TG,B2,2
1,graded,C-TG,B3,15
1,split,C-TG,B3,1
1,graded,C-TG,G3,40
1,split,C-TG,G3,6
1,graded,C-TG,S4,40
1,split,C-TG,S4,6
1,graded,C-TG,G1,48
1,split,C-TG,G1,9
1,graded,C-TG,C2,60
1,split,C-TG,C2,13
1,graded,C-TG,S2,65
1,split,C-TG,S2,15
1,graded,C-TG,S3,22
1,split,C-TG,S3,3
1,graded,C-TG,G2,55
1,split,C-TG,G2,11
1,graded,C-TG,C1,42
1,split,C-TG,C1,6
1,graded,C-TG,C3,40
1,split,C-TG,C3,5
1,graded,C-TG,G4,52
1,split,C-TG,G4,10
1,graded,C-TG,S1,25
1,split,C-TG,S1,3
1,graded,C-TG,B1,20
1,split,C-TG,B1,2
1,graded,M-TG,B4,52
1,split,M-TG,B4,8
1,graded,M-TG,C4,40
1,split,M-TG,C4,5
1,graded,M-TG,B2,25
1,split,M-TG,B2,2
1,graded,M-TG,B3,15
1,split,M-TG,B3,1
1,graded,M-TG,G3,30
1,split,M-TG,G3,4
1,graded,M-TG,S4,60
1,split,M-TG,S4,13
1,graded,M-TG,G1,30
1,split,M-TG,G1,3
1,graded,M-TG,C2,40
1,split,M-TG,C2,5
1,graded,M-TG,S2,55
1,split,M-TG,S2,11
1,graded,M-TG,S3,25
1,split,M-TG,S3,3
1,graded,M-TG,G2,55
1,split,M-TG,G2,12
1,graded,M-TG,C1,35
1,split,M-TG,C1,4
1,graded,M-TG,C3,32
1,split,M-TG,C3,3
1,graded,M-TG,G4,62
1,split,M-TG,G4,14
1,graded,M-TG,S1,20
1,split,M-TG,S1,2
1,graded,M-TG,B1,45
1,split,M-TG,B1,10
2,graded,C-UG,S2,8
2,split,C-UG,S2,2
2,graded,C-UG,B4,60
2,split,C-UG,B4,14
2,graded,C-UG,C3,10
2,split,C-UG,C3,1
2,graded,C-UG,G2,12
2,split,C-UG,G2,2
2,graded,C-UG,B2,15
2,split,C-UG,B2,3
2,graded,C-UG,C4,8
2,split,C-UG,C4,1
2,graded,C-UG,B1,78
2,split,C-UG,B1,22
2,graded,C-UG,S4,20
2,split,C-UG,S4,3
2,graded,C-UG,S3,15
2,split,C-UG,S3,2
2,graded,C-UG,C1,10
2,split,C-UG,C1,1
2,graded,C-UG,G1,12
2,split,C-UG,G1,2
2,graded,C-UG,G3,18
2,split,C-UG,G3,3
2,graded,C-UG,S1,55
2,split,C-UG,S1,15
2,graded,C-UG,G4,12
2,split,C-UG,G4,2
2,graded,C-UG,B3,75
2,split,C-UG,B3,24
2,graded,C-UG,C2,10
2,split,C-UG,C2,3
2,graded,C-TG,S2,55
2,split,C-TG,S2,13
2,graded,C-TG,B4,30
2,split,C-TG,B4,5
2,graded,C-TG,C3,22
2,split,C-TG,C3,3
2,graded,C-TG,G2,45
2,split,C-TG,G2,10
2,graded,C-TG,B2,25
2,split,C-TG,B2,3
2,graded,C-TG,C4,30
2,split,C-TG,C4,5
2,graded,C-TG,B1,18
2,split,C-TG,B1,2
2,graded,C-TG,S4,25
2,split,C-TG,S4,4
2,graded,C-TG,S3,18
2,split,C-TG,S3,2
2,graded,C-TG,C1,30
2,split,C-TG,C1,5
2,graded,C-TG,G1,55
2,split,C-TG,G1,13
2,graded,C-TG,G3,40
2,split,C-TG,G3,8
2,graded,C-TG,S1,20
2,split,C-TG,S1,3
2,graded,C-TG,G4,48
2,split,C-TG,G4,10
2,graded,C-TG,B3,15
2,split,C-TG,B3,2
2,graded,C-TG,C2,60
2,split,C-TG,C2,12
2,graded,M-TG,S2,55
2,split,M-TG,S2,12
2,graded,M-TG,B4,40
2,split,M-TG,B4,6
2,graded,M-TG,C3,22
2,split,M-TG,C3,3
2,graded,M-TG,G2,48
2,split,M-TG,G2,10
2,graded,M-TG,B2,25
2,split,M-TG,B2,3
2,graded,M-TG,C4,35
2,split,M-TG,C4,5
2,graded,M-TG,B1,18
2,split,M-TG,B1,2
2,graded,M-TG,S4,40
2,split,M-TG,S4,6
2,graded,M-TG,S3,20
2,split,M-TG,S3,3
2,graded,M-TG,C1,28
2,split,M-TG,C1,4
2,graded,M-TG,G1,50
2,split,M-TG,G1,11
2,graded,M-TG,G3,40
2,split,M-TG,G3,7
2,graded,M-TG,S1,22
2,split,M-TG,S1,3
2,graded,M-TG,G4,52
2,split,M-TG,G4,12
2,graded,M-TG,B3,15
2,split,M-TG,B3,2
2,graded,M-TG,C2,55
2,split,M-TG,C2,11
2,graded,M-UG,S2,40
2,split,M-UG,S2,9
2,graded,M-UG,B4,45
2,split,M-UG,B4,11
2,graded,M-UG,C3,25
2,split,M-UG,C3,3
2,graded,M-UG,G2,20
2,split,M-UG,G2,3
2,graded,M-UG,B2,15
2,split,M-UG,B2,2
2,graded,M-UG,C4,30
2,split,M-UG,C4,5
2,graded,M-UG,B1,20
2,split,M-UG,B1,3
2,graded,M-UG,S4,55
2,split,M-UG,S4,14
2,graded,M-UG,S3,50
2,split,M-UG,S3,13
2,graded,M-UG,C1,22
2,split,M-UG,C1,3
2,graded,M-UG,G1,25
2,split,M-UG,G1,4
2,graded,M-UG,G3,35
2,split,M-UG,G3,6
2,graded,M-UG,S1,30
2,split,M-UG,S1,5
2,graded,M-UG,G4,40
2,split,M-UG,G4,9
2,graded,M-UG,B3,25
2,split,M-UG,B3,4
2,graded,M-UG,C2,30
2,split,M-UG,C2,6
3,graded,C-TG,S3,20
3,split,C-TG,S3,0
3,graded,C-TG,S1,45
3,split,C-TG,S1,8
3,graded,C-TG,C2,35
3,split,C-TG,C2,2
3,graded,C-TG,G4,60
3,split,C-TG,G4,15
3,graded,C-TG,G3,35
3,split,C-TG,G3,3
3,graded,C-TG,C1,30
3,split,C-TG,C1,2
3,graded,C-TG,C3,30
3,split,C-TG,C3,2
3,graded,C-TG,B3,20
3,split,C-TG,B3,1
3,graded,C-TG,S4,42
3,split,C-TG,S4,5
3,graded,C-TG,B1,25
3,split,C-TG,B1,3
3,graded,C-TG,C4,30
3,split,C-TG,C4,2
3,graded,C-TG,G1,52
3,split,C-TG,G1,10
3,graded,C-TG,S2,70
3,split,C-TG,S2,20
3,graded,C-TG,B4,42
3,split,C-TG,B4,8
3,graded,C-TG,G2,62
3,split,C-TG,G2,15
3,graded,C-TG,B2,30
3,split,C-TG,B2,4
3,graded,C-UG,S3,30
3,split,C-UG,S3,5
3,graded,C-UG,S1,45
3,split,C-UG,S1,9
3,graded,C-UG,C2,20
3,split,C-UG,C2,2
3,graded,C-UG,G4,25
3,split,C-UG,G4,3
3,graded,C-UG,G3,55
3,split,C-UG,G3,11
3,graded,C-UG,C1,40
3,split,C-UG,C1,6
3,graded,C-UG,C3,40
3,split,C-UG,C3,6
3,graded,C-UG,B3,60
3,split,C-UG,B3,14
3,graded,C-UG,S4,30
3,split,C-UG,S4,4
3,graded,C-UG,B1,62
3,split,C-UG,B1,15
3,graded,C-UG,C4,20
3,split,C-UG,C4,2
3,graded,C-UG,G1,45
3,split,C-UG,G1,8
3,graded,C-UG,S2,15
3,split,C-UG,S2,2
3,graded,C-UG,B4,50
3,split,C-UG,B4,8
3,graded,C-UG,G2,25
3,split,C-UG,G2,3
3,graded,C-UG,B2,22
3,split,C-UG,B2,2
3,graded,M-TG,S3,20
3,split,M-TG,S3,1
3,graded,M-TG,S1,45
3,split,M-TG,S1,7
3,graded,M-TG,C2,30
3,split,M-TG,C2,3
3,graded,M-TG,G4,62
3,split,M-TG,G4,15
3,graded,M-TG,G3,30
3,split,M-TG,G3,3
3,graded,M-TG,C1,28
3,split,M-TG,C1,2
3,graded,M-TG,C3,30
3,split,M-TG,C3,3
3,graded,M-TG,B3,20
3,split,M-TG,B3,1
3,graded,M-TG,S4,50
3,split,M-TG,S4,10
3,graded,M-TG,B1,35
3,split,M-TG,B1,4
3,graded,M-TG,C4,25
3,split,M-TG,C4,2
3,graded,M-TG,G1,45
3,split,M-TG,G1,7
3,graded,M-TG,S2,62
3,split,M-TG,S2,15
3,graded,M-TG,B4,55
3,split,M-TG,B4,10
3,graded,M-TG,G2,60
3,split,M-TG,G2,13
3,graded,M-TG,B2,35
3,split,M-TG,B2,4
3,graded,M-UG,S3,30
3,split,M-UG,S3,6
3,graded,M-UG,S1,42
3,split,M-UG,S1,9
3,graded,M-UG,C2,20
3,split,M-UG,C2,2
3,graded,M-UG,G4,30
3,split,M-UG,G4,4
3,graded,M-UG,G3,45
3,split,M-UG,G3,10
3,graded,M-UG,C1,35
3,split,M-UG,C1,5
3,graded,M-UG,C3,38
3,split,M-UG,C3,6
3,graded,M-UG,B3,58
3,split,M-UG,B3,14
3,graded,M-UG,S4,40
3,split,M-UG,S4,6
3,graded,M-UG,B1,60
3,split,M-UG,B1,15
3,graded,M-UG,C4,22
3,split,M-UG,C4,2
3,graded,M-UG,G1,40
3,split,M-UG,G1,6
3,graded,M-UG,S2,20
3,split,M-UG,S2,2
3,graded,M-UG,B4,55
3,split,M-UG,B4,8
3,graded,M-UG,G2,28
3,split,M-UG,G2,3
3,graded,M-UG,B2,25
3,split,M-UG,B2,2
