classification_id,memory_key,memory
WCLS00001,$0,$0
WCLS00002,$0 you say? that feels like the equivalent of an empty promise.,$0 you say? That feels like the equivalent of an empty promise.
WCLS00003,$00,$00
WCLS00004,"$0? doing nothing for them, literally.","$0? Doing nothing for them, literally."
WCLS00005,$12 the price would stay the same,$12 the price would stay the same
WCLS00006,$2,$2
WCLS00007,$2? buying them a bag of sweeties.,$2? Buying them a bag of sweeties.
WCLS00008,$4,$4
WCLS00009,$4 is similar to 5 but less,$4 is similar to 5 but less
WCLS00010,$4 off a small purchase book,$4 off a small purchase book
WCLS00011,"$4 reminds me of 5 years ago, in 2020 when i used to donate to the wwf charity, i would donate $4 every month","$4 Reminds me of 5 years ago, in 2020 when I used to donate to the WWF charity, I would donate $4 every month"
WCLS00012,$4 the payment would be by taking away 8,$4 the payment would be by taking away 8
WCLS00013,"$4 would be 1/3 of what i have been given. if i had to find a real life situation that's similar, it would be a lawyer's share of a legal settlement. they usually charge 1/3.","$4 would be 1/3 of what I have been given. If I had to find a real life situation that's similar, it would be a lawyer's share of a legal settlement. They usually charge 1/3."
WCLS00014,$4? buying them a decent newspaper.,$4? Buying them a decent newspaper.
WCLS00015,$4? may as well buy them a couple of bags of crisps (chips),$4? May as well buy them a couple of bags of crisps (chips)
WCLS00016,$5,$5
WCLS00017,$6,$6
WCLS00018,$6 each,$6 each
WCLS00019,"$6 is a lovely cup of coffee or 2, depending on where you live. it's not a lot of money really, considering you'd probably pay that for a coffee every other day.","$6 is a lovely cup of coffee or 2, depending on where you live. It's not a lot of money really, considering you'd probably pay that for a coffee every other day."
WCLS00020,$6 is similar to five but more,$6 is similar to five but more
WCLS00021,$6 would make me and the participant the owners of equal share of the original $12. it would be similar to any compromise where the parties wish to be treated equally. maybe like pouring half of my glass of soda into an empty glass and handing it to someone else.,$6 would make me and the participant the owners of equal share of the original $12. It would be similar to any compromise where the parties wish to be treated equally. Maybe like pouring half of my glass of soda into an empty glass and handing it to someone else.
WCLS00022,$6? a basic mcdonalds' meal.,$6? A Basic McDonalds' meal.
WCLS00023,$8,$8
