hp_response_id,memory
HP0801,Buying someone a coffee
HP0802,When I decided not share my winning of the money I won in a darts double game. 
HP0803,"Being offered sweets by our primary school teacher, and I refuse to share some with a classmate next to me."
HP0804,Opening a gift box and it being empty.
HP0805,This would be like going for a meal and my friend eating less but still splitting the bill 50/50.  I would benefit from that transaction.
HP0806,I'm not sure why I would
HP0807,"Sharing your good luck with others, like buying a round of drinks."
HP0808,Nothing - no exchange of money
HP0809,just every day life
HP0810,Not being able to afford to let any of my own money go
HP0811,This is similar to not giving anything to charity when asked. even a small amount wouldn't affect me as much as it would have a positive affect on them. 
HP0812,Sharing money whilst doing a project together but me doing more work so recieving a better reward.
HP0813,If I got a tip at work and didn't share it evenly
HP0814,taking more for myself
HP0815,Someone making sure that they benefit more than the other person 
HP0816,"I find this similar to my older brother getting some money, and then reluctantly giving me a little just to make our parents not get on his case."
HP0817,I would find it similar to buying a couple energy drinks at a gas station.
HP0818,I can't imagine doing that! I suppose it's similar to what some refer to as 'gender pay gap' that women earn less than their male counterparts. 
HP0819,I think this would be generous because I could offer zero but it's also not even half so it's a little bit greedy
HP0820,Scamming someone to make them foot the bill for me
HP0821,"A decent compromise, but best for me"
HP0822,Paying for a souvenir 
HP0823,Sending some money to a friend when they are short on cash.
HP0824,I would find it similar to walking around and having the same amount of money at the end of the day.
HP0825,Sharing with aquantainces
HP0826,I find this similar to small talk with the other participant and moving along with my day after.
HP0827,My mom putting a gesture appeasement payment in the church plate as it's passed round the congregation.
HP0828,Knowing that I had a more pressing need for the money but appreciating that it would be selfish to keep all of it and wanting to not look that way so I decided to give some of the money to the other player. 
HP0829,"A bit fair, similar to a person investing a whole workday volunteering"
HP0830,I find it similar to choosing not to donate to a charity. 
HP0831,I think this is an example of when someone eats all of the food in the refrigerator but does not share any
HP0832,This reminds me of paying for a candy bar a co-worker is selling.
HP0833,I feel it is similar to ignoring a problem instead of fixing or trying to help fix it.
HP0834,I find this similar to myself and a girl I know who did cleaning for a neighbor who gave us 12 dollars but I did almost all the work so I only gave her 4 dollars.
HP0835,It would be similar to keeping my earnings and not giving to others. 
HP0836,It's like buying a carton of milk at the store.
HP0837,It would be a wash. 
HP0838,It reminds me of greed and taking more than another which is selfish.
HP0839,A boss and an employee where I am the boss and the other participant is an employee
HP0840,To help them buy something they need.
HP0841,paying taxes
HP0842,Taking money that would be fair for them to have some of.
HP0843,Not giving to a homeless person asking for money
HP0844,Taking 2/3 of a pizza a friend and I got to share
HP0845,failing an exam
HP0846,"Giving to charity, where you still have fun money left over even after sharing."
HP0847,Someone asking me for money to borrow and me saying no to them.
HP0848,"A situation where I am in a dominant position of power, and choose to buy loyalty."
HP0849,a bit okay but would be considered unfair 
HP0850,Having been given a good start in life and not helping anyone else around you.
HP0851,"When you have a good amount, and you decide to share a bit with someone else. Probably feel good about yourself for doing so."
HP0852,"Basically, normal everyday life. Everyone is treated equally and fairly, without favoring or discriminating against someone else."
HP0853,Im not sure? I would transfer half really. I don't have anything to compare it to though
HP0854,A friend and I go out to lunch and we cover our own meals.
HP0855,"Being slightly charitable however, still maintaining that you want to keep most of the payment."
HP0856,How life currently works at the moment
HP0857,inequity
HP0858,I would find it similar to buying a friend or co-worker a cup of coffee.
HP0859,I imagine 4 dollars would be sent to someone if I owed them a very small amount.
HP0860,a time when I had no money in my account to give to anyone
HP0861,Lending money to a stranger
HP0862,it would be similar to giving someone one slice of pizza and I keep more
HP0863,This is a true neutral action. No good or bad to be had. 
HP0864,"Similar as above, if there was a prepayment that was missing and the $4 was remaining and would cancel it out."
HP0865,"Greed, and it reminds me of CEOs and owners of businesses that underpay their employees."
HP0866,I see it as paying for some of my partners meal
HP0867,being a parent giving a child a bit of money to spend
HP0868,keeping the status quo and not sharing
HP0869,giving my friend some money for lunch or something because i have enough for me and she wouldnt be able to have lunch otherwise
HP0870,It would be more equal and more like sharing
HP0871,Buying my friend a coffee in a coffee shop 
HP0872,"I find it similar to the idea of giving what you can, even if it's not exactly equitable."
HP0873,I find this is simple if we are at the store paying for something and me or their person needs help paying for their things and they are short on cash.
HP0874,"It's like if me and my friend go out to dinner, and we each pay only for what we bought."
HP0875,"Transferring $0 to the other participant means that am not giving anything to the other participant and I am not taking anything from them. This situation reminds me of two cowokers. If one is getting $8 bonus it means that they worked so hard for it, while the one who got $4 means that the didnt not put in so much effort. Therefore, the one with a higher bonus does not want to share their bonus as well not want to take anything from the other co workers account."
HP0876,Gaining money
HP0877,us keeping what we have
HP0878,Paying my brother back for money that I've borrowed
HP0879,"I think this is the ideal situation, viewing the other participant as a charity situation, giving about a third away is a great idea, making you feel better morally, while keeping yourself ahead financially."
HP0880,"I am an employer and for every 12 dollars I make, I transfer a smaller portion to my employees because it is about me and my business. "
HP0881,Being completely neutral.
HP0882,Believing that I deserve a larger share of wealth by default.
HP0883,"This is more similar to a donation, where you give up a small percentage of your income to help others."
HP0884,Being the elite rich
HP0885,Making a payment for their effort in  my task
HP0886,"I would find it similar to going out shopping with a friend and us buying our own goods without either of us spotting each other money because we could't afford something, so our money stays our own or goes to a certain business as payment."
HP0887,we keep the same amount of money we started with
HP0888,sitting on the shelf and hoping for the best 
HP0889,not sharing something nice with family
HP0890,paying for a cup of coffee in a coffee shop
HP0891,Giving someone a small amount to help cover an item or thing. Especially if they are a couple of dollars short and they don't have enough in their bank account or wallet. 
HP0892,That person wouldn’t be gaining anything from me and wouldn’t be happy.
HP0893,that would be they are getting 50%
HP0894,Like I am not being entirely fair. 
HP0895,Similar to when my friend worked for this dodgy cafe that tried to pay her in cash and gave her less pay than she earned
HP0896,This makes me uncomfortable as it is unfair.
HP0897,"This is similar to the other food example, but this time you're keeping the majority of your meal and sharing a little with someone else that only wants a wee bit. "
HP0898,being given unequal payment for the same job and keeping the bigger share for myself
HP0899,"Also rude, we should leave with equal money"
HP0900,"Being born upper-middle class and voting to retain your situation, rather than improve the situation for those worse off."
HP0901,Paying my mortgage out of salary
HP0902,i think it reminds me of someone asking to borrow money but you saying no
HP0903,"Me and a friend got a reward for completing a task, I did more work so they got the smaller amount of money."
HP0904,similar to helping someone in need
HP0905,letting someone try my food when they didn't get any
HP0906,"Letting things be, the luck fo the draw. THings that are luck based in society that people don't try to make right when they have all of the information. Letting billionaires get bail outs. idk "
HP0907,This feels like I am hoarding what I have.
HP0908,taking a better split
HP0909,I would find it similar to hanging out with someone I don't like very much. I wouldn't give them any money if I didn't want to.
HP0910,I would compare sending the other participant 4 dollars to buying a large coffee in the morning
HP0911,BEING VERY CAUTIOUS WITH MONEY
HP0912,I find transferring nothing similar to seeing someone getting the wrong price at the grocery store.
HP0913,winning a lottery and just keeping what you are given
HP0914,buying a homeless person a meal deal
HP0915,Receiving a lottery reward that I keep.
HP0916,This is a neutral situation. We both exist with our respective amounts of money without transferring any between us. 
HP0917,This makes me think about taxes in that this is about 1/3 and it seems similar to tax rates. 
HP0918,I find it similar to not giving money to someone in need.
HP0919,This is similar to splitting lottery winnings with a family member.
HP0920,This isn't wrong but especially in this season of giving sharing so that things are equal would be a nice gesture.
HP0921,Absolutely nothing. Nothing is happening here.
HP0922,Doing nothing and hoping for the best
HP0923,The ruling class giving no money to the lower class.
HP0924,paying someone in kind
HP0925,Keeping the status quo and not giving away money. 
HP0926,Finding money in your pocket that you'd forgotten about.
HP0927,I would find it similar to the time my friends were in a Situation if choice 
HP0928,"This is like two friends divinging a pizza and deciding to leave the slices as they are, without giving extra or taking any away."
HP0929,"Similar to the pizza example above, except this time, I'm keeping two-thirds and my friend is only getting one-third."
HP0930,I find it similar to looking after myself
HP0931,refusing to lend money out to people 
HP0932,Our two purchases offset each other. 
HP0933,"Current state of the UK, where everyone looks to hold on to what they have."
HP0934,I am not helping others.
HP0935,There is a charity collector on the street. He is trying to raise some money for his foundation and I donate to it
HP0936,"Keeping an unfair extra share, which I haven't done anything to deserve. I can't think of a situation in real life that I've experienced which feels similar to this but it would be like secretively keeping something back for my own advantage."
HP0937,I find this similar to a very neutral situation like meeting a stranger.
HP0938,ignoring the other person
HP0939,Sharing abite of my food
HP0940,I imagine the other participant has a birthday and I would like to acknowledge this as a gift.
HP0941,Giving charity to someone in need.
HP0942,I would find it similar to not donating to a charity.
HP0943,Being mean and looking out for myself
