hp_response_id,memory
HP1601,A deduction for turning up late for work
HP1602,You are selling something and can't sell it so you discount it four dollars.
HP1603,A streaming service cutting their prices by 50% during a promotional weekend. 
HP1604,Not caring if you win or lose and just wanting to get the job done.
HP1605,This wouldn't match the value that we put in to creating the product.
HP1606,If  a person is selling a used item they can lower it to make the sale faster.
HP1607,Selling an item on ebay and taking a much lower offer than you first asked for.
HP1608,It’s not very fast so reducing it by that amount seems very fair.
HP1609,"This would be similar to some companies selling old stock before a new model becomes available. For example, Samsung"
HP1610,This seems like the type of change one would do if they know the other person and want them to be able to receive as much profit as possible.
HP1611,"it feels like giving someone a discount to encourage them to follow through, similar to lowering the asking price when selling a used item so the buyer is more likely to take it."
HP1612,This just feels robbery.
HP1613,A 50% off sale or damaged item - for instance i recently bought a a christmas tree for half price because it was missing a few branches but still looked and worked the same. 
HP1614,a huge sale or special offer
HP1615,Underselling yourself. I find this similar to selling second hand items online and reducing the price to ensure a sale.
HP1616,Haggling in a flea market over an item.
HP1617,When a friend lost £4 on the horses.
HP1618,It is similar to Buy one get one free offer in the shop
HP1619,"Again, a charity offering a reduced price to support an individual or group."
HP1620,reducing the price of an item of clothing I am selling on Vinted
HP1621,finding a flat tire when you are in a hurry
HP1622,"This is similar to providing a slight discount to a product, potentially to a loyal customer."
HP1623,I'm selling myself short. He would be getting a good deal and I'd get nothing. It feels like something my parents would do to me. I don't want to let somone do that to me.
HP1624,Buying an item in a sale
HP1625,a ceo making a huge profit whilst the employees are reliant on benefits to feed their kids
HP1626,halving the price of the product
HP1627,"discounted items in the supermarket, this is a rare occurance but something that sometimes happens after a holiday or period of celebrating"
HP1628,"This is similar to a business having a sale on an item. Because of the decrease in supply and demand or special circumstances to liquidate items, they reduce the price."
HP1629,A person that is selling their data to facebook
HP1630,I fond it similar to realising that i have bought something i don't want and recuperating some of the cost
HP1631,Paying someone unfairly by reducing their pay by the ammount that A sandwich would cost 
HP1632,The market for your product crashes and you have to sell at a big loss.
HP1633,Giving $4 to the other participant
HP1634,Buying someone a pint.
HP1635,discount code used on an item i am wanting to purchase for myself. 
HP1636,"That would be halving the price, so a similar situation was if I had $8 and shared it between my 2 children they would get $4 each."
HP1637,Like the time I got in a car accident
HP1638,Finding a discount code for a purchase 
HP1639,I equate this to being $4 wasted or worse - stolen from me. 
HP1640,It feels similar to someone selling an item online for $8 and then dropping the price to $4 to get rid of it quickly. They would rather receive less money than wait a long time for a buyer.
HP1641,"I should be eating less sugar so I decide I can give me friend 8 sweets and I'll have 4, that way I still get some but don't eat so many, ruining my teeth."
HP1642,Half price seems like I get a real bargain so the other person is in for a treat.
HP1643,"If the price decreased by $4, then I consider the price of the data to have halved. I find this similar to half-price products often found in Supermarkets every day."
HP1644,It was not fair I think.
HP1645,This is similar to offering a discount to a friend for a product or service—you lower the price to encourage the other person to accept or to make it easier for them.
HP1646,The inflation level significantly decreasing.
HP1647,This would mean that it is a significant price reduction.  I have had an experience where I have been to purchase an item in a shop and the price is much lower than expected.
HP1648,Trying to sell clothes on Vinted or Depop and having no interested customers
HP1649,someone being giving and willing 
HP1650,An item in a shop has gone into a sale with 50% off.
HP1651,getting a flat tire and having to go and get it plugged and refilled
HP1652,Reducing a price of a product that is not selling.
HP1653,This makes me think of times when a manufacturer predicts the market incorrectly and is forced to get rid of a surplus by lowering prices.
HP1654,the price of a car going down once you've bought it
HP1655,The store puts the product on sale
HP1656,Reducing the price for an on line sale item to achieve a sale
HP1657,$4 would be the price
HP1658,Today my hairdresser gave me a discount of 33% without me asking for it. This is similar in some ways but not completely as there is no context for this discount in the data example
HP1659,"feels like something is on sale, like its christmas sales or something and eveyrhting is discounted and people are going crazy in the shops "
HP1660,i think it would be +$2 i am not total sure but this my best guess 
HP1661,My daughter owing me some money and I just tell her not to worry about it. I feel like I am giving something away but it is easier that trying to get that money back!
HP1662,College student selling a used textbook and teh price went down from what it originally cost so at the end of the semester you are selling for far less than what you paid.
HP1663,getting your pants pulled down on the deal there is no way the broker deserves double I do
HP1664,"I would compare that to Black Friday, and would sell further data art an increased price"
HP1665,"It reminds me of offering a friend a really good deal on something, lowering the price to be fair or helpful."
HP1666,A struggling business trying to drum up more sales
HP1667,This is like buying something you thought was high value and then realising that the supply had risen and demand had fallen for the item so now you need to sell for a loss just to get it sold
HP1668,"giving a lot of money away for nothing , being too charitable and not looking after my own interests at all. No benefit to me whatsoever "
HP1669,Trying to barter and manipulate better prices.
HP1670,I find it similar to working under the table.
HP1671,I find this similar to going to a store and it is half off
HP1672,This feels like a parent giving their child a bigger share compared to what the parent would recieve.
HP1673,It is similar to a 50% sale on a product.
HP1674,"the final item has cost a bit extra, the two friends spent over  "
HP1675,A sale in the hope they will buy more from you
HP1676,"Exploitation, e.g. a blackmail scenario where a middleman is pressuring a supplier of goods."
HP1677,This is like receiving a Black Friday discount on a product you buy all the time.
HP1678,This would be a bad day as your potential return has been halved.  So a bad day on the stock market exchange where you have potentially lost money.
HP1679,MORE LIKE INFATION PROBLEMS
HP1680,Someone is stealing $4 or losing it randomly
HP1681,That this is something being more discounted.
HP1682,Giving someone a 50% discount
HP1683,Negotiating with an employer for a job I really need and am willing to accept less for.
HP1684,Asking for discount in a shop
HP1685,"I find this similar to  a business model i was following, i got it for one price, then later it dropped by 4 dollars, it was ok, because that not really a lot of money."
HP1686,"One owner  had a massive price reduction, since they were going out of business. His rival, who was staying in business, could not compete with those slashed prices."
HP1687,"This feels like when I drop the price more significantly because I want to ensure the other person agrees quickly, or because I feel they might walk away if it’s too high."
HP1688,When something goes on sale 
HP1689,"Losing a moderate amount to a client, having a difficult product to sell."
HP1690,pefomance drop with a huge difference
HP1691,Half the price of the starting price.
HP1692,I imagine this as losing money.
HP1693,My work is being de-valued in order to save money for an organisation.
HP1694,special offers at retailers
HP1695,A significant price decrease 
HP1696,I find this price decrease similar to shops or retailers reducing their prices by 50% to encourage customers to shop there and buy more items.
HP1697,"It’s like when a person is trying to sell concert tickets at the last minute. They originally wanted a higher price, but time is running out and they really want someone to buy them, so they lower the price more significantly to make sure the buyer agrees quickly."
HP1698,Buying something of inferior quality than what I am typically used to.
HP1699,This is similar to a shop reducing the price of items in order to clear them.
HP1700,"This would be akin to a 50% sale at, say, a clothing store. An item that used to cost $8 is now available at the sale price of $4."
HP1701,I find it similar to a 50% off sale since it's being changed by 1/2 lower.
HP1702,Someone closing down a business or trying to sell unpopular stock may make a reduction like this to boost sales.
HP1703,This is similar to someone's pocket money being halved in order to give half of it to someone else.
HP1704,Represents a black Friday online sale to me.
HP1705,A big sale like Black Friday
HP1706,I find it similar to the cost of a Gallon of gas.
HP1707,The market having lots of options for the product you have so it is less valuable
HP1708,It's similar to when a seller lowers the price to keep the customer interested.
HP1709,"If i were to change this, i will be losing $4, this reminds me of the time that i went out with a friend and we tried to do some arcade games, fair to say we lost money."
HP1710,This is similar to me taking a larger share
HP1711,I find it similar to an item being put on sale in a store.
HP1712,"I find it similar to working as supply teacher, being promised a daily wage and then being hit with additional tax that you weren't expecting. What a let down."
HP1713,I find this similar to negotiating for a lower price
HP1714,Spending on something I didn't really need to buy
HP1715,Losing a bet either a single and an accumulator
HP1716,"a Boy who mows the neighbors lawn usually charges $8, but after talking to the neighbor and realizing shes going through a rough time, he offers to do it for $4 this time."
HP1717,I can imagine this is a deal such as Black Friday and this is only a temporary decrease. 
HP1718,"Again, shifting stock for a potential loss. "
HP1719,I sell items on vinted at a low just to get some money
HP1720,fluntuations in the economy
HP1721,this would be like my eyelash tech who is my best friend giving me a discount on mine 
HP1722,receiving half of the starting price and increasing the brokers profit
HP1723,Broker gets 50%. This type of percentage is very high and the regulators are finding it excessive and allowing end users to claim commission back in financial services
HP1724,a loss of my own bonus and giving much more chance to the broker
HP1725,"Certain discounts or deals or sales that go on during the holidays (Black Friday, Xmas deals). "
HP1726,"I felt the buyer wouldn't accept so made it much easier for them to accept the offer. I am hard up for the money, selling things like bikes etc."
HP1727,Lowering the total price you would pay when bidding on an item.
HP1728,being paid half my hourly rate for doing my job 
HP1729,A good sale like for Black Friday
HP1730,"I would imagine it as buying something on clearance. A pair of toddler shoes I recently bought could have been 9 dollars. However, because it was on clearance and no one wanted to buy it, it got marked down to 5 dollars. "
HP1731,Selling stock in a sale; the normal proes are reduced by a certain amount to encourage buyers.
HP1732,A 50% discount on a bag of coffee
HP1733,Half the original price ( 50% ) reduction
HP1734,It's similar to my previous example of changing the price when trading in a car except I am being even more daft. The broker is responsible for the price they offer so to offer for less is rude because it's saying that I don't trust their judgement and it is undervaluing my own work. 
HP1735,"I find it similar to expecting someone to complete a job for free.  In this situation, the broker is working for no profit.  This is extreme."
HP1736,A special price or deal code 
HP1737,"Bread is going out of date, so cheaper for this night only to save it being thrown away."
HP1738,I'm struggling to sell what I have so I knock the price down to make it really attractive
HP1739,"It’s similar to when you are trying to sell something on an online marketplace. The buyer tries to knock the price down by a few dollars/pounds, and usually you agree, with the understanding that this is how things are sold. "
HP1740,I find it similar to a sale
HP1741,"A group of people decide to pool and gamble their inheritance, drawing lots to decide who gets the lion's share. They agree 4 outcomes; 1.5x, 1x, .5x or 0 Person 3 chooses the second shortest straw, they get .5."
HP1742,It means that I sacrifice some of my set money to give more to the broker.
HP1743,Changing the price to -$4 is like getting the exact opposite of what you wanted originally.
HP1744,i see this as a low negative it could match -5 but to be positive close to a zero the bring it out of the negatives
HP1745,Happy hour specials. Today is Thursday so it's half price on boneless wings. 
HP1746,Giving somebody else a bigger portion of a limited amount of pie you both like.
HP1747,"Maybe an out of trend item, like a Christmas sweater but it's no longer Christmas so it's discounted."
HP1748,$4 less than the amount offered
HP1749,"Lowering the price significantly for very basic, most everyone understands and knows data"
HP1750,An item at the shop being half price
HP1751,Giving the data away to the broker.
HP1752,Buying an item on sale
HP1753,if something is a burden and i want to sell it quickly even if making a loss
HP1754,having a coupon for 1/2 off
HP1755,"Me asking a store manager for a higher discount for a product, due to it being open/displayed on a shelf."
HP1756,I think changing the price by negative $4 means you devalue the product or service received. If you are buying some new shoes and see the price decreased then it means they do not care about the shoes anymore and the company just wants them sold. They either have new inventory coming in or need to give incentives for people to buy them. Either way a negative price just reminds me of deals and discounts because a product/service is less valuable.
HP1757,I find it similar to a sale
HP1758,"8-4 is $4.
50% off sale!"
HP1759,Half off discount for Black Friday shopping
HP1760,My sister getting a laptop for Christmas
HP1761,"A sale In a retail shop. Such as a label that says ""Was $10 now $7"" then it shows how much money was taken off. In this case: $4"
HP1762,This represents a price lowering or reduction.
HP1763,This would belike having too much stock that. you. need to clear quickly and cheaply and are prepared to lose money on it 
HP1764,"Me getting $4,the seller gets $12 plus $4"
HP1765,"A person haggling with a vendor in a market place and getting a good discount, or buying a black friday deal online"
HP1766,The disastrous Labour government
HP1767,A government who promises more money for the less fortunate and then takes it all.
HP1768,A 50% fall. Buying a new car and selling it a few years later.
HP1769,-$4: Returning an item and receiving a partial refund.
HP1770,The stock of a company after a big scandal
HP1771,Being overcharged for a service or product.
HP1772,Selling a used item at half price
HP1773,netflix offering discount during festive periods
HP1774,"I find this similar to going to customer service because an item I purchased online for pickup was damaged, and I can still make use of it in its damaged state but don't want to pay full price for it."
HP1775,being charged for breaking an item at work.
HP1776,A price reduction on my shopping bill using a voucher
HP1777,An over saturated market meaning demand is low so having to cut your price to get a sale
HP1778,When a service or subscription gives a limited-time promotion
HP1779,Bargaining at a market to get a piece of jewelry for less than the asking price.
HP1781,it is similar to what the orange juice has been increased in the grocery store. 
HP1782,to immediately capitulating
HP1783,Taking a moderate risk
HP1784,Halving the price of the things i was selling at the car boot near the end of the car boot as people were packing up and i wanted to just get rid of the things so i didnt have to bring what i hadnt sold back home.
HP1785,A bit more annoying - let paying for a product just to see it significantly cheaper elsewhere. 
HP1786,It would be like getting a kids burger instead of a normal big burger at a fast food place
HP1787,Giving away part of your lunch to someone who has none.
HP1788,"It's an uneven split, but it's an uneven split I'd have chosen? It would somewhat make me question the need for the broker - perhaps I'd be better working directly with the researchers myself?"
HP1789,It would be half less than the starting price
HP1790,I would find that this is similar to a buy one get one free sort of deal as the original price is $8
HP1791,It reminds me of one of those surprise half price deals where you didn’t expect a discount but suddenly the thing you want is almost on sale. 
HP1792,"Our task was not completed in time at all. In fact, we took twice as long to get it done. Dropping the paper price to half was only fair to the clients in this case."
HP1793,"At this point I feel like I'd just be taken advantage of, sure it's an imaginary scenario but still."
HP1794,buying someone a cup of coffee
HP1795,Being negotiated to pay a higher price for something I want.
HP1796,$4 Similar to buying 5 lottery tickets
HP1797, Getting a discount at a store
HP1798,Like giving a big discount to a friend because you don’t want to charge them full price.
HP1799,Giving a bonus to the other party.
HP1800,This would be a 50% cut and it  reminds me of the situation in the UK with the significant cost of heating your home in winter as you are now paying almost double compared to 2020.
HP1801,"When someone is donating goods and the organization is selling it, it cost them nothing so the profit is all theirs. "
HP1802,I find it similar to communism where you are not paid for the value of your labor. Someone arbitrarily decides what you are worth and takes more of your money and gives it to themselves or someone else.
HP1803,Big offers in supermarkets near holidays
HP1804,A good sale for the holidays
HP1805,A friend offering to pay for your coffee after you had a long week.
HP1806,Negotiating to buy a large item
HP1807,Something in a sale that has been reduced to help sell the item
HP1808,"thinking you are not worth the original offer, being less quality."
HP1809,This is a nice discount that will help the buyer.
HP1810,"Making a generous gesture on pricing due to the perceived value of the item being too high, or to help the recipient in a given situation."
HP1811,"$4, the price of a bag of chips."
HP1812,I find it similar to a discount and a significant ripoff on the amont of effort put into the data. 
HP1813,Getting an item on clearance.  They just want to get it moving.
HP1814,being dissapointed by family.
HP1815,reduced for quick sale and major saving of data
HP1816,The hens overproduced eggs and no one is buying them
HP1817,This may be something like reduced oil demand during covid where I have to greatly reduce price to move my oil.
HP1818,Discounts for bulk purchases in stores
HP1819,"Someone is selling a sweater on Marketplace for $8. I offer $4, they accept and we complete the exchange."
HP1820,"reselling clothes on Vinted, someone made a much lower offer reducing the price by $6"
HP1821,this situation reminds me of sunbathing on holiday.
HP1822,"This is similar to choosing drinks and one drink, mine costs less than the others in the group, so to be fair, I pay a lower price"
HP1823,Putting on shoes without socks.
HP1824,"a black friday sale , 50% off"
HP1825,being a bargain hunter
