vignette_id,structure,sender_category,sender_action,receiver_action,setting,relationship,text
DG-M-C-P,DG,Moral,C,NA,individual,known,"Nadia receives twelve prepaid meal cards from an aunt and has sole authority to decide how they are divided. Her cousin Paolo cannot alter the allocation or refuse it. Nadia says that relatives in comparable circumstances ought to be treated fairly, so she keeps six cards and gives six to Paolo. The decision neither creates nor destroys any cards, and Paolo simply receives the six assigned to him."
DG-M-C-K,DG,Moral,C,NA,market,ongoing,"A design studio controls a fixed client payment after a joint assignment with a freelance illustrator. The contract leaves the studio free to determine the illustrator's discretionary bonus, and the illustrator has no approval right. The studio's director says that each contributor deserves a fair portion, so she assigns a substantial part of the payment to the illustrator. The size of the client payment is unaffected by her allocation."
DG-M-D-P,DG,Moral,D,NA,individual,unfamiliar,"A local association gives Luca ten event passes and makes him the only person authorized to distribute them. A stranger who helped briefly with setup asks for several passes but has no claim or decision right. Luca says the passes were promised to the volunteers who completed the full schedule, so he keeps all ten for that group. His choice does not change the number of passes available."
DG-M-D-K,DG,Moral,D,NA,market,anonymous,"An online marketplace gives a seller a fixed pool of twelve promotional credits and permits the seller to allocate them however it wishes. A new logistics provider asks to receive some of the credits but cannot contest the decision. The seller's manager says credits should go only to businesses that earned them through completed sales, so she retains the entire pool. No credits are created or lost."
DG-S-C-P,DG,Self-interest,C,NA,individual,known,"Omar wins ten grocery vouchers and alone decides whether his housemate receives any. His housemate has no say over the allocation. Omar values being seen at home as someone who does not keep every windfall, because that makes daily life easier for him. He therefore gives his housemate three vouchers and keeps seven. The total remains ten, and the housemate passively receives the assigned vouchers."
DG-S-C-K,DG,Self-interest,C,NA,market,ongoing,"A restaurant owns a fixed set of twenty advertising slots in a neighborhood guide and may give some to another business without requiring anything in return. The neighboring bakery cannot influence the allocation. The restaurant owner wants local customers to view his business favorably, so he assigns four slots to the bakery and keeps sixteen. His choice only divides the existing slots; it does not expand the guide."
DG-S-D-P,DG,Self-interest,D,NA,individual,unfamiliar,"Priya is given eight travel coupons and has complete discretion over their use. Another traveler at the same hostel asks whether she will pass along two coupons but cannot affect the decision. Priya calculates that every coupon she retains reduces the cost of her own trip, so she keeps all eight. The traveler receives nothing, and the fixed number and value of the coupons do not change."
DG-S-D-K,DG,Self-interest,D,NA,market,anonymous,"A software company receives a fixed package of cloud-service credits and has sole control over their allocation. An independent developer requests a share but has no contractual claim and no opportunity to respond to the company's decision. The finance manager focuses on lowering the company's own operating costs and assigns every credit internally. The allocation leaves the total quantity of computing credits unchanged."
DG-C-C-P,DG,Cooperation,C,NA,individual,known,"Mei controls twelve reserved hours in a shared workshop after the booking system places them all in her name. Her friend Iris cannot revise the booking. Mei wants both of their projects to remain workable and decides that each should have enough time to complete a useful stage. She keeps seven hours and assigns five to Iris. The decision only divides the twelve existing hours, which Iris then receives."
DG-C-C-K,DG,Cooperation,C,NA,market,ongoing,"A distributor controls ten scarce warehouse slots during a temporary shortage and may allocate them without its supplier's consent. The supplier cannot reject or modify the assignment. The distributor wants both businesses' delivery plans to keep functioning, so it reserves six slots for itself and gives four to the supplier. The decision divides a fixed capacity and creates no additional storage space."
DG-C-D-P,DG,Cooperation,D,NA,individual,unfamiliar,"A community center assigns all six evening rehearsal periods to Sofia and lets her decide whether to transfer any to another applicant. The applicant has no role in the decision. Sofia says that dividing the periods would leave neither production enough continuous time to prepare properly, so she retains all six for one complete rehearsal plan. The number of available periods remains fixed, and the other applicant receives none."
DG-C-D-K,DG,Cooperation,D,NA,market,anonymous,"A trade fair gives a small manufacturer four adjacent demonstration periods and authorizes it to reassign them unilaterally. An unfamiliar startup requests one period but cannot challenge the allocation. The manufacturer says a fragmented schedule would prevent any coherent product demonstration, so it keeps all four periods together. The fair provides no extra time, and the startup simply receives no slot."
UG-M-C-C-P,UG,Moral,C,C,individual,known,"After completing a family sale, Rosa must propose how to divide a fixed payment of two hundred euros with her brother. If he accepts, the proposed division is implemented; if he refuses, a contractual deadline returns the entire payment to the buyer. Rosa says they contributed equally and proposes one hundred euros each. Her brother accepts, so each receives one hundred euros."
UG-M-C-C-K,UG,Moral,C,C,market,ongoing,"A consulting firm must propose how to divide a fixed project fee with its regular freelance analyst. Acceptance implements the proposed split, while rejection causes the client to withdraw the fee from both parties. The firm's director says the analyst deserves a fair return for her contribution and proposes a nearly equal division. The analyst accepts, and the fee is paid according to those terms."
