model,set,task,context,item_id,points
claude,1,retrieval,C-UG,S3,1
claude,1,retrieval,C-UG,C7,2
claude,1,retrieval,C-UG,M1,9
claude,1,retrieval,C-UG,C2,2
claude,1,retrieval,C-UG,S8,1
claude,1,retrieval,C-UG,M6,11
claude,1,retrieval,C-UG,C4,2
claude,1,retrieval,C-UG,S1,1
claude,1,retrieval,C-UG,M8,9
claude,1,retrieval,C-UG,C1,2
claude,1,retrieval,C-UG,S5,1
claude,1,retrieval,C-UG,M3,6
claude,1,retrieval,C-UG,C8,1
claude,1,retrieval,C-UG,S2,1
claude,1,retrieval,C-UG,M7,11
claude,1,retrieval,C-UG,C5,2
claude,1,retrieval,C-UG,S6,3
claude,1,retrieval,C-UG,M2,12
claude,1,retrieval,C-UG,C3,1
claude,1,retrieval,C-UG,S7,1
claude,1,retrieval,C-UG,M4,18
claude,1,retrieval,C-UG,C6,4
claude,1,retrieval,C-UG,S4,1
claude,1,retrieval,C-UG,M5,8
claude,1,retrieval,BONUS,S3,0
claude,1,retrieval,BONUS,C7,1
claude,1,retrieval,BONUS,M1,30
claude,1,retrieval,BONUS,C2,1
claude,1,retrieval,BONUS,S8,0
claude,1,retrieval,BONUS,M6,10
claude,1,retrieval,BONUS,C4,0
claude,1,retrieval,BONUS,S1,0
claude,1,retrieval,BONUS,M8,15
claude,1,retrieval,BONUS,C1,1
claude,1,retrieval,BONUS,S5,0
claude,1,retrieval,BONUS,M3,5
claude,1,retrieval,BONUS,C8,0
claude,1,retrieval,BONUS,S2,0
claude,1,retrieval,BONUS,M7,12
claude,1,retrieval,BONUS,C5,0
claude,1,retrieval,BONUS,S6,0
claude,1,retrieval,BONUS,M2,9
claude,1,retrieval,BONUS,C3,0
claude,1,retrieval,BONUS,S7,0
claude,1,retrieval,BONUS,M4,6
claude,1,retrieval,BONUS,C6,1
claude,1,retrieval,BONUS,S4,0
claude,1,retrieval,BONUS,M5,9
claude,1,retrieval,M-KW,S3,1
claude,1,retrieval,M-KW,C7,3
claude,1,retrieval,M-KW,M1,9
claude,1,retrieval,M-KW,C2,6
claude,1,retrieval,M-KW,S8,1
claude,1,retrieval,M-KW,M6,8
claude,1,retrieval,M-KW,C4,7
claude,1,retrieval,M-KW,S1,2
claude,1,retrieval,M-KW,M8,9
claude,1,retrieval,M-KW,C1,3
claude,1,retrieval,M-KW,S5,1
claude,1,retrieval,M-KW,M3,4
claude,1,retrieval,M-KW,C8,1
claude,1,retrieval,M-KW,S2,1
claude,1,retrieval,M-KW,M7,10
claude,1,retrieval,M-KW,C5,4
claude,1,retrieval,M-KW,S6,4
claude,1,retrieval,M-KW,M2,7
claude,1,retrieval,M-KW,C3,1
claude,1,retrieval,M-KW,S7,1
claude,1,retrieval,M-KW,M4,10
claude,1,retrieval,M-KW,C6,8
claude,1,retrieval,M-KW,S4,1
claude,1,retrieval,M-KW,M5,5
