PROLIFIC_PID,story,summary,game,words
5cfe8afe31c8d200158fd222,aid,"James applied and was accepted for financial assistance. His neighbour, Mark, was not successful. Now James is wondering if he should give some of his money to Mark.",dgkw,28
5ff7191fc4d15f3308c4365c,bonus,"a pair of workers exceeded their sales target. Therefore the boss is allocating an amount of money to the team lead (Steve). Steve has been given the full bonus amount available, and must now choose how much of the bonus to allocate to his teammate (Max). ",dglt,46
5c345ebad4f77a0001a91ec0,bonus,"Steve has a moral dilemma, after his team was awarded a performance bonus for exceeding a sales target.  He can keep the full bonus or allocate it to different members",dgkw,30
59e8a9b1d838ae0001850c89,aid,James and his neighbour Mark both applied for financial assistance from a government agency. James was selected to receive assistance but Mark wasn't. James then had a choice to keep the money himself or give some of it to Mark. ,dglt,40
60ce6af707bcd42cbc885210,bonus,Steve's team was allocated a performance bonus. He and his team had workedlong and hard to achieve this.The manager allocated the whole bonus to Steve telling him he could keep the whole sum if he wished. Max had made a large contribution to the project and Steve had to decide whether to share the bonus or keep the whole sum himself.,dglt,61
67044749c28abfd636ceedf0,aid,"Both James and Mark are experiencing significant financial struggles. James is selected to receive financial aid from the government, while Mark is not selected. James and Mark are neighbors, but don't know each other very well. James is struggling to decide whether to share the money he received with Mark, or keep it for himself.",dglt,55
5e35cdd13b22bc5789b14d86,aid,James has been struggling for money but he has been accepted for government financial help. He is wondering whether he should give some money to his neighbour who was not accepted.,dglt,31
5c3c7913b4f22c0001a0809c,bonus,Steve and Max were awarded a bonus for exceeding the sales target. Steve's director gave the total bonus to him and told Steve that the bonus was his to decide  the final share between them. Max did a big portion of the work.,dgkw,43
674079758b309b232c5c4045,bonus,"Steve, with the help of his team, exceeded a sales target.  Steve was then offered to share the reward for this with one of his colleagues.",dglt,26
6266ac01a2a15cce6ed5fba7,aid,James applied for government aid to help him get through a tough personal finance issue. Unbeknown to James a neighbour called Mark also applied for the financial aid. James was accepted but Mark was not. James was now in a moral dilemma and needed to make a decision on whether to help Mark by sharing some of the financial aid.,dgkw,60
60ee998ece5d505f67377c0b,bonus,Max must decide whether to keep or share his reward,dglt,10
6101eeecbfd86b113fe98d3b,bonus,Steve's team got a perfomrance bonus at work.  As Steve was the team leader the full bonus was allocated to him and he had to decide whether to give his team mate Max a portion as Max had made a significant contribution to the teams sucess.,dgkw,46
65e4a6bdde84e615dcac2651,aid,James and mark are neighbours who are both struggling financially and have both applied for financial aid. Only Jame was approved and he feels guilty about it.,dgkw,27
5a6c9c583fb6420001c308d7,aid,James was struggling and got an unexpected email from a government agency that he qualified for aid.  He saw his neighbor there who also applied but did not get the aid and wondered if he should share it. ,dglt,38
6144d8d264b28a29e10ad3de,aid,"James applied for government funding and was selected, and then found out that his neighbour Mark also applied but was not selected. He felt that he had to choose whether to help Mark or not.",dglt,35
6062d142077e1d0ec0c9361a,bonus,"Steve received a performance bonus, as his team exceeded their sales target. The full bonus was allocated to him, but he was given the choice to allocate a percentage of it to his teammate Max, who had significantly contributed to the team's success.",dgkw,43
67acec8db57cdba0b5e9415e,bonus,Steve was given the full bonus and the decision to allocat ethe money to his team is up to him.,dglt,20
67768f63baecfc05b79b20b8,bonus,Steves boss called hi and let him know there has been a bonus for the teams performance. He can keep it all or he can choose to give some to his team mate Max. ,dglt,34
6149d516a3c16102a1a816bb,aid,james was low on money and was approved for welfare. On the way to collect the money he bumped into mark who wasn't getting welfare. he was conflicted if he should share his funding.,dglt,34
62fb7a556d690575998ccb79,bonus,Steves team were awarded a bonus. Steve had to make a decision whether to keep the bonus for himself or share it with Max. ,dgkw,24
5d7cc2a885d34b0001657ea7,aid,"James successfully applied for welfare benefits as a consequence of his personal financial situation.

As he went to collect his welfare benefit he met his neighbour, Mark, and learned Mark's own application for the same benefits was unsuccessful, for reasons unknown.

James now had to choose whether to keep the welfare money he had applied for himself or share.",dgkw,59
676b89007874c8eace113276,bonus,"Steve's team received a performance bonus for exceeding sales targets. The full bonus was allocated to Steve, but he could choose to give some to his teammate Max if he wanted.",dglt,31
5ae11f9709eae20001132c22,bonus,"Steve is the leader of the team and his team received a sales bonus. He worked hard on it, but so did Max. Steve gets the full bonus, but can give some to Max if he chooses.",dglt,37
64010f32f8dee9772983c7cd,bonus,"Steve's work team earns a bonus for exceeding a sales target. Steve is given the full bonus and has the decision to allocate some of it to another major contributor in the team, Max.",dgkw,34
6772eff8639aab095a935a05,bonus,"Steve's team have been working hard and a bonus has been allocated to Steve, of which he can allocate some of that bonus to his teammate Max if he wishes.",dglt,30
68c96774c5a755579634545f,bonus,Steve and his team were awarded a performance bonus. He has the option to keep the full amount or split it up with his team members. ,dgkw,26
56d1f7f67bbc32000589a588,aid,"James was selected for financial assistance from the government welfare agency, which he had applied to months ago. When he goes to collect the money, he sees his neighbour, Mark, who wasn't selected despite applying. He's now in a predicament as he needs the money himself, but is unsure if he should give some to Mark too.",dgkw,57
5bf7290ed5ec8200015d07e7,aid,James wasn’t do too well financially but one day he has a message from the government telling him he was entitled to some aid. He bumped into his neighbor Mark who also applied for this aid but was turned down. James has to decide whether to give up some of the money to Mark or keep it himself. ,dglt,58
5e7fefe06c12706d47e35211,bonus,"Steve, who worked hard to meet the sales target as a leader, is allocated a bonus that he can choose to share with his teammate, Max.",dgkw,26
5d16ab9b59da87001ac41a61,aid,James was having hard times and was selected for financial assistance. He went to collect and saw an acquaintance who is also having hard times. He is considering splitting the money with him but barely knows the man.,dglt,38
6658c063dd60f6a0b5dcb002,bonus,Steve's team were awarded a performance bonus. Steve needed to decide whether to keep the full bonus or give some to Max. ,dgkw,22
5bb5ddb068558a000125ab50,aid,James is broke and needs help with funding. A government agency he applied for has gotten back to him and said they will provide the money he needs. While at the agency he sees Mark a neighbour who also applied for the money but didn't get it. He now has a debate whether or not to help him out.,dgkw,59
