hp_response_id,similarity_reference_B
HP4001,42
HP4002,42
HP4003,27
HP4004,20
HP4005,18
HP4006,45
HP4007,6
HP4008,3
HP4009,24
HP4010,38
HP4011,48
HP4012,35
HP4013,35
HP4014,20
HP4015,50
HP4016,68
HP4017,6
HP4018,19
HP4019,28
HP4020,39
HP4021,3
HP4022,29
HP4023,64
HP4024,14
HP4025,12
HP4026,13
HP4027,24
HP4028,31
HP4029,62
HP4030,40
HP4031,8
HP4032,34
HP4033,51
HP4034,5
HP4035,15
HP4036,58
HP4037,5
HP4038,6
HP4039,6
HP4040,35
HP4041,24
HP4042,5
HP4043,27
HP4044,2
HP4045,49
HP4046,20
HP4047,21
HP4048,36
HP4049,12
HP4050,23
HP4051,4
HP4052,31
HP4053,24
HP4054,15
HP4055,29
HP4056,44
HP4057,18
HP4058,28
HP4059,20
HP4060,10
HP4061,6
HP4062,39
HP4063,67
HP4064,62
HP4065,42
HP4066,29
HP4067,36
HP4068,18
HP4069,30
HP4070,18
HP4071,15
HP4072,12
HP4073,23
HP4074,5
HP4075,26
HP4076,38
HP4077,24
HP4078,8
HP4079,13
HP4080,7
HP4081,34
HP4082,26
HP4083,7
HP4084,18
HP4085,18
HP4086,20
HP4087,45
HP4088,21
HP4089,16
HP4090,2
HP4091,11
HP4092,7
HP4093,33
HP4094,22
HP4095,25
HP4096,35
HP4097,47
HP4098,20
HP4099,27
HP4100,12
HP4101,22
HP4102,36
HP4103,32
HP4104,19
HP4105,20
HP4106,7
HP4107,31
HP4108,22
HP4109,1
HP4110,60
HP4111,19
HP4112,32
HP4113,45
HP4114,38
HP4115,8
HP4116,24
HP4117,25
HP4118,39
HP4119,42
HP4120,29
HP4121,31
HP4122,48
HP4123,33
HP4124,57
HP4125,31
HP4126,64
HP4127,18
HP4128,38
HP4129,24
HP4130,30
HP4131,34
HP4132,3
HP4133,28
HP4134,75
HP4135,59
HP4136,22
HP4137,11
HP4138,44
HP4139,38
HP4140,17
HP4141,0
HP4142,73
HP4143,15
HP4144,2
HP4145,20
HP4146,25
HP4147,10
HP4148,8
HP4149,44
HP4150,21
HP4151,32
HP4152,30
HP4153,40
HP4154,30
HP4155,42
HP4156,38
HP4157,23
HP4158,55
HP4159,18
HP4160,2
HP4161,17
HP4162,24
HP4163,40
HP4164,30
HP4165,30
HP4166,1
HP4167,21
HP4168,28
HP4169,37
HP4170,35
HP4171,37
HP4172,12
HP4173,23
HP4174,14
HP4175,15
HP4176,17
HP4177,34
HP4178,22
