hp_response_id,memory
HP4211,"$12, the price of a low-end lipstick. "
HP4214,"happieness, enjoying a great time with a loved. one"
HP4218,Highly sought after items sold at a premium
HP4219,"I am offering a service for $8, someone contacts me with details but the project is more complicated than usual. I tell them the price would be $4 more for my service in this instance."
HP4225,A reward or an increase on selling an item to someone
HP4226,"This is similar to selling a quality item for too little on eBay. People think it's junk because you have it listed for too low (think gold jewelry). You up the price and suddenly people don't think it's a scam anymore, since it now seems to be the correct value for the item. "
HP4229,Bargaining at flea market with the seller.
HP4230,This is like surge pricing for oasis tickets. high demand means ou take the mickey with prices.
HP4233,Charging more for something that is in high demand
HP4234,This would be like the price of taxi's in my local area going up by a few dollars.
HP4236,"This could be similar to a price increase on a product or service due to increased demand or added value. For instance, if a concert ticket was originally $8 but the price increases to $12 due to rising popularity or better seating options, customers might have to reconsider their purchase."
HP4237,I would find this similar to something that I really still have a use for that I still use daily that I really don't want to get rid of that I would need a great offer to do. 
HP4240,I used to be able to purchase a good meal of neckbones for the family for approximately $2-$3 per pack. Now neckbones have increased by $4 or more per pack.
HP4241,"When I bargain for silver coins as a coin collector, I often ask for more than the market spot price, but if the buyer is a good customer, I sometimes let them buy junk silver coins at market value. That can be as much as $4 difference."
HP4242,This would be unfair as the broker would not make any money and would not work with me again if it was increased from $8 to $12. 
HP4243,"I find it similar to a ""winner takes all"" scenario, such as on the TV show The Traitors: if a Traitor wins, they take all of the prize money."
HP4245,"Like buying stocks, the price can change drastically"
HP4247,Demanding more salary from a company and placing the company in a position that they cannot make any profit because their costs are too large.
HP4248,This is like buying a high end designer brand 
HP4249,Being better off and happier as a result.
HP4253,I find it similar to inflation or price gouging.
HP4255,This would be like paying for a friends coffee.
HP4257,"The price of coffee beans has increased a significant amount, due to both tariffs and poor growing weather in the country of origin. Perhaps the store’s rent went up as well, increasing prices dramatically. "
HP4261,Winning a little bit of money on a cheap scratch ticket
HP4262,Thats like if costco raised the prices of their hotdogs by $1.5
HP4266,"I think this is similar to selling a product that is in high demand, which is expected to bring in more people to do business with the broker. Although the broker does not profit directly from this product, they do profit from selling other products to the increased customer base."
HP4272,The same price the broker will sell the item. The broker will not earn much of it and will not be interested or put efforts to promote it.
HP4273,"An employee asking for too large a salary, risking the company walking away."
HP4277,it is similar to gaining profit on an item
HP4278,Trying to get as much money as possible regardless of affordability for others.
HP4279,"Supplier increasing price, perhaps due to costs or also trying to increase their profits.

*In all four scenarios, I'm imagining trade and supply relations between farmers and big companies who buy off them and how they buy from them."
HP4281,it wouldn't be worth it to me and I would pass
HP4282,"I would assume that this would be a situation where if I were selling an item that while on average, most people pay a median price, what I am offering is better in some way, so I am charging more this this item because I believe the increase in price is justified."
HP4283,"This would feel super gross to me, especially after we had settled on price. Me increasing the price by $4 means the other party gets nothing. However, I'm thinking about it a bit more, and they do get my data (product). I think my effort putting the data together is worth the $12, and if they agree to that price, then I'm ok with this. But this is a study, and they don't actually get my data... and now they don't get a bonus. This feels like a situation where I would strongarm someone into doing something they didn't want to do, and then I came out as the definite winner. I would have guilt."
HP4286,Finding some money on the floor 
HP4287,This would be similar to when companies increase their prices. 
HP4288,"This is like when you want to try you're luck more, going back to the job scenario, you're offered. £32K, the budget is £40K and you demand £45K, it can be counter productive as you'll likely turn people away. "
HP4289,I find it similar to when someone might mark up a high demand product.
HP4290,Giving someone a gift out of the goodness of my heart.
HP4295,My friend owes me money.
HP4299,"Increasing the price by $4 is similar to raising the price based on popularity, so-called surge pricing similar to getting an Uber at rush hour."
HP4301,An increase if energy costs
HP4302,I am told by the shop keeper that this item is hot and new therefore gets a price increase to make it similar to other markets.
HP4304,Expecting someone to promote your business on the social media they have built for free
HP4310,It doesn't matter to me if we raise the price.
HP4311,well that seems wrong too.  I get all of the money for all of the work.  But the broker set it up and without them I wouldn't get anything at all.  But I think it would be like a job without a middle man.  
HP4313,This feels similar to taking the credit for a task shared between two people and giving the other person no credit.
HP4315,I find it similar to having a collectible that the person really wants and can be upcharged for.
HP4316,This is similar to inflation. 
HP4317,I was walking the dog and I saw a huge tree break in half and fall to the ground.
