source_id,game,setting,sender_category,sender_action,belief,receiver_action,joint_action,text
DG-M-P,DG,personal,Moral,C,,None,C-NA,"Anna and Marco helped organize a neighborhood festival. The association later sends Anna a bundle of meal vouchers as a thank-you and tells her that she may keep them all or pass some on to Marco. Anna gives Marco half. They both put a lot of time into the event, and she feels it is fair to share the reward between them. She views this as a matter of moral principle and thinks that an equal split is the morally right thing to do in this situation."
DG-M-K,DG,anonymous market,Moral,C,,None,C-NA,"Firm A and Firm B complete a one-time order through an online marketplace. The platform pays a transaction bonus entirely to Firm A and allows A to transfer any part of it to Firm B. Firm A's manager splits the bonus equally. Since both firms contributed to completing the order, she views the division as a matter of fairness and moral principle. In her view, an equal split is the morally right way to divide the reward."
DG-S-P,DG,personal,Self-interest,D,,None,D-NA,"David and Laura finish a demanding work assignment together. A travel agency later sends David a set of promotional travel credits and tells him that he may give some to Laura if he wants. David keeps all of them. The credits are useful to him, and giving some away would leave him with less. Since the decision is his, he prefers the option that maximizes his own payoff."
DG-S-K,DG,anonymous market,Self-interest,D,,None,D-NA,"Firm A and Firm B complete a one-time sale through an online marketplace. The platform assigns the entire sales rebate to Firm A but allows A to transfer any portion to Firm B. Firm A keeps the full rebate. The manager of A thinks that any transfer would reduce her firm's earnings, leaving it will less that it could have. Thus, the manager makes a decision maximizing her firm’s payoff."
DG-C-P,DG,personal,Cooperation,C,,None,C-NA,"Giovanni and Paola work together on a freelance project. Giovanni brings in the client, while Paola provides the technical expertise needed to finish the job. The client pays the entire completion bonus to Giovanni and leaves it to him to decide whether to share it. Giovanni views the project as a win-win collaboration made possible by their complementary contributions and shares the completion bonus with Paola."
DG-C-K,DG,anonymous market,Cooperation,C,,None,C-NA,"Firm A and Firm B are matched through an online platform for a one-time production order. Firm A brings the customer, while Firm B supplies a component without which the order could not be completed. The platform pays the entire completion bonus to Firm A and leaves any transfer to B at A's discretion. The manager views the match as a value-creating collaboration made possible by the firms' complementary contributions and shares the completion bonus with Firm B."
UG-M-P,UG,personal,Moral,C,not decision-relevant,C,C-C,"Elena and Paolo had both prepared for a small concert that was cancelled at the last minute. The organizer offers them a one-time compensation payment, but it will be paid only if both sign the same settlement. Elena is asked to propose how the payment should be divided. She views the decision as a matter of fairness and moral principle, and suggests an equal split because both of them had put time into preparing for the concert. She thinks that equal division is the morally right thing to do. Paolo agrees and the compensation is shared."
UG-M-K,UG,anonymous market,Moral,C,not decision-relevant,C,C-C,"Two firms complete preparatory work for an order that is later cancelled. The platform offers a fixed compensation payment, but it will release the money only if both firms agree on how it is divided. Firm A is asked to propose the split. Its manager views the decision as a matter of fairness and moral principle, because both firms incurred costs preparing for the order. She thinks that the morally right thing to do is an equal split, and proposes it. Firm B accepts and the payment is shared."
UG-S-P,UG,personal,Self-interest,D,receiver likely to accept a small share,C,D-C,"Luca and Giulia are offered a one-time payment after an event they had planned together is cancelled. The organizer will pay only if both agree on the division, and Luca is asked to make the proposal. Luca thinks about the situation: he could offer little and Giulia could reject, leaving him with nothing. At the same time, he really needs this money and why would she reject, given that a small payment is better than no payment at all?  He therefore seizes the opportunity to maximize his own profit and offers Giulia only a small share. Giulia accepts and Luca keeps most for himself."
UG-S-K,UG,anonymous market,Self-interest,D,receiver likely to accept a small margin,C,D-C,"A retailer has a one-time order from a final customer and needs a supplier to complete it. The retailer proposes how the available margin will be divided, and if the supplier rejects, the order is cancelled and both firms earn nothing. The retailer’s manager is thinking about offering a small amount: her firm badly needs money and although she recognizes the risk of rejection, she also expects the supplier to prefer a small positive margin to walking away with nothing. It therefore leaves the supplier only a small share to keep most of the profit for herself. The supplier accepts."
UG-C-H-P,UG,personal,Cooperation,C,high probability of receiver cooperation,C,C-C,"Chiara and Stefano are offered a one-time payment for a community project they developed together, but the sponsor will release the money only if they agree on its division. Chiara is wary of the risk that Stefano might decline, but she also sees the project as a great win-win situation for both. Thus, she proposes a good share to Stefano, which still leaves a very good profit for her. Stefano accepts and Chiara is very happy."
UG-C-H-K,UG,anonymous market,Cooperation,C,high probability of receiver cooperation,C,C-C,"A producer and a distributor are considering a one-time order that will create a substantial margin if the deal goes through. The producer proposes how that margin will be divided, and the distributor can reject, in which case the order is lost and neither firm earns anything. The producer sees agreement as a very profitable opportunity for both sides and proposes a good share to the distributor. The producer’s manager is wary of the risk of rejection, but optimistic. She is right: the terms are accepted, making the deal very valuable for her firm."
UG-C-L-P,UG,personal,Cooperation,D,low probability of receiver cooperation,D,D-D,"Martina and Enrico have been offered a one-time payment for a small project they worked on together, but the sponsor will pay only if they agree on the division. Martina sees agreement as a valuable win-win opportunity for her and Enrico. She thinks there is a serious risk that Enrico will reject the deal, so she offers a non-negligible amount to reduce such risk. Enrico rejects, and Martina – upset - receives nothing."
UG-C-L-K,UG,anonymous market,Cooperation,D,low probability of receiver cooperation,D,D-D,"A producer and a distributor are considering a one-time order that would generate a substantial profit if they reach an agreement. The producer sees the transaction as a valuable profit opportunity for both firms. She thinks there is a serious risk that the distributor will reject the proposed terms and the joint profit will never be realized. Thus, she offers a non-negligible share, hoping on a positive return for both sides. The distributor rejects, and the distributor regrets her lost profit."
TG-M-P,TG,personal,Moral,C,not decision-relevant,C,C-C,"Miriam and Roberto discover a box of collectible books being sold cheaply at a clearance sale. Miriam has the cash to buy them, while Roberto knows collectors who would pay much more for the books and has offered to handle the resale. Miriam decides to finance half of the available purchase. She views the decision as a matter of fairness and moral principle: since Roberto is also contributing to the opportunity, she thinks that giving him an equal stake is the morally right thing to do. After the books are sold, Roberto sends part of the proceeds back to Miriam."
TG-M-K,TG,anonymous market,Moral,C,not decision-relevant,C,C-C,"A small wholesaler and an independent broker are matched through an online marketplace for a one-time resale opportunity. The wholesaler owns a batch of goods, while the broker has access to buyers willing to pay much more for them. The wholesaler consigns half of the available goods to the broker. Its manager views the decision as a matter of fairness and moral principle: since the broker is also contributing something essential, giving both sides a comparable stake is, in the manager's view, the morally right thing to do. After the resale, the broker transfers part of the proceeds back."
TG-S-P,TG,personal,Self-interest,D,receiver likely to return little or nothing,D,D-D,"Nicola has some savings, and Beatrice tells him about a batch of vintage furniture she can buy cheaply and resell through her contacts for several times the purchase price. Beatrice lacks enough cash to buy the whole batch, so Nicola can finance part of the deal. The arrangement is informal, and Beatrice would control the sale proceeds. Nicola is seriously concerned that she may keep most or all of the money once the furniture is sold. To avoid putting his own payoff at risk, he contributes only a very small amount and keeps most of his savings. Beatrice later sends nothing back."
TG-S-K,TG,anonymous market,Self-interest,D,receiver likely to return little or nothing,D,D-D,"A small wholesaler and an independent broker are matched through an online platform for a one-time resale opportunity. The broker has access to a buyer willing to pay several times the wholesaler's cost, but the parties have no enforceable agreement over how the resale proceeds will be divided. The wholesaler is seriously concerned that the broker may retain most or all of the proceeds once the sale is completed. To protect its own payoff from that risk, it consigns only a small quantity of goods and keeps the rest. The broker later transfers nothing back."
TG-C-H-P,TG,personal,Cooperation,C,high probability of receiver cooperation,C,C-C,"Camilla has some money set aside, while Federico has found a batch of vintage records that he can buy cheaply and resell to collectors for much more. Federico does not have enough cash to purchase the whole batch, and Camilla could finance part of the purchase. Camilla views this as a terrific win-win opportunity. Although she knows there is a risk that Federico could keep the resale proceeds, she thinks this joint profit opportunity cannot be lost. Thus, she provides a large part of the money. After the records are sold, Federico sends her back a substantial share of the revenue and Camilla is happy about her decision."
TG-C-H-K,TG,anonymous market,Cooperation,C,high probability of receiver cooperation,C,C-C,"A small wholesaler and an independent broker are matched through an online marketplace for a one-time resale opportunity. The broker has access to a buyer willing to pay several times the wholesaler's cost but needs inventory to complete the deal. The wholesaler’s manager sees this as a terrific opportunity for the two firms. She recognizes the risk that the broker could retain too much of the proceeds, but believes that in the end both firms will profit. Thus, the wholesaler consigns a large quantity. After the sale, the broker transfers a substantial payment back and the wholesaler’s manager is pleased by her large profit."
TG-C-L-P,TG,personal,Cooperation,D,low probability of receiver cooperation,D,D-D,"Marco has some savings, and Elena has found a batch of collectible items that she can buy cheaply and resell through her contacts at a much higher price. Elena lacks the cash to buy the whole batch, so Marco can finance part of the purchase. Marco sees the venture as a great opportunity for joint profits, At the same time, he thinks there is a substantial risk that Elena will keep most of the proceeds. He therefore invests a small amount, keeping part of his money safe. Elena later sends back nothing, leaving Marco disappointed."
TG-C-L-K,TG,anonymous market,Cooperation,D,low probability of receiver cooperation,D,D-D,"A small wholesaler and an independent broker are matched through an online marketplace for a one-time resale opportunity. The broker has access to buyers willing to pay several times the wholesaler's cost, so consigning goods can create a much larger total return from which both firms could profit. The wholesaler sees this as a great win-win opportunity. At the same time, she sees a substantial risk that the broker will keep the proceeds. It therefore consigns a smaller quantity, keeping most of its inventory safe. The broker completes the resale and sends back nothing, leaving the wholesaler disappointed"
