subject_id,PROLIFIC_PID,source_study,game,Market,kw_dummy,treatment_cell,trial_order,actual_allocation_kept,actual_share_sent,actual_reason,actual_reason_category,actual_reason_category_num,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
control_kwlt::543e5938fdf99b73557f2136,543e5938fdf99b73557f2136,control_kwlt,lt,0,0,lt_control,1,6.0,0.5,It felt the fairest,Moral,1,0.23611792323306724,-0.007750526821043635,1,0.6484058389618463,0.32702533097915953,0.02456883005899412
control_kwlt::54f844c0fdf99b2bd032e149,54f844c0fdf99b2bd032e149,control_kwlt,lt,0,0,lt_control,2,6.0,0.5,"Again, the funds were allocated at random and/or as a windfall, so nobody is 'entitled' to anything. The only fair outcome is a fair outcome - everyone ends with the same amount.",Moral,1,-0.2937265868407035,-0.04414309944299319,3,0.7270089158503146,0.24614332647722914,0.026847757672456285
control_kwlt::55999e94fdf99b37246adab5,55999e94fdf99b37246adab5,control_kwlt,lt,0,0,lt_control,1,6.0,0.5,i didnt want them to miss out but i dont know them so didnt want to give more,Self-interest,3,-0.0617136494751363,-0.050676529070690035,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
control_kwlt::55cf6a7b34e9060005e56ca2,55cf6a7b34e9060005e56ca2,control_kwlt,lt,0,0,lt_control,2,5.5,0.5416666666666667,Seemed fair,Moral,1,-0.06145404081055491,-0.03178165476072698,2,0.693409797223655,0.2807834826973948,0.025806720078950227
control_kwlt::55e9aa1c735c45001043fbb6,55e9aa1c735c45001043fbb6,control_kwlt,lt,0,0,lt_control,2,10.0,0.1666666666666666,We both have 6 now,Moral,1,-0.4294591868289597,-0.04038152156795794,3,0.7456166311746436,0.22667347524940568,0.027709893575950682
control_kwlt::561f684fed6e5a000dc7e878,561f684fed6e5a000dc7e878,control_kwlt,lt,0,0,lt_control,2,7.5,0.375,I wouldn't give more than half,Self-interest,3,0.590029739940387,-0.02156818250944031,2,0.5941371097641254,0.38381927697070706,0.022043613265167624
control_kwlt::56610c81b018d100126e5da9,56610c81b018d100126e5da9,control_kwlt,lt,0,0,lt_control,1,10.0,0.1666666666666666,I chose this option because this would come to an equal distribution between the 2 of us.,Moral,1,-0.06145404081055491,-0.03178165476072698,2,0.693409797223655,0.2807834826973948,0.025806720078950227
control_kwlt::56a1ed56e1e5a6000c8fbe33,56a1ed56e1e5a6000c8fbe33,control_kwlt,lt,0,0,lt_control,1,8.0,0.3333333333333333,I'm just keeping it as it was. I'm normally all about sharing and fairness but I've had a bad week so I'm not feeling as generous as I usually would,Self-interest,3,-0.06145404081055491,-0.03178165476072698,2,0.693409797223655,0.2807834826973948,0.025806720078950227
control_kwlt::56a93b0a402025000bd62f17,56a93b0a402025000bd62f17,control_kwlt,lt,0,0,lt_control,2,8.0,0.3333333333333333,I wouldn't give someone I don't know some of my money but wouldn't take any money from them,Self-interest,3,0.31909138758393263,-0.04632235777753479,4,0.6363830781276004,0.3404559467775654,0.02316097509483422
control_kwlt::56c81007ba8e37000d7b211e,56c81007ba8e37000d7b211e,control_kwlt,lt,0,0,lt_control,1,7.0,0.4166666666666666,I think it’s fair they had some more,Moral,1,-0.06171364947513633,-0.05067652907069,4,0.6938059520656559,0.28085585526866186,0.025338192665682248
