model,set,task,context,item_id,value
claude,1,graded,C-UG,UR2,65
claude,1,split,C-UG,UR2,30
claude,1,graded,C-UG,UA1,45
claude,1,split,C-UG,UA1,18
claude,1,graded,C-UG,UR1,80
claude,1,split,C-UG,UR1,35
claude,1,graded,C-UG,UA2,40
claude,1,split,C-UG,UA2,17
claude,1,graded,C-TG,TK1,55
claude,1,split,C-TG,TK1,20
claude,1,graded,C-TG,TR2,70
claude,1,split,C-TG,TR2,32
claude,1,graded,C-TG,TR1,65
claude,1,split,C-TG,TR1,28
claude,1,graded,C-TG,TK2,50
claude,1,split,C-TG,TK2,20
claude,1,graded,M-UG,UR2,65
claude,1,split,M-UG,UR2,30
claude,1,graded,M-UG,UA1,45
claude,1,split,M-UG,UA1,18
claude,1,graded,M-UG,UR1,78
claude,1,split,M-UG,UR1,35
claude,1,graded,M-UG,UA2,42
claude,1,split,M-UG,UA2,17
claude,1,graded,M-TG,TK1,55
claude,1,split,M-TG,TK1,21
claude,1,graded,M-TG,TR2,68
claude,1,split,M-TG,TR2,30
claude,1,graded,M-TG,TR1,63
claude,1,split,M-TG,TR1,28
claude,1,graded,M-TG,TK2,52
claude,1,split,M-TG,TK2,21
claude,2,graded,M-TG,TR1,65
claude,2,split,M-TG,TR1,30
claude,2,graded,M-TG,TK2,42
claude,2,split,M-TG,TK2,20
claude,2,graded,M-TG,TK1,42
claude,2,split,M-TG,TK1,20
claude,2,graded,M-TG,TR2,55
claude,2,split,M-TG,TR2,30
claude,2,graded,M-UG,UA2,55
claude,2,split,M-UG,UA2,28
claude,2,graded,M-UG,UR1,45
claude,2,split,M-UG,UR1,22
claude,2,graded,M-UG,UA1,58
claude,2,split,M-UG,UA1,30
claude,2,graded,M-UG,UR2,42
claude,2,split,M-UG,UR2,20
claude,2,graded,C-UG,UA2,52
claude,2,split,C-UG,UA2,26
claude,2,graded,C-UG,UR1,48
claude,2,split,C-UG,UR1,24
claude,2,graded,C-UG,UA1,55
claude,2,split,C-UG,UA1,28
claude,2,graded,C-UG,UR2,45
claude,2,split,C-UG,UR2,22
claude,2,graded,C-TG,TR1,60
claude,2,split,C-TG,TR1,28
claude,2,graded,C-TG,TK2,45
claude,2,split,C-TG,TK2,22
claude,2,graded,C-TG,TK1,45
claude,2,split,C-TG,TK1,22
claude,2,graded,C-TG,TR2,55
claude,2,split,C-TG,TR2,28
claude,3,graded,C-TG,TK2,30
claude,3,split,C-TG,TK2,17
claude,3,graded,C-TG,TR1,60
claude,3,split,C-TG,TR1,32
claude,3,graded,C-TG,TR2,65
claude,3,split,C-TG,TR2,34
claude,3,graded,C-TG,TK1,30
claude,3,split,C-TG,TK1,17
claude,3,graded,M-TG,TK2,35
claude,3,split,M-TG,TK2,18
claude,3,graded,M-TG,TR1,55
claude,3,split,M-TG,TR1,31
claude,3,graded,M-TG,TR2,60
claude,3,split,M-TG,TR2,33
claude,3,graded,M-TG,TK1,35
claude,3,split,M-TG,TK1,18
claude,3,graded,C-UG,UR1,60
claude,3,split,C-UG,UR1,28
claude,3,graded,C-UG,UA2,45
claude,3,split,C-UG,UA2,22
claude,3,graded,C-UG,UR2,55
claude,3,split,C-UG,UR2,27
claude,3,graded,C-UG,UA1,45
claude,3,split,C-UG,UA1,23
claude,3,graded,M-UG,UR1,55
claude,3,split,M-UG,UR1,26
claude,3,graded,M-UG,UA2,50
claude,3,split,M-UG,UA2,24
claude,3,graded,M-UG,UR2,55
claude,3,split,M-UG,UR2,26
claude,3,graded,M-UG,UA1,50
claude,3,split,M-UG,UA1,24
