hp_response_id,similarity_reference_B
HP2401,18
HP2402,54
HP2403,52
HP2404,3
HP2405,86
HP2406,38
HP2407,70
HP2408,50
HP2409,53
HP2410,79
HP2411,58
HP2412,18
HP2413,54
HP2414,52
HP2415,17
HP2416,61
HP2417,25
HP2418,51
HP2419,48
HP2420,70
HP2421,0
HP2422,62
HP2423,84
HP2424,52
HP2425,10
HP2426,3
HP2427,46
HP2428,63
HP2429,82
HP2430,69
HP2431,18
HP2432,51
HP2433,14
HP2434,17
HP2435,55
HP2436,42
HP2437,2
HP2438,45
HP2439,26
HP2440,71
HP2441,15
HP2442,44
HP2443,27
HP2444,2
HP2445,20
HP2446,18
HP2447,53
HP2448,67
HP2449,3
HP2450,55
HP2451,20
HP2452,59
HP2453,56
HP2454,17
HP2455,54
HP2456,70
HP2457,30
HP2458,8
HP2459,43
HP2460,2
HP2461,14
HP2462,57
HP2463,83
HP2464,58
HP2465,61
HP2466,52
HP2467,63
HP2468,11
HP2469,16
HP2470,22
HP2471,49
HP2472,60
HP2473,52
HP2474,2
HP2475,54
HP2476,80
HP2477,54
HP2478,14
HP2479,37
HP2480,5
HP2481,47
HP2482,59
HP2483,19
HP2484,45
HP2485,47
HP2486,52
HP2487,69
HP2488,44
HP2489,36
HP2490,3
HP2491,7
HP2492,8
HP2493,31
HP2494,55
HP2495,44
HP2496,71
HP2497,71
HP2498,3
HP2499,53
HP2500,53
HP2501,38
HP2502,42
HP2503,8
HP2504,49
HP2505,51
HP2506,17
HP2507,46
HP2508,55
HP2509,0
HP2510,10
HP2511,49
HP2512,6
HP2513,51
HP2514,65
HP2515,4
HP2516,16
HP2517,54
HP2518,57
HP2519,18
HP2520,50
HP2521,58
HP2522,77
HP2523,72
HP2524,76
HP2525,50
HP2526,68
HP2527,40
HP2528,48
HP2529,56
HP2530,20
HP2531,55
HP2532,18
HP2533,51
HP2534,57
HP2535,64
HP2536,48
HP2537,52
HP2538,69
HP2539,50
HP2540,48
HP2541,2
HP2542,84
HP2543,3
HP2544,2
HP2545,52
HP2546,19
HP2547,64
HP2548,6
HP2549,80
HP2550,14
HP2551,76
HP2552,44
HP2553,63
HP2554,57
HP2555,55
HP2556,61
HP2557,48
HP2558,84
HP2559,50
HP2560,1
HP2561,48
HP2562,52
HP2563,66
HP2564,2
HP2565,66
HP2566,1
HP2567,0
HP2568,27
HP2569,52
HP2570,33
HP2571,20
HP2572,49
HP2573,56
HP2574,49
HP2575,17
HP2576,29
HP2577,61
HP2578,52
HP2579,51
HP2580,21
HP2581,34
HP2582,2
HP2583,5
HP2584,61
HP2585,2
HP2586,12
HP2587,12
HP2588,85
HP2589,37
HP2590,53
HP2591,52
HP2592,23
HP2593,89
HP2594,19
HP2595,11
HP2596,12
HP2597,50
HP2598,64
HP2599,12
HP2600,25
HP2601,63
HP2602,18
HP2603,25
HP2604,43
HP2605,5
HP2606,50
HP2607,61
HP2608,32
HP2609,48
HP2610,43
HP2611,18
HP2612,78
HP2613,50
HP2614,1
HP2615,56
HP2616,59
HP2617,65
HP2618,61
HP2619,69
HP2620,58
HP2621,0
HP2622,20
HP2623,1
HP2624,60
HP2625,54
HP2626,69
HP2627,53
HP2628,21
HP2629,50
HP2630,51
HP2631,57
HP2632,10
HP2633,60
HP2634,33
HP2635,59
HP2636,57
HP2637,59
HP2638,42
HP2639,2
HP2640,36
HP2641,60
HP2642,80
HP2643,82
HP2644,76
HP2645,52
HP2646,34
HP2647,52
HP2648,28
HP2649,6
HP2650,24
HP2651,1
HP2652,69
HP2653,58
HP2654,0
HP2655,54
HP2656,11
HP2657,53
HP2658,1
HP2659,67
HP2660,9
HP2661,8
HP2662,20
HP2663,53
HP2664,8
HP2665,17
HP2666,57
HP2667,35
HP2668,14
HP2669,26
HP2670,53
HP2671,0
HP2672,83
HP2673,51
HP2674,92
HP2675,70
HP2676,5
HP2677,49
HP2678,7
HP2679,75
HP2680,50
HP2681,34
HP2682,63
HP2683,8
HP2684,1
HP2685,78
HP2686,5
HP2687,49
HP2688,61
HP2689,58
HP2690,15
HP2691,15
HP2692,56
HP2693,13
HP2694,18
HP2695,19
HP2696,55
HP2697,52
HP2698,53
HP2699,52
HP2700,48
HP2701,50
HP2702,57
HP2703,18
HP2704,23
HP2705,8
HP2706,16
HP2707,79
HP2708,18
HP2709,67
HP2710,30
HP2711,90
HP2712,18
HP2713,13
HP2714,64
HP2715,12
HP2716,48
HP2717,0
HP2718,52
HP2719,25
HP2720,51
HP2721,8
HP2722,91
HP2723,51
HP2724,49
HP2725,20
HP2726,52
