"classification_id","category_num","classification_origin"
"WCLS00001","0","gpt_5_6_subagent"
"WCLS00002","0","gpt_5_6_subagent"
"WCLS00003","0","gpt_5_6_subagent"
"WCLS00004","0","gpt_5_6_subagent"
"WCLS00005","0","gpt_5_6_subagent"
"WCLS00006","0","gpt_5_6_subagent"
"WCLS00007","0","gpt_5_6_subagent"
"WCLS00008","0","gpt_5_6_subagent"
"WCLS00009","0","gpt_5_6_subagent"
"WCLS00010","0","gpt_5_6_subagent"
"WCLS00011","1","gpt_5_6_subagent"
"WCLS00012","0","gpt_5_6_subagent"
"WCLS00013","1","gpt_5_6_subagent"
"WCLS00014","0","gpt_5_6_subagent"
"WCLS00015","0","gpt_5_6_subagent"
"WCLS00016","0","gpt_5_6_subagent"
"WCLS00017","0","gpt_5_6_subagent"
"WCLS00018","0","gpt_5_6_subagent"
"WCLS00019","0","gpt_5_6_subagent"
"WCLS00020","0","gpt_5_6_subagent"
"WCLS00021","1","gpt_5_6_subagent"
"WCLS00022","0","gpt_5_6_subagent"
"WCLS00023","0","gpt_5_6_subagent"
"WCLS00024","0","gpt_5_6_subagent"
"WCLS00025","0","gpt_5_6_subagent"
"WCLS00026","0","gpt_5_6_subagent"
"WCLS00027","0","gpt_5_6_subagent"
"WCLS00028","0","gpt_5_6_subagent"
"WCLS00029","0","gpt_5_6_subagent"
"WCLS00030","0","gpt_5_6_subagent"
"WCLS00031","0","gpt_5_6_subagent"
"WCLS00032","0","gpt_5_6_subagent"
"WCLS00033","0","gpt_5_6_subagent"
"WCLS00034","0","gpt_5_6_subagent"
"WCLS00035","0","gpt_5_6_subagent"
"WCLS00036","0","gpt_5_6_subagent"
"WCLS00037","0","gpt_5_6_subagent"
"WCLS00038","0","gpt_5_6_subagent"
"WCLS00039","0","gpt_5_6_subagent"
"WCLS00040","1","gpt_5_6_subagent"
"WCLS00041","0","gpt_5_6_subagent"
"WCLS00042","0","gpt_5_6_subagent"
"WCLS00043","0","gpt_5_6_subagent"
"WCLS00044","0","gpt_5_6_subagent"
"WCLS00045","0","gpt_5_6_subagent"
"WCLS00046","0","gpt_5_6_subagent"
"WCLS00047","0","gpt_5_6_subagent"
"WCLS00048","0","gpt_5_6_subagent"
"WCLS00050","0","gpt_5_6_subagent"
"WCLS00052","0","gpt_5_6_subagent"
"WCLS00053","0","gpt_5_6_subagent"
"WCLS00054","0","gpt_5_6_subagent"
"WCLS00055","0","gpt_5_6_subagent"
"WCLS00056","0","gpt_5_6_subagent"
"WCLS00057","0","gpt_5_6_subagent"
"WCLS00058","0","gpt_5_6_subagent"
"WCLS00059","1","gpt_5_6_subagent"
"WCLS00060","1","gpt_5_6_subagent"
"WCLS00061","1","gpt_5_6_subagent"
"WCLS00062","0","gpt_5_6_subagent"
"WCLS00063","0","gpt_5_6_subagent"
"WCLS00064","0","gpt_5_6_subagent"
"WCLS00065","0","gpt_5_6_subagent"
"WCLS00066","0","gpt_5_6_subagent"
"WCLS00067","0","gpt_5_6_subagent"
"WCLS00068","0","gpt_5_6_subagent"
"WCLS00069","0","gpt_5_6_subagent"
"WCLS00070","0","gpt_5_6_subagent"
"WCLS00071","0","gpt_5_6_subagent"
"WCLS00072","0","gpt_5_6_subagent"
"WCLS00074","1","gpt_5_6_subagent"
"WCLS00075","0","gpt_5_6_subagent"
"WCLS00076","0","gpt_5_6_subagent"
"WCLS00077","0","gpt_5_6_subagent"
"WCLS00078","0","gpt_5_6_subagent"
"WCLS00079","0","gpt_5_6_subagent"
"WCLS00080","1","gpt_5_6_subagent"
"WCLS00081","1","gpt_5_6_subagent"
"WCLS00082","0","gpt_5_6_subagent"
"WCLS00083","0","gpt_5_6_subagent"
"WCLS00084","0","gpt_5_6_subagent"
"WCLS00085","0","gpt_5_6_subagent"
"WCLS00086","0","gpt_5_6_subagent"
"WCLS00087","0","gpt_5_6_subagent"
"WCLS00088","1","gpt_5_6_subagent"
"WCLS00089","0","gpt_5_6_subagent"
"WCLS00090","0","gpt_5_6_subagent"
"WCLS00091","0","gpt_5_6_subagent"
"WCLS00092","1","gpt_5_6_subagent"
"WCLS00093","1","gpt_5_6_subagent"
"WCLS00095","0","gpt_5_6_subagent"
"WCLS00096","1","gpt_5_6_subagent"
"WCLS00097","1","gpt_5_6_subagent"
"WCLS00098","3","gpt_5_6_subagent"
"WCLS00099","0","gpt_5_6_subagent"
"WCLS00100","1","gpt_5_6_subagent"
"WCLS00101","0","gpt_5_6_subagent"
"WCLS00102","0","gpt_5_6_subagent"
"WCLS00103","0","gpt_5_6_subagent"
"WCLS00105","1","gpt_5_6_subagent"
"WCLS00106","0","gpt_5_6_subagent"
"WCLS00107","0","gpt_5_6_subagent"
"WCLS00108","0","gpt_5_6_subagent"
"WCLS00109","0","gpt_5_6_subagent"
"WCLS00110","0","gpt_5_6_subagent"
