hp_response_id,similarity_reference_A
HP4001,15
HP4002,25
HP4003,23
HP4004,18
HP4005,27
HP4006,28
HP4007,8
HP4008,1
HP4009,20
HP4010,26
HP4011,28
HP4012,19
HP4013,25
HP4014,18
HP4015,20
HP4016,36
HP4017,5
HP4018,24
HP4019,23
HP4020,25
HP4021,3
HP4022,24
HP4023,61
HP4024,20
HP4025,9
HP4026,10
HP4027,22
HP4028,23
HP4029,24
HP4030,27
HP4031,7
HP4032,24
HP4033,69
HP4034,5
HP4035,25
HP4036,66
HP4037,5
HP4038,5
HP4039,8
HP4040,24
HP4041,76
HP4042,6
HP4043,22
HP4044,3
HP4045,28
HP4046,13
HP4047,20
HP4048,25
HP4049,43
HP4050,20
HP4051,34
HP4052,25
HP4053,20
HP4054,6
HP4055,23
HP4056,28
HP4057,13
HP4058,24
HP4059,20
HP4060,5
HP4061,7
HP4062,28
HP4063,64
HP4064,46
HP4065,25
HP4066,24
HP4067,24
HP4068,54
HP4069,26
HP4070,33
HP4071,24
HP4072,29
HP4073,22
HP4074,19
HP4075,21
HP4076,26
HP4077,22
HP4078,10
HP4079,24
HP4080,35
HP4081,25
HP4082,23
HP4083,5
HP4084,21
HP4085,22
HP4086,21
HP4087,29
HP4088,19
HP4089,19
HP4090,4
HP4091,23
HP4092,7
HP4093,14
HP4094,18
HP4095,20
HP4096,23
HP4097,28
HP4098,18
HP4099,23
HP4100,8
HP4101,18
HP4102,25
HP4103,74
HP4104,18
HP4105,19
HP4106,7
HP4107,23
HP4108,22
HP4109,4
HP4110,81
HP4111,20
HP4112,14
HP4113,28
HP4114,25
HP4115,12
HP4116,22
HP4117,23
HP4118,25
HP4119,26
HP4120,24
HP4121,25
HP4122,50
HP4123,40
HP4124,75
HP4125,25
HP4126,29
HP4127,17
HP4128,16
HP4129,21
HP4130,23
HP4131,22
HP4132,6
HP4133,24
HP4134,62
HP4135,75
HP4136,19
HP4137,16
HP4138,27
HP4139,28
HP4140,18
HP4141,2
HP4142,50
HP4143,22
HP4144,8
HP4145,20
HP4146,69
HP4147,8
HP4148,12
HP4149,21
HP4150,19
HP4151,25
HP4152,24
HP4153,26
HP4154,24
HP4155,27
HP4156,28
HP4157,19
HP4158,56
HP4159,18
HP4160,4
HP4161,19
HP4162,17
HP4163,25
HP4164,44
HP4165,25
HP4166,2
HP4167,19
HP4168,22
HP4169,25
HP4170,20
HP4171,16
HP4172,16
HP4173,22
HP4174,21
HP4175,12
HP4176,19
HP4177,25
HP4178,21
HP4179,32
HP4180,42
HP4181,20
HP4182,18
HP4183,5
HP4184,28
HP4185,42
HP4186,8
HP4187,26
HP4188,70
HP4189,40
HP4190,21
HP4191,19
HP4192,30
HP4193,72
HP4194,6
HP4195,7
HP4196,7
HP4197,18
HP4198,28
HP4199,29
HP4200,17
HP4201,25
HP4202,69
HP4203,18
HP4204,27
HP4205,22
HP4206,20
HP4207,19
HP4208,24
HP4209,24
HP4210,25
HP4211,7
HP4212,18
HP4213,22
HP4214,2
HP4215,18
HP4216,9
HP4217,52
HP4218,24
HP4219,29
HP4220,16
HP4221,7
HP4222,31
HP4223,12
HP4224,24
HP4225,22
HP4226,27
HP4227,25
HP4228,7
HP4229,26
HP4230,25
HP4231,25
HP4232,61
HP4233,25
HP4234,20
HP4235,25
HP4236,24
HP4237,20
HP4238,28
HP4239,40
HP4240,19
HP4241,27
HP4242,69
HP4243,73
HP4244,49
HP4245,15
HP4246,27
HP4247,42
HP4248,19
HP4249,5
HP4250,25
HP4251,2
HP4252,28
HP4253,22
HP4254,4
HP4255,42
HP4256,54
HP4257,20
HP4258,6
HP4259,21
HP4260,15
HP4261,7
HP4262,21
HP4263,27
HP4264,23
HP4265,5
HP4266,47
HP4267,24
HP4268,13
HP4269,14
HP4270,23
HP4271,45
HP4272,54
HP4273,36
HP4274,71
HP4275,72
HP4276,19
HP4277,24
HP4278,25
HP4279,26
HP4280,8
HP4281,14
HP4282,28
HP4283,76
HP4284,7
HP4285,24
HP4286,5
HP4287,20
HP4288,27
HP4289,25
HP4290,39
HP4291,16
HP4292,23
HP4293,20
HP4294,43
HP4295,9
HP4296,20
HP4297,24
HP4298,18
HP4299,24
HP4300,26
HP4301,19
HP4302,23
HP4303,7
HP4304,58
HP4305,24
HP4306,7
HP4307,14
HP4308,7
HP4309,28
HP4310,14
HP4311,64
HP4312,13
HP4313,63
HP4314,26
HP4315,26
HP4316,18
HP4317,1
HP4318,23
HP4319,17
HP4320,23
HP4321,24
HP4322,28
HP4323,20
HP4324,56
HP4325,21
HP4326,23
HP4327,6
HP4328,23
HP4329,25
HP4330,20
HP4331,17
HP4332,31
HP4333,23
HP4334,24
HP4335,26
HP4336,22
HP4337,27
HP4338,25
HP4339,76
HP4340,24
HP4341,17
HP4342,14
HP4343,27
HP4344,16
HP4345,8
HP4346,23
HP4347,20
HP4348,28
HP4349,12
HP4350,22
HP4351,18
HP4352,28
HP4353,34
HP4354,19
HP4355,20
HP4356,19
HP4357,57
HP4358,18
HP4359,18
HP4360,21
HP4361,20
HP4362,19
HP4363,7
HP4364,35
HP4365,75
HP4366,26
HP4367,8
HP4368,59
HP4369,19
HP4370,24
HP4371,20
HP4372,21
HP4373,22
HP4374,1
HP4375,24
HP4376,13
HP4377,27
HP4378,23
HP4379,23
HP4380,19
HP4381,21
HP4382,7
HP4383,8
HP4384,19
HP4385,57
HP4386,25
HP4387,31
HP4388,32
HP4389,28
HP4390,30
HP4391,23
HP4392,20
HP4393,11
HP4394,7
HP4395,26
HP4396,19
HP4397,21
HP4398,23
HP4399,63
HP4400,20
