context_id,vignette_id,rating
T01,V01,32
T01,V02,56
T01,V03,30
T01,V04,43
T01,V05,94
T01,V06,38
T01,V07,45
T01,V08,77
T01,V09,94
T01,V10,76
T01,V11,39
T01,V12,72
T01,V13,84
T01,V14,84
T01,V15,70
T01,V16,32
T01,V17,54
T01,V18,34
T01,V19,40
T01,V20,70
T01,V21,76
T01,V22,46
T01,V23,77
T01,V24,39
T01,V25,38
T01,V26,40
T01,V27,72
T01,V28,58
T01,V29,34
T01,V30,30
T02,V01,82
T02,V02,52
T02,V03,78
T02,V04,43
T02,V05,32
T02,V06,89
T02,V07,46
T02,V08,40
T02,V09,32
T02,V10,41
T02,V11,80
T02,V12,36
T02,V13,48
T02,V14,48
T02,V15,40
T02,V16,82
T02,V17,57
T02,V18,88
T02,V19,83
T02,V20,40
T02,V21,41
T02,V22,59
T02,V23,40
T02,V24,79
T02,V25,89
T02,V26,84
T02,V27,36
T02,V28,62
T02,V29,88
T02,V30,78
T03,V01,44
T03,V02,52
T03,V03,47
T03,V04,64
T03,V05,78
T03,V06,36
T03,V07,66
T03,V08,79
T03,V09,78
T03,V10,78
T03,V11,37
T03,V12,88
T03,V13,75
T03,V14,75
T03,V15,84
T03,V16,44
T03,V17,50
T03,V18,46
T03,V19,37
T03,V20,84
T03,V21,77
T03,V22,61
T03,V23,79
T03,V24,37
T03,V25,36
T03,V26,38
T03,V27,88
T03,V28,50
T03,V29,46
T03,V30,47
T04,V01,34
T04,V02,58
T04,V03,34
T04,V04,60
T04,V05,90
T04,V06,36
T04,V07,62
T04,V08,88
T04,V09,90
T04,V10,88
T04,V11,35
T04,V12,90
T04,V13,87
T04,V14,87
T04,V15,90
T04,V16,34
T04,V17,57
T04,V18,35
T04,V19,35
T04,V20,90
T04,V21,88
T04,V22,60
T04,V23,88
T04,V24,35
T04,V25,36
T04,V26,35
T04,V27,90
T04,V28,58
T04,V29,35
T04,V30,34
T05,V01,43
T05,V02,87
T05,V03,42
T05,V04,89
T05,V05,58
T05,V06,46
T05,V07,92
T05,V08,60
T05,V09,58
T05,V10,60
T05,V11,43
T05,V12,62
T05,V13,59
T05,V14,59
T05,V15,62
T05,V16,43
T05,V17,86
T05,V18,44
T05,V19,43
T05,V20,62
T05,V21,60
T05,V22,88
T05,V23,60
T05,V24,43
T05,V25,46
T05,V26,43
T05,V27,62
T05,V28,87
T05,V29,44
T05,V30,42
T06,V01,38
T06,V02,59
T06,V03,36
T06,V04,49
T06,V05,82
T06,V06,44
T06,V07,53
T06,V08,82
T06,V09,82
T06,V10,82
T06,V11,38
T06,V12,82
T06,V13,94
T06,V14,94
T06,V15,80
T06,V16,38
T06,V17,58
T06,V18,41
T06,V19,39
T06,V20,80
T06,V21,81
T06,V22,58
T06,V23,82
T06,V24,38
T06,V25,44
T06,V26,39
T06,V27,82
T06,V28,64
T06,V29,41
T06,V30,36
T07,V01,46
T07,V02,75
T07,V03,49
T07,V04,88
T07,V05,58
T07,V06,40
T07,V07,86
T07,V08,62
T07,V09,58
T07,V10,61
T07,V11,41
T07,V12,68
T07,V13,56
T07,V14,56
T07,V15,66
T07,V16,46
T07,V17,74
T07,V18,50
T07,V19,41
T07,V20,66
T07,V21,61
T07,V22,81
T07,V23,62
T07,V24,41
T07,V25,40
T07,V26,42
T07,V27,68
T07,V28,72
T07,V29,50
T07,V30,49
T08,V01,93
T08,V02,43
T08,V03,91
T08,V04,44
T08,V05,33
T08,V06,91
T08,V07,47
T08,V08,36
T08,V09,33
T08,V10,36
T08,V11,92
T08,V12,34
T08,V13,35
T08,V14,35
T08,V15,36
T08,V16,93
T08,V17,48
T08,V18,91
T08,V19,92
T08,V20,36
T08,V21,36
T08,V22,48
T08,V23,36
T08,V24,92
T08,V25,91
T08,V26,93
T08,V27,34
T08,V28,46
T08,V29,91
T08,V30,91
T09,V01,84
T09,V02,48
T09,V03,82
T09,V04,38
T09,V05,42
T09,V06,94
T09,V07,40
T09,V08,38
T09,V09,42
T09,V10,40
T09,V11,93
T09,V12,35
T09,V13,44
T09,V14,44
T09,V15,34
T09,V16,84
T09,V17,52
T09,V18,80
T09,V19,93
T09,V20,34
T09,V21,40
T09,V22,43
T09,V23,38
T09,V24,93
T09,V25,94
T09,V26,93
T09,V27,35
T09,V28,50
T09,V29,80
T09,V30,82
T10,V01,88
T10,V02,45
T10,V03,91
T10,V04,55
T10,V05,35
T10,V06,80
T10,V07,52
T10,V08,40
T10,V09,35
T10,V10,40
T10,V11,82
T10,V12,44
T10,V13,38
T10,V14,38
T10,V15,43
T10,V16,88
T10,V17,46
T10,V18,90
T10,V19,82
T10,V20,43
T10,V21,40
T10,V22,50
T10,V23,41
T10,V24,82
T10,V25,80
T10,V26,83
T10,V27,44
T10,V28,44
T10,V29,90
T10,V30,91
T11,V01,43
T11,V02,90
T11,V03,41
T11,V04,67
T11,V05,72
T11,V06,54
T11,V07,66
T11,V08,56
T11,V09,72
T11,V10,56
T11,V11,52
T11,V12,54
T11,V13,64
T11,V14,64
T11,V15,50
T11,V16,43
T11,V17,85
T11,V18,43
T11,V19,53
T11,V20,50
T11,V21,56
T11,V22,72
T11,V23,56
T11,V24,52
T11,V25,54
T11,V26,53
T11,V27,54
T11,V28,86
T11,V29,43
T11,V30,41
T12,V01,50
T12,V02,86
T12,V03,47
T12,V04,72
T12,V05,55
T12,V06,56
T12,V07,78
T12,V08,60
T12,V09,55
T12,V10,60
T12,V11,49
T12,V12,57
T12,V13,65
T12,V14,65
T12,V15,56
T12,V16,50
T12,V17,90
T12,V18,53
T12,V19,50
T12,V20,56
T12,V21,60
T12,V22,88
T12,V23,60
T12,V24,49
T12,V25,56
T12,V26,51
T12,V27,57
T12,V28,96
T12,V29,53
T12,V30,47
