StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q4,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,beliefs_hp,attention_check,story,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,Suppose Player 1 decides to send $2. How much money will Player 2 receive?,"Please write one or two sentences summarizing the story. Your summary should accurately reflect the story’s content, as it will be checked for consistency.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose that amount.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,beliefs_hp,attention_check,story,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID231""}","{""ImportId"":""QID1219531347_TEXT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID234_FIRST_CLICK""}","{""ImportId"":""QID234_LAST_CLICK""}","{""ImportId"":""QID234_PAGE_SUBMIT""}","{""ImportId"":""QID234_CLICK_COUNT""}","{""ImportId"":""QID236_FIRST_CLICK""}","{""ImportId"":""QID236_LAST_CLICK""}","{""ImportId"":""QID236_PAGE_SUBMIT""}","{""ImportId"":""QID236_CLICK_COUNT""}","{""ImportId"":""QID244_FIRST_CLICK""}","{""ImportId"":""QID244_LAST_CLICK""}","{""ImportId"":""QID244_PAGE_SUBMIT""}","{""ImportId"":""QID244_CLICK_COUNT""}","{""ImportId"":""QID225_FIRST_CLICK""}","{""ImportId"":""QID225_LAST_CLICK""}","{""ImportId"":""QID225_PAGE_SUBMIT""}","{""ImportId"":""QID225_CLICK_COUNT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""transfer""}","{""ImportId"":""reasons""}","{""ImportId"":""beliefs""}","{""ImportId"":""beliefs_hp""}","{""ImportId"":""attention_check""}","{""ImportId"":""story""}","{""ImportId"":""Q_DataPolicyViolations""}"
2026-04-21 11:00:17,2026-04-21 11:03:26,0,,100,188,1,2026-04-21 11:03:26,R_2AWmcck96LW5zw9,,,,,,,anonymous,EN,1,,,1,1,3,2,James was successful in gaining a government welfare grant and his neighour wasn't. He felt a little guilty if he kept all the money himself and thought about if he should give some to his neighbour Mark.,0,0,2.006,0,4.214,5.622,7.265,2,I can't trust Player 2 to send any money back to me so the outcome was more in my hands if I just kept the initial sum.,,,,,5.461,5.461,6.377,1,3.367,3.367,4.17,1,0,0,0.204,0,0,6,5e61f36dc7061b0c396928f2,69e758bb9297d675f1bd4028,69e7557895b8b62fbc3c50b8,0,I can't trust Player 2 to send any money back to me so the outcome was more in my hands if I just kept the initial sum.,0,0,1,4,
2026-04-21 11:01:33,2026-04-21 11:04:51,0,,100,197,1,2026-04-21 11:04:51,R_6Ycskc6id8oQRYl,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve's team achieved great success for exceeding their sales goal. As a reward, Steve was given a large bonus, and he currently has the option to give some of this bonus to his subordinate, Max. ",0,0,2.122,0,1.753,1.753,4.204,1,"I wanted to create the maximum bonus potential for my partner and I. I feel that, upon receiving the maximum bonus, my partner will be inspired to send plenty back to me. ",3.217,3.217,4.296,1,,,,,5.634,5.634,6.708,1,0,0,0.21,0,0,0,5c02c3b20eb9aa00010dc4cc,69e7590840f675f01f722afd,69e7557895b8b62fbc3c50b8,6,"I wanted to create the maximum bonus potential for my partner and I. I feel that, upon receiving the maximum bonus, my partner will be inspired to send plenty back to me. ",9,2,1,2,
2026-04-21 11:01:04,2026-04-21 11:07:23,0,,100,379,1,2026-04-21 11:07:24,R_8DMPyGHdpACRmsU,,,,,,,anonymous,EN,1,,,1,1,3,2,James was approved for financial help. Mark wasn't. James felt bad for mark and wast tempted to help. But Mark isn not a close friend.  he was undecided about what to do.,0,0,2.006,0,6.978,9.974,11.976,3,beause if we all shared a little we would all be better off.,4.688,8.299,9.335,2,,,,,12.873,14.77,15.712,3,0,0,0.206,0,0,3,5ecb8ed5b18cd7000cc83552,69e758e34906b1063566f2ed,69e7557895b8b62fbc3c50b8,3,beause if we all shared a little we would all be better off.,4.5,3,1,4,
2026-04-21 11:02:48,2026-04-21 11:10:13,0,,100,444,1,2026-04-21 11:10:13,R_3X5FB0pzQRcDcsN,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve and his team were awarded a bonus for exceeding a sales target. Steve is the team leader and allocator of the bonus funds. He can either keep it for himself or share with his teammate, Max, who made a significant contribution. ",0,0,2.014,0,10.383,13.239,14.901,3,I chose that amount so the other player would get half of the $6 and then hopefully send me half of his/hers that is multiplied! ,3.853,5.575,9.502,3,,,,,5.645,19.946,22.618,5,0,0,0.216,0,0,3,660456076fd04832e53c09ea,69e7593b53759ad0d27fba71,69e7557895b8b62fbc3c50b8,3,I chose that amount so the other player would get half of the $6 and then hopefully send me half of his/hers that is multiplied! ,4,1.5,1,2,
2026-04-21 11:11:08,2026-04-21 11:11:23,0,,100,15,1,2026-04-21 11:11:23,R_8HxbBGqqTAexm8N,,,,,,,anonymous,EN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6978cc6fec93939bff8fcb96,69e75b465dcf869199202226,69e7557895b8b62fbc3c50b8,,,,,0,,
2026-04-21 11:11:24,2026-04-21 11:11:50,0,,100,26,1,2026-04-21 11:11:50,R_5nTTlbtVtO4fdk5,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,69c1256faa88d6296c98d745,69e75b556741f9dc5a060b6d,69e7557895b8b62fbc3c50b8,,,,,0,,
2026-04-21 11:13:33,2026-04-21 11:16:14,0,,100,160,1,2026-04-21 11:16:14,R_8Ba3gRSpK1oJQib,,,,,,,anonymous,EN,1,,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,66d15c3223f628509ca2dd64,69e75bd5b161c957c9ea7573,69e7557895b8b62fbc3c50b8,,,,,1,,
2026-04-21 11:16:33,2026-04-21 11:16:43,0,,100,10,1,2026-04-21 11:16:44,R_2hgA5Syn7bucZw2,,,,,,,anonymous,EN,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,667c79fa77400862beac1589,69e75c8adf4f3526033afad4,69e7557895b8b62fbc3c50b8,,,,,0,,
2026-04-21 11:01:00,2026-04-21 11:16:47,0,,100,947,1,2026-04-21 11:16:47,R_7rYnoQozONRLk7H,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve and his team exceeded their sales target. As the team leader, Steve was told by the director that the full bonus will be given to him, but he can give part of the bonus to his teammate Max whose contribution was a big part of the team's success. Steve now has to decide on whether to keep all the bonus to himself or give some of it to Max.",0,0,2.008,0,8.957,51.546,69.6,9,"I chose to send $2 to Player 2 because they will then receive $6. I think it's not fair for only one of us to get money for completing the same task, so that's why I sent some money. If the Player 2 wanted to be fair too, they would send me back $1, so that we both get $5. I'm not expecting them to do so though, so I'll be fine with $4 while they have $6.",5.885,5.885,11.108,1,,,,,,,,,0,0,0.203,0,0,4,69c8b7b61ad4d656593669a9,69e758e7d3f0e83678482cfe,69e7557895b8b62fbc3c50b8,2,"I chose to send $2 to Player 2 because they will then receive $6. I think it's not fair for only one of us to get money for completing the same task, so that's why I sent some money. If the Player 2 wanted to be fair too, they would send me back $1, so that we both get $5. I'm not expecting them to do so though, so I'll be fine with $4 while they have $6.",0,,1,2,
2026-04-21 11:11:47,2026-04-21 11:17:42,0,,100,355,1,2026-04-21 11:17:43,R_2h5QndIecxcrExI,,,,,,,anonymous,EN,1,,,1,1,3,2,James received some much needed money from a government welfare organisation. Unfortunately his neighbour wasn't accepted and James wondered if he should give some money to the neighbour.,0,0,2.113,0,9.277,16.127,17.81,3,We both get some money,4.187,7.063,7.991,6,,,,,7.761,18.061,19.032,4,0,0,0.217,0,0,5,65438a7c5d2ff9a08cbe7604,69e75b6c0bf8b7ce47435e83,69e7557895b8b62fbc3c50b8,1,We both get some money,0,2,1,4,
2026-04-21 11:13:51,2026-04-21 11:18:00,0,,100,248,1,2026-04-21 11:18:00,R_5HiSlrhPCA9CEEV,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve received a bonus for his team exceeding their sales target.  The entire bonus was allocated to Steve as the team leader, but he has the option to give some of the bonus to Max who was instrumental in the team's success.",0,0,2.004,0,7.417,7.417,9.584,1,"I chose $2 because the rules state that it will be tripled.  That puts player 2 at $6 which is where I initially started, so it feels fair.",9.218,11.912,14.791,2,,,,,,,,,0,0,0.214,0,0,4,62d140d43079cdd60f42d39e,69e75be939eb9654a7ab8031,69e7557895b8b62fbc3c50b8,2,"I chose $2 because the rules state that it will be tripled.  That puts player 2 at $6 which is where I initially started, so it feels fair.",2,,1,2,
2026-04-21 11:12:49,2026-04-21 11:18:16,0,,100,326,1,2026-04-21 11:18:16,R_2zdTbEjvgoYYqTK,,,,,,,anonymous,EN,1,,,1,1,3,2,James & Mark both applied for financial assistance from the government as they are both struggling finacially. James was accepted. Mark was not and James found out. Now he is deciding whether to share the money with Mark,0,0,2.012,0,20.246,25.26,27.834,3,I didnt think too much into it ,5.674,10.917,11.879,6,,,,,,,,,0,0,0.207,0,0,4,5f2b0ce8a305a14b3865b39d,69e75ba7198558b75e2f815b,69e7557895b8b62fbc3c50b8,2,I didnt think too much into it ,2,,1,4,
