"classification_id","category_num","classification_origin"
"WCLS00001","0","gpt_5_6_subagent_rowwise"
"WCLS00002","0","gpt_5_6_subagent_rowwise"
"WCLS00003","0","gpt_5_6_subagent_rowwise"
"WCLS00004","0","gpt_5_6_subagent_rowwise"
"WCLS00005","0","gpt_5_6_subagent_rowwise"
"WCLS00006","0","gpt_5_6_subagent_rowwise"
"WCLS00007","0","gpt_5_6_subagent_rowwise"
"WCLS00008","0","gpt_5_6_subagent_rowwise"
"WCLS00009","0","gpt_5_6_subagent_rowwise"
"WCLS00010","0","gpt_5_6_subagent_rowwise"
"WCLS00011","1","gpt_5_6_subagent_rowwise"
"WCLS00012","0","gpt_5_6_subagent_rowwise"
"WCLS00013","0","gpt_5_6_subagent_rowwise"
"WCLS00014","0","gpt_5_6_subagent_rowwise"
"WCLS00015","0","gpt_5_6_subagent_rowwise"
"WCLS00016","0","gpt_5_6_subagent_rowwise"
"WCLS00017","0","gpt_5_6_subagent_rowwise"
"WCLS00018","1","gpt_5_6_subagent_rowwise"
"WCLS00019","0","gpt_5_6_subagent_rowwise"
"WCLS00020","0","gpt_5_6_subagent_rowwise"
"WCLS00021","1","gpt_5_6_subagent_rowwise"
"WCLS00022","0","gpt_5_6_subagent_rowwise"
"WCLS00023","0","gpt_5_6_subagent_rowwise"
"WCLS00024","0","gpt_5_6_subagent_rowwise"
"WCLS00025","0","gpt_5_6_subagent_rowwise"
"WCLS00026","0","gpt_5_6_subagent_rowwise"
"WCLS00027","0","gpt_5_6_subagent_rowwise"
"WCLS00028","0","gpt_5_6_subagent_rowwise"
"WCLS00029","0","gpt_5_6_subagent_rowwise"
"WCLS00030","0","gpt_5_6_subagent_rowwise"
"WCLS00031","0","gpt_5_6_subagent_rowwise"
"WCLS00032","0","gpt_5_6_subagent_rowwise"
"WCLS00033","0","gpt_5_6_subagent_rowwise"
"WCLS00034","0","gpt_5_6_subagent_rowwise"
"WCLS00035","0","gpt_5_6_subagent_rowwise"
"WCLS00036","0","gpt_5_6_subagent_rowwise"
"WCLS00037","0","gpt_5_6_subagent_rowwise"
"WCLS00038","0","gpt_5_6_subagent_rowwise"
"WCLS00039","0","gpt_5_6_subagent_rowwise"
"WCLS00040","0","gpt_5_6_subagent_rowwise"
"WCLS00041","0","gpt_5_6_subagent_rowwise"
"WCLS00042","0","gpt_5_6_subagent_rowwise"
"WCLS00043","0","gpt_5_6_subagent_rowwise"
"WCLS00044","0","gpt_5_6_subagent_rowwise"
"WCLS00045","0","gpt_5_6_subagent_rowwise"
"WCLS00046","0","gpt_5_6_subagent_rowwise"
"WCLS00047","0","gpt_5_6_subagent_rowwise"
"WCLS00048","0","gpt_5_6_subagent_rowwise"
"WCLS00050","0","gpt_5_6_subagent_rowwise"
"WCLS00052","2","gpt_5_6_subagent_rowwise"
"WCLS00053","0","gpt_5_6_subagent_rowwise"
"WCLS00054","0","gpt_5_6_subagent_rowwise"
"WCLS00055","0","gpt_5_6_subagent_rowwise"
"WCLS00056","0","gpt_5_6_subagent_rowwise"
"WCLS00057","0","gpt_5_6_subagent_rowwise"
"WCLS00058","1","gpt_5_6_subagent_rowwise"
"WCLS00059","1","gpt_5_6_subagent_rowwise"
"WCLS00060","1","gpt_5_6_subagent_rowwise"
"WCLS00061","1","gpt_5_6_subagent_rowwise"
"WCLS00062","0","gpt_5_6_subagent_rowwise"
"WCLS00063","0","gpt_5_6_subagent_rowwise"
"WCLS00064","0","gpt_5_6_subagent_rowwise"
"WCLS00065","0","gpt_5_6_subagent_rowwise"
"WCLS00066","0","gpt_5_6_subagent_rowwise"
"WCLS00067","0","gpt_5_6_subagent_rowwise"
"WCLS00068","0","gpt_5_6_subagent_rowwise"
"WCLS00069","0","gpt_5_6_subagent_rowwise"
"WCLS00070","0","gpt_5_6_subagent_rowwise"
"WCLS00071","0","gpt_5_6_subagent_rowwise"
"WCLS00072","0","gpt_5_6_subagent_rowwise"
"WCLS00074","1","gpt_5_6_subagent_rowwise"
"WCLS00075","1","gpt_5_6_subagent_rowwise"
"WCLS00076","0","gpt_5_6_subagent_rowwise"
"WCLS00077","0","gpt_5_6_subagent_rowwise"
"WCLS00078","0","gpt_5_6_subagent_rowwise"
"WCLS00079","0","gpt_5_6_subagent_rowwise"
"WCLS00080","1","gpt_5_6_subagent_rowwise"
"WCLS00081","1","gpt_5_6_subagent_rowwise"
"WCLS00082","0","gpt_5_6_subagent_rowwise"
"WCLS00083","3","gpt_5_6_subagent_rowwise"
"WCLS00084","0","gpt_5_6_subagent_rowwise"
"WCLS00085","0","gpt_5_6_subagent_rowwise"
"WCLS00086","0","gpt_5_6_subagent_rowwise"
"WCLS00087","0","gpt_5_6_subagent_rowwise"
"WCLS00088","0","gpt_5_6_subagent_rowwise"
"WCLS00089","0","gpt_5_6_subagent_rowwise"
"WCLS00090","0","gpt_5_6_subagent_rowwise"
"WCLS00091","0","gpt_5_6_subagent_rowwise"
"WCLS00092","1","gpt_5_6_subagent_rowwise"
"WCLS00093","1","gpt_5_6_subagent_rowwise"
"WCLS00095","0","gpt_5_6_subagent_rowwise"
"WCLS00096","0","gpt_5_6_subagent_rowwise"
"WCLS00097","1","gpt_5_6_subagent_rowwise"
"WCLS00098","3","gpt_5_6_subagent_rowwise"
"WCLS00099","0","gpt_5_6_subagent_rowwise"
"WCLS00100","1","gpt_5_6_subagent_rowwise"
"WCLS00101","0","gpt_5_6_subagent_rowwise"
"WCLS00102","0","gpt_5_6_subagent_rowwise"
"WCLS00103","0","gpt_5_6_subagent_rowwise"
"WCLS00105","1","gpt_5_6_subagent_rowwise"
"WCLS00106","0","gpt_5_6_subagent_rowwise"
"WCLS00107","1","gpt_5_6_subagent_rowwise"
"WCLS00108","0","gpt_5_6_subagent_rowwise"
"WCLS00109","0","gpt_5_6_subagent_rowwise"
"WCLS00110","1","gpt_5_6_subagent_rowwise"
"WCLS00111","0","gpt_5_6_subagent_rowwise"
"WCLS00112","0","gpt_5_6_subagent_rowwise"
"WCLS00113","0","gpt_5_6_subagent_rowwise"
"WCLS00114","0","gpt_5_6_subagent_rowwise"
"WCLS00115","0","gpt_5_6_subagent_rowwise"
"WCLS00116","0","gpt_5_6_subagent_rowwise"
"WCLS00117","0","gpt_5_6_subagent_rowwise"
"WCLS00118","0","gpt_5_6_subagent_rowwise"
"WCLS00119","0","gpt_5_6_subagent_rowwise"
"WCLS00120","0","gpt_5_6_subagent_rowwise"
"WCLS00121","0","gpt_5_6_subagent_rowwise"
"WCLS00122","0","gpt_5_6_subagent_rowwise"
"WCLS00123","0","gpt_5_6_subagent_rowwise"
"WCLS00124","0","gpt_5_6_subagent_rowwise"
"WCLS00125","0","gpt_5_6_subagent_rowwise"
"WCLS00126","0","gpt_5_6_subagent_rowwise"
"WCLS00127","0","gpt_5_6_subagent_rowwise"
"WCLS00128","0","gpt_5_6_subagent_rowwise"
"WCLS00129","1","gpt_5_6_subagent_rowwise"
"WCLS00130","1","gpt_5_6_subagent_rowwise"
"WCLS00131","0","gpt_5_6_subagent_rowwise"
"WCLS00132","0","gpt_5_6_subagent_rowwise"
"WCLS00133","1","gpt_5_6_subagent_rowwise"
"WCLS00134","1","gpt_5_6_subagent_rowwise"
"WCLS00135","1","gpt_5_6_subagent_rowwise"
"WCLS00136","0","gpt_5_6_subagent_rowwise"
"WCLS00137","0","gpt_5_6_subagent_rowwise"
"WCLS00138","3","gpt_5_6_subagent_rowwise"
"WCLS00139","3","gpt_5_6_subagent_rowwise"
"WCLS00140","0","gpt_5_6_subagent_rowwise"
"WCLS00141","0","gpt_5_6_subagent_rowwise"
"WCLS00142","3","gpt_5_6_subagent_rowwise"
"WCLS00143","0","gpt_5_6_subagent_rowwise"
"WCLS00144","0","gpt_5_6_subagent_rowwise"
"WCLS00145","0","gpt_5_6_subagent_rowwise"
"WCLS00146","0","gpt_5_6_subagent_rowwise"
"WCLS00147","0","gpt_5_6_subagent_rowwise"
"WCLS00148","0","gpt_5_6_subagent_rowwise"
"WCLS00149","0","gpt_5_6_subagent_rowwise"
"WCLS00150","1","gpt_5_6_subagent_rowwise"
"WCLS00151","0","gpt_5_6_subagent_rowwise"
"WCLS00152","3","gpt_5_6_subagent_rowwise"
"WCLS00153","1","gpt_5_6_subagent_rowwise"
"WCLS00154","3","gpt_5_6_subagent_rowwise"
"WCLS00155","1","gpt_5_6_subagent_rowwise"
"WCLS00156","1","gpt_5_6_subagent_rowwise"
"WCLS00157","1","gpt_5_6_subagent_rowwise"
"WCLS00158","3","gpt_5_6_subagent_rowwise"
"WCLS00159","1","gpt_5_6_subagent_rowwise"
"WCLS00160","1","gpt_5_6_subagent_rowwise"
"WCLS00161","1","gpt_5_6_subagent_rowwise"
"WCLS00162","1","gpt_5_6_subagent_rowwise"
"WCLS00163","0","gpt_5_6_subagent_rowwise"
"WCLS00164","0","gpt_5_6_subagent_rowwise"
"WCLS00165","0","gpt_5_6_subagent_rowwise"
"WCLS00166","0","gpt_5_6_subagent_rowwise"
"WCLS00167","0","gpt_5_6_subagent_rowwise"
"WCLS00168","0","gpt_5_6_subagent_rowwise"
"WCLS00169","0","gpt_5_6_subagent_rowwise"
"WCLS00170","0","gpt_5_6_subagent_rowwise"
"WCLS00171","0","gpt_5_6_subagent_rowwise"
"WCLS00172","1","gpt_5_6_subagent_rowwise"
"WCLS00173","1","gpt_5_6_subagent_rowwise"
"WCLS00174","3","gpt_5_6_subagent_rowwise"
"WCLS00175","1","gpt_5_6_subagent_rowwise"
"WCLS00176","0","gpt_5_6_subagent_rowwise"
"WCLS00177","0","gpt_5_6_subagent_rowwise"
"WCLS00178","0","gpt_5_6_subagent_rowwise"
"WCLS00179","3","gpt_5_6_subagent_rowwise"
"WCLS00180","1","gpt_5_6_subagent_rowwise"
"WCLS00181","1","gpt_5_6_subagent_rowwise"
"WCLS00182","1","gpt_5_6_subagent_rowwise"
"WCLS00183","3","gpt_5_6_subagent_rowwise"
"WCLS00184","3","gpt_5_6_subagent_rowwise"
"WCLS00185","1","gpt_5_6_subagent_rowwise"
"WCLS00186","0","gpt_5_6_subagent_rowwise"
"WCLS00187","0","gpt_5_6_subagent_rowwise"
"WCLS00188","1","gpt_5_6_subagent_rowwise"
"WCLS00189","0","gpt_5_6_subagent_rowwise"
"WCLS00190","3","gpt_5_6_subagent_rowwise"
"WCLS00191","3","gpt_5_6_subagent_rowwise"
"WCLS00192","3","gpt_5_6_subagent_rowwise"
"WCLS00193","0","gpt_5_6_subagent_rowwise"
"WCLS00194","0","gpt_5_6_subagent_rowwise"
"WCLS00195","3","gpt_5_6_subagent_rowwise"
"WCLS00196","1","gpt_5_6_subagent_rowwise"
"WCLS00197","1","gpt_5_6_subagent_rowwise"
"WCLS00198","3","gpt_5_6_subagent_rowwise"
"WCLS00199","0","gpt_5_6_subagent_rowwise"
"WCLS00200","0","gpt_5_6_subagent_rowwise"
"WCLS00201","0","gpt_5_6_subagent_rowwise"
"WCLS00202","3","gpt_5_6_subagent_rowwise"
"WCLS00203","2","gpt_5_6_subagent_rowwise"
"WCLS00204","2","gpt_5_6_subagent_rowwise"
"WCLS00205","3","gpt_5_6_subagent_rowwise"
"WCLS00206","1","gpt_5_6_subagent_rowwise"
"WCLS00207","1","gpt_5_6_subagent_rowwise"
"WCLS00208","1","gpt_5_6_subagent_rowwise"
"WCLS00210","0","gpt_5_6_subagent_rowwise"
"WCLS00211","3","gpt_5_6_subagent_rowwise"
"WCLS00212","3","gpt_5_6_subagent_rowwise"
"WCLS00213","3","gpt_5_6_subagent_rowwise"
"WCLS00214","1","gpt_5_6_subagent_rowwise"
"WCLS00215","0","gpt_5_6_subagent_rowwise"
"WCLS00216","0","gpt_5_6_subagent_rowwise"
"WCLS00217","0","gpt_5_6_subagent_rowwise"
"WCLS00218","0","gpt_5_6_subagent_rowwise"
"WCLS00219","0","gpt_5_6_subagent_rowwise"
"WCLS00220","0","gpt_5_6_subagent_rowwise"
"WCLS00221","3","gpt_5_6_subagent_rowwise"
"WCLS00222","0","gpt_5_6_subagent_rowwise"
"WCLS00223","0","gpt_5_6_subagent_rowwise"
"WCLS00224","1","gpt_5_6_subagent_rowwise"
"WCLS00225","0","gpt_5_6_subagent_rowwise"
"WCLS00226","3","gpt_5_6_subagent_rowwise"
"WCLS00227","0","gpt_5_6_subagent_rowwise"
"WCLS00228","0","gpt_5_6_subagent_rowwise"
"WCLS00229","0","gpt_5_6_subagent_rowwise"
"WCLS00230","0","gpt_5_6_subagent_rowwise"
"WCLS00231","0","gpt_5_6_subagent_rowwise"
"WCLS00232","1","gpt_5_6_subagent_rowwise"
"WCLS00233","0","gpt_5_6_subagent_rowwise"
"WCLS00234","3","gpt_5_6_subagent_rowwise"
"WCLS00235","0","gpt_5_6_subagent_rowwise"
"WCLS00236","0","gpt_5_6_subagent_rowwise"
"WCLS00237","1","gpt_5_6_subagent_rowwise"
"WCLS00238","1","gpt_5_6_subagent_rowwise"
"WCLS00239","2","gpt_5_6_subagent_rowwise"
"WCLS00240","3","gpt_5_6_subagent_rowwise"
"WCLS00241","1","gpt_5_6_subagent_rowwise"
"WCLS00242","3","gpt_5_6_subagent_rowwise"
"WCLS00243","3","gpt_5_6_subagent_rowwise"
"WCLS00244","1","gpt_5_6_subagent_rowwise"
"WCLS00245","3","gpt_5_6_subagent_rowwise"
"WCLS00246","1","gpt_5_6_subagent_rowwise"
"WCLS00247","0","gpt_5_6_subagent_rowwise"
"WCLS00248","3","gpt_5_6_subagent_rowwise"
"WCLS00249","0","gpt_5_6_subagent_rowwise"
"WCLS00250","0","gpt_5_6_subagent_rowwise"
"WCLS00251","0","gpt_5_6_subagent_rowwise"
"WCLS00252","1","gpt_5_6_subagent_rowwise"
"WCLS00253","0","gpt_5_6_subagent_rowwise"
"WCLS00254","0","gpt_5_6_subagent_rowwise"
"WCLS00255","0","gpt_5_6_subagent_rowwise"
"WCLS00256","0","gpt_5_6_subagent_rowwise"
"WCLS00257","1","gpt_5_6_subagent_rowwise"
"WCLS00258","2","gpt_5_6_subagent_rowwise"
"WCLS00259","0","gpt_5_6_subagent_rowwise"
"WCLS00260","0","gpt_5_6_subagent_rowwise"
"WCLS00261","0","gpt_5_6_subagent_rowwise"
"WCLS00262","0","gpt_5_6_subagent_rowwise"
"WCLS00263","3","gpt_5_6_subagent_rowwise"
"WCLS00264","3","gpt_5_6_subagent_rowwise"
"WCLS00265","0","gpt_5_6_subagent_rowwise"
"WCLS00266","0","gpt_5_6_subagent_rowwise"
"WCLS00267","0","gpt_5_6_subagent_rowwise"
"WCLS00268","0","gpt_5_6_subagent_rowwise"
"WCLS00269","0","gpt_5_6_subagent_rowwise"
"WCLS00270","3","gpt_5_6_subagent_rowwise"
"WCLS00271","0","gpt_5_6_subagent_rowwise"
"WCLS00272","0","gpt_5_6_subagent_rowwise"
