hp_response_id,similarity_reference_A
HP0001,52
HP0002,84
HP0003,70
HP0004,58
HP0005,24
HP0006,5
HP0007,56
HP0008,53
HP0009,56
HP0010,57
HP0011,42
HP0012,0
HP0013,57
HP0014,44
HP0015,60
HP0016,54
HP0017,18
HP0018,38
HP0019,32
HP0020,23
HP0021,72
HP0022,34
HP0023,48
HP0024,64
HP0025,27
HP0026,25
HP0027,30
HP0028,66
HP0029,44
HP0030,58
HP0031,42
HP0032,39
HP0033,59
HP0034,82
HP0035,66
HP0036,52
HP0037,22
HP0038,48
HP0039,20
HP0040,58
HP0041,57
HP0042,12
HP0043,56
HP0044,29
HP0045,56
HP0046,15
HP0047,55
HP0048,52
HP0049,23
HP0050,56
HP0051,80
HP0052,49
HP0053,31
HP0054,51
HP0055,67
HP0056,60
HP0057,43
HP0058,52
HP0059,25
HP0060,54
HP0061,51
HP0062,27
HP0063,52
HP0064,25
HP0065,47
HP0066,48
HP0067,17
HP0068,65
HP0069,69
HP0070,56
HP0071,48
HP0072,50
HP0073,29
HP0074,51
HP0075,84
HP0076,16
HP0077,73
HP0078,49
HP0079,55
HP0080,61
HP0081,13
HP0082,58
HP0083,48
HP0084,45
HP0085,57
HP0086,25
HP0087,53
HP0088,1
HP0089,48
HP0090,10
HP0091,62
HP0092,46
HP0093,65
HP0094,61
HP0095,57
HP0096,25
HP0097,66
HP0098,58
HP0099,60
HP0100,16
HP0101,8
HP0102,61
HP0103,33
HP0104,52
HP0105,60
HP0106,31
HP0107,11
HP0108,62
HP0109,30
HP0110,51
HP0111,4
HP0112,21
HP0113,58
HP0114,27
HP0115,33
HP0116,26
HP0117,48
HP0118,53
HP0119,18
HP0120,56
HP0121,22
HP0122,54
HP0123,18
HP0124,27
HP0125,48
HP0126,5
HP0127,4
HP0128,72
HP0129,71
HP0130,53
HP0131,39
HP0132,19
HP0133,54
HP0134,22
HP0135,22
HP0136,63
HP0137,13
HP0138,44
HP0139,67
HP0140,76
HP0141,47
HP0142,57
HP0143,37
HP0144,65
HP0145,50
HP0146,42
HP0147,48
HP0148,57
HP0149,36
HP0150,70
HP0151,57
HP0152,59
HP0153,65
HP0154,45
HP0155,49
HP0156,55
HP0157,27
HP0158,62
HP0159,25
HP0160,46
HP0161,62
HP0162,58
HP0163,32
HP0164,76
HP0165,51
HP0166,32
HP0167,57
HP0168,15
HP0169,67
HP0170,68
HP0171,35
HP0172,60
HP0173,24
HP0174,62
HP0175,44
HP0176,65
HP0177,54
HP0178,12
HP0179,62
HP0180,25
HP0181,35
HP0182,2
HP0183,61
HP0184,55
HP0185,43
HP0186,43
HP0187,49
HP0188,49
HP0189,21
HP0190,35
HP0191,36
HP0192,23
HP0193,63
HP0194,30
HP0195,56
HP0196,65
HP0197,55
HP0198,42
HP0199,11
HP0200,14
HP0201,43
HP0202,63
HP0203,26
HP0204,16
HP0205,55
HP0206,28
HP0207,25
HP0208,51
HP0209,34
HP0210,56
HP0211,76
HP0212,57
HP0213,58
HP0214,47
HP0215,53
