hp_response_id,memory
HP4001,A pay rise for good performance
HP4002,There is so much demand for the product you are selling that you increase the price by four.
HP4003,A train service increasing its prices to cover the cost of rising prices and increased maintenance. 
HP4004,Wanting to make a profit and get on in the world.
HP4005,This would be like taking advantage of a naive person. 
HP4006,If a client is at a pawn shop selling an item it can haggle the price to increase it by 4.
HP4007,Winning a small amount on the lottery.
HP4008,It’s in good working order and will last for a good number of years
HP4009,It is similar to the increase in products due to inflation and the cost-of-living crisis. 
HP4010,Changing the price by $4 seems like a a realistic mark up that I would expect for a product.
HP4011,Asking for a higher rate when i think my work is worth more
HP4012,"This feels more like a job, where I'm being paid for my time."
HP4013,The item could be very sought for - something  very popular with kids eg labubu. This could mean sellers are able to increase prices due to supply and demand.
HP4014,general inflation within retail
HP4015,Similar to expecting a free service from someone and not paying them for their time. It is like using a free mortgage broker.
HP4016,Equal to the broker selling price.
HP4017,A situation a while ago when i found £4 in a trouser pocket.
HP4018,Similar to black friday sale discount
HP4019,A drug company inflating prices of their products in the knowledge that people will have to pay for it.
HP4020,increasing the price of an item of clothing above the suggest price recommended by Vinted
HP4021,going out to get food with friends
HP4022,"This is similar to general standard of living. Just to increased prices in everything such as materials, labour, rental costs etc, the rise in price reflects this to help maintain a profit."
HP4023,"A harsh increase to him he will stand to make no profit if we are selected. This feels brutal. Like something my parents would do, so I don't want to do that to someone."
HP4024,Buying a similar item in an upmarket store
HP4025,"for the broker, it would be similar to someone cutting you off in traffic - rude and mildly offensive"
HP4026,maybe too much of a change
HP4027,"subscription services rising to ensure that we all pay more for a service we have already been enjoying
"
HP4028,I find this similar to a store increasing its price to meet supply and demand and trends like inflation. This is currently happening right now with the base price of everything increasing.
HP4029,A person that is selling their data to google
HP4030,I find it similar to increasing the price on ebay because the stock is selling really well
HP4031,This is roughly the cost of a coffee and a cake.
HP4032,There is a big demand for your product which has forced the price up.
HP4033,taking $4 from the other participant
HP4034,Finding money on the street.
HP4035,buy one get one 1/2 price
HP4036,That would be increasing it by 50% to $12 and would be the same amount of money the other participant gets.
HP4037,Like finding money on the street
HP4038,Getting a bus region ticket price wrong
HP4039,"I characterise money that I don't need for essentials by what either how much time it takes to earn it or by what essentials it would pay for. So, for $4 I transfer that to being the equivalent of being able to buy 4 tins of soup."
HP4040,It reminds me of when event tickets become more expensive because demand is high. The organisers raise the price as much as they are allowed because they know people will still buy them.
HP4041,I have fallen out with my friend and no longer want to talk to them.  I don't see why I should give them anything at all and take all the sweets leaving them with none.
HP4042,It would annoy me to spend more. 
HP4043,"If the price increased by $4, then I consider a 50% increase of the price. This remind me of the price of fuel, particularly during the COVID-19 pandemic, whereby the prices soared and I feel a 50% increase is probably reasonable during that time period."
HP4044,It was a better choice I think.
HP4045,"This is similar to asking for a higher salary after proving your value at a new job you know your work is worth more, so you negotiate for a higher payment."
HP4046,The inflation level increasing.
HP4047,When browsing for an online purchase and expected to pay an amount.  Then a delivery charge is added so therefore I am paying more.
HP4048,Trying to make a profit by selling something on
HP4049,Where a team member is trying to play a game and splits everything evenly bur gets the maths wrong
HP4050,The cost of living crisis where the price of most items is constantly rising with inflation.
HP4051,getting a present from your grandparent for your birthday in a card
HP4052,An in-demand product that is worth the price it is being charged.
HP4053,"The price increase of $4 makes me think about the current market for RAM, which is skyrocketing due to AI. "
HP4054,the price of bovril these days
HP4055,Manufacturing costs increase so the product was increased by $4
HP4056,When there is a bidding situation or negotiation with an individual about the price of goods you are selling on line
HP4057,$12 would be the price
HP4058,This is like an estate agent just bumping up the price of a house randomly
HP4059,"being overcharged and greedy. like being asked for double the amount something is worth, or actually when you forget about tax being added to the price of an item"
HP4060,i think it would be -$8 i am not total sure but this my best guess 
HP4061,"A nice bonus, this is like finding some money in your pocket that you forgot was there."
HP4062,Reminds of a negotiating with a graphic designer. They originally quoted $800 for a logo project. After we requested additional work with social media and style guide the price went up by $400. The scope and work expanded so the price went up.
HP4063,Completely mugging the broker off this is not a fair outcome for them if they have made the connections.
HP4064,"That might push the buyer out of range, since he could not make a profit on your data"
HP4065,"It’s like asking for a bit more than usual, maybe like requesting a small raise."
HP4066,A grocery chain increasing prices for a better profit
HP4067,This is like buying something and years later realising the value had gone up so you can sell the item for more money
HP4068,giving half of your wages away after working hard all month and giving it for free to someone who hasnt worked 
HP4069,Being in a stock broker floor trying to barter better deals.
HP4070,I find it similar to a fair society where our work gets seen as valuable.
HP4071,I find this similar to going to a store and it is half off
HP4072,This feels like a first world country taking away the little resources left from a third world country.
HP4073,It is similar to Netflix increasing their prices.
HP4074,the two friends find two item worth 2 each 
HP4075,Capitalism and making a good profit in business
HP4076,"Farmers raising prices for their produce, in order for supermarkets to decrease their margins."
HP4077,This is similar to a car insurance company raising the price of your insurance policy for no apparent reason.
HP4078,A good day.  The potential value has been increased by 33%.  If my savings were also to increase by 33% it would be a very good day indeed!
HP4079,A discount like in a bikini store
HP4080,this is like borrowing money and getting it back
HP4081,This is something in demand warranting a higher price.
HP4082,Increasing the price by 50%
HP4083,A card game where I know I have a better hand than my opponent.
HP4084,going to buy something and finding that it has gone up since you last looked
HP4085,"It is similar to Black friday prices, last week i went to Walmart for food, but decided to see what Christmas gifts i could find, i bought something, that was on sale, but really was not."
HP4086,"There are gas stations on two corners of a busy intersection. One kept the price the same from the previous day, the other went up."
HP4087,"This feels similar to when I’m selling something online and I raise the price slightly because I believe the item is worth more, or because I want to make sure I’m not undervaluing my time and effort."
HP4088,Current inflation on groceries
HP4089,"Losing a moderate amount to a client, having a difficult product to sell."
HP4090,class score improvement with a large difference
HP4091,Half the price which is half the starting price.
HP4092,I imagine this as gaining money.
HP4093,A sudden bonus.  Maybe the company I am producing data for wants to retain staff.
HP4094,some food prices such as chocolate where the ingredients are in short supply apparently
HP4095,A significant price increase 
HP4096,"I find this price increase similar to overpricing an item you are selling, meaning that buyers are much less likely to make a purchase."
HP4097,"When a freelance worker realizes they’ve been undercharging for a job, so they increase their rate to better match the effort and time required."
HP4098,It reminds me of annual inflation.
HP4099,This feels similar to a shop increasing the price of its products to account for inflation of the materials they use to produce products.
HP4100,"I was shopping at a pet store for a bag of cat food which costs $8. I then spontaneously decide to add a few cans of wet cat food, which cost $4, so the total I have to pay is $12."
HP4101,"I find it similar to inflation, prices are going up"
HP4102,"Someone reselling a concert or sports ticket for a sold-out event will increase the price by a big margin, 50% or more."
HP4103,This is similar to someone taking all the money for themselves while someone else is left with nothing.
HP4104,Represents the current inflation of olive oil prices
HP4105,Price raises of certain items due to recession
HP4106,$4 is similar to the price of a cup of coffee when you go out somewhere.
HP4107,Having a unique product so that your product has more value
HP4108,This is like when a sudden loss of supply for gas sharply increases the price.
HP4109,Adding extra $4 will mean that i have won the olympics 
HP4110,This is the same as me stealing all of the money and screwing the broker over. Like if we were in a bank heist and I ran away with all of the loot. Like Ewan McGregor at the end of Trainspotting.
HP4111,I think of a product like gasoline that fluctuates in price often.
HP4112,"I find it similar to receiving a Prolific email, saying the researcher has added an additional payment. Result!"
HP4113,I find this similar to negotiating for a higher price
HP4114,Managing to sell something for more than its worth
HP4115,Paying interest fees
HP4116,"Picture a landlord who suddenly raises the rent by $4 a day saying, ""it's just inflation"" but the tenant feels blindsided"
HP4117,"I imagine this increment as when comparing two broadband providers, one offers a very similar product but is more well-known than its competitor, so it can pump up the price a little bit."
HP4118,Incrreasing the price of something you are selling that is in high demand 
HP4119,I sell something second hand on marketplace and bump the cost to make a profit.
HP4120,I find it similar to how brands increase their price to make profit.
HP4121,this would be like my eyelash tech who is my best friend upping her price because a customer was rude to her
HP4122,the broker losing profit
HP4123,Charity where no fee to pass on information or goods but service provider is paid at discounted price
HP4124,maximum gain for myself and no gain to the broker. 
HP4125,Scalpers driving up the price of the product they resell.
HP4126,I felt like the value of the data is worth more than what is offered. I am driving a harder bargain.
HP4127,The total price of gas during a fluctuation in price per gallon. 
HP4128,like getting a nice pay rise 
HP4129,"A 50% increase in price is like the current cost of living crisis, everything is going up so quickly."
HP4130,"I find it similar to going to a flea market. I ask a worker at the stall how much a Hello Kitty plush is, he says 5 dollars. He never came back, so I had to ask the owner how much the Hello Kitty plush is when I went to go pay it. He said 9 dollars. He noticed that I was a girl who was into plush so he raised the price. It was in his favor to raise the price."
HP4131,conserving a rare commodity by setting a price few if any would pay.
HP4132,A small card game gift
HP4133,Increased by 50% making the higher price of 12 dollars
HP4134,Changing the price by +$4 is asking the broker to work for free. It's like asking a plumber to replace a part but saying you'll buy the part yourself and not pay any labour charge. Obviously in real life I wouldn't know how much the broker will sell for. 
HP4135,"I would receive the max, however the broker would still not receive anything.    "
HP4136,The rising cost of food at the moment. A lot of the products i regularly buy seem to have gone up by this amount in the last few years. 
HP4137,Adding next day delivery to a parcel you ordered.
HP4138,I'm trying to get the best price possible for what I'm selling
HP4139,It’s a price increase. When you realise something is worth more than you previously thought. I recently sold something and there was a lot more interest than I expected. This indicated to be that next time I sell the same thing I should increase the price. 
HP4140,I find it similar to grocery prices
