hp_response_id,memory
HP1201,Nothing
HP1202,"Not splitting 10 pounds from someone, and leaving them with nothing "
HP1203,"Getting tipped by a customer for a group work service, and I choose to take my work partner's share and no telling them about the tip."
HP1204,Taking a lollypop from a young child.
HP1205,This is similar to my relationship with my daughter where I buy things for her and she never gives me the money.  In this scenario I am my daughter.
HP1206,I'm not sure why I would
HP1207,Someone keeping their lottery winnings. 
HP1208,Taking the change out of their pocket
HP1209,losing a parking space
HP1210,That person owing me money that they have not paid back
HP1211,This feels the same as taking away from another person and so i could have an opportunity for them but i refuse to give it to them which results in a loss to them. 
HP1212,Like someone not sharing their sweets with you.
HP1213,Being selfish and not thinking of others 
HP1214,being selfish
HP1215,A corrupt politician taking everything for themselves 
HP1216,I imagine it to be similar to someone not sharing when they get a free cake.
HP1217,I would find it similar to ignoring someone when they are trying to talk to you.
HP1218,"I can't imagine doing this either! I suppose it's like how life can be hard for some people, that whatever they do they lose out and are penalised. "
HP1219,This is similar to being extremely greedy because why do I deserve the whole $12 I should share something
HP1220,Cutting someone out totally when it would be more kind to share
HP1221,"The ultimate capitalist, not giving a crap about anybody"
HP1222,Testing money transfers.
HP1223,My cousin needing money but me not having enough.
HP1224,I would find it similar to taking money from someone. Like if a person dropped $4 and I picked it up without saying anything.
HP1225,interacting with strangers
HP1226,I find this similar to selling them an item for $4 and taking the money earned from that sale.
HP1227,This is like the rich versus poor divide in many western democratic countries.
HP1228,If I was in a situation in which I had a dire need for the money.  Such as being short on bills or needing the money to buy food for the day. 
HP1229,Being a bit greedy. It's like the 1% not giving to charity
HP1230,I find it similar to sending someone money if they need it for an expense. 
HP1231,i find this similar to someone else paying your bills for you
HP1232,When someone lazy asks me for money and I don't give it to them. This reminds me of it.
HP1233,I find it similar to stealing from someone on the street. 
HP1234,I find it similar to getting 12 dollars for working on a project and my coworker did nothing so I didn't give them any money toward it.
HP1235,I would think of it as stealing from someone else.
HP1236,It's like not spending anything or donating anything. Just watching other people in life go about theirs around you.
