"classification_id","memory"
"WCLS08600","Rather silly, giving money away for no good reason."
"WCLS08601","Reaching into their pocket, and taking away 4 dollars"
"WCLS08602","Real life situation the the very short term."
"WCLS08603","real life, I'm in charge of the split so keen to maximise my own payoff"
"WCLS08604","real life, parties want to maximise payoffs"
"WCLS08605","real life, wouldn't give someone I don't know any money"
"WCLS08606","Real world dog eat dog type of business"
"WCLS08607","Realising im asking for more than i should probably"
"WCLS08608","Realising that my price is too high and accepting a much lower price to dispose of it"
"WCLS08609","Realising you have been paid more than the other person but not telling them so you don't have to give them any money."
"WCLS08610","Reality - get what you're given in life."
"WCLS08611","Really not very happy"
"WCLS08612","Really underselling yourself with offering this low amount"
"WCLS08613","Reasonable"
"WCLS08614","Reasonable, fair"
"WCLS08615","Reasonable, if a little selfish"
"WCLS08616","reasonably generous"
"WCLS08617","rebalancing accounts"
"WCLS08618","Receiving $12 when someone else receives $0 feels similar to an unexpected bonus at work. Either the other participant didn't meet expectations, or the bonus didn't apply to their position. Transferring $0 feels fair in this situation because it was an award."
"WCLS08619","Receiving a bonus"
"WCLS08620","Receiving a bonus at work and it was a team effort where I got all the bonus and they received nothing for their efforts."
"WCLS08621","Receiving a bonus from work and taking yourself and partner out for a meal."
"WCLS08622","receiving a cash prize for winning a competition and giving most of it to a friend who didn’t win because you want them to benefit too"
"WCLS08623","Receiving a discount on a item in a shop"
"WCLS08624","Receiving a free service"
"WCLS08625","Receiving a gift - someone giving you something"
"WCLS08626","Receiving a gift you weren’t expecting"
"WCLS08627","Receiving a higher bonus"
"WCLS08628","Receiving a large discount for an item in shop perhaps because it is faulty"
"WCLS08629","Receiving a present of greater value than the ones given to my siblings"
"WCLS08630","Receiving a prize and deciding to share it with a friend"
"WCLS08631","Receiving a refund for something we both paid for, so giving my friend back their 50%."
"WCLS08632","Receiving a small discount for my item, e.g. reduced aisle in the supermarket"
"WCLS08633","Receiving all the money in your pay packet, as expected."
"WCLS08634","receiving benefits from the state"
"WCLS08635","Receiving good money for my products or service."
"WCLS08636","Receiving interest from a financial product which is highly earning."
"WCLS08637","receiving less money"
"WCLS08638","Receiving money from a charity."
"WCLS08639","Receiving money from a friend for a taxi fare"
"WCLS08640","receiving money from another party"
"WCLS08641","receiving money from somebody else"
"WCLS08642","receiving money that someone owes to you"
"WCLS08643","receiving more money"
"WCLS08644","Receiving more money."
"WCLS08645","receiving nothing at all"
"WCLS08646","receiving payment for a debt"
"WCLS08647","receiving payment from them for loaned money"
"WCLS08648","receiving the same amount of money"
"WCLS08649","receiving too little money"
"WCLS08650","Recently my wife and I were at Mc Donalds a person who was in front of us payed it forward and bought our breakfast. It was nice to receive this gift and we also payed it forward to the next person behind us. Goodness is catching!!"
"WCLS08651","recently someone i know has been really struggling to provide for their family therefore i would try to give them as much as possible"
"WCLS08652","Recievong payment for a service rendered."
"WCLS08653","Recognising that chance has dealt you this money."
"WCLS08654","Recognising that everything in life is up and down and this time I'm going to take the win."
"WCLS08655","Recovering a debt"
"WCLS08656","redeeming reward points for a purchase"
"WCLS08657","Redistribution of wealth to someone less well off"
"WCLS08658","Reduced vegetable items"
"WCLS08659","Reducing 1/3 of the previous amount."
"WCLS08660","Reducing 2/3rd of the previous amount"
"WCLS08661","Reducing a decorative item in a summer sale."
"WCLS08662","Reducing a fee because you have multiple offers and can afford to be choosy."
"WCLS08663","Reducing a friends share of the bill if i can see i have had more of it"
"WCLS08664","reducing a price on a item for sale"
"WCLS08665","Reducing a venmo request that a friend owes you by a certain amount."
"WCLS08666","REDUCING AN ITEM I WAS SELLING AS IT WASN'T SELLING."
"WCLS08667","Reducing an item on eBay to help it sell"
"WCLS08668","reducing by 25%, broker gets some markup"
"WCLS08669","reducing by 75%, broker receives good strong markup"
"WCLS08670","Reducing by half is equivqlent of trying to sell data to get started in an industry or to win business - taking a loss to gain credibility"
"WCLS08671","Reducing by such a big margin is equivalent of trying to help a friend gain advantage by taking a hit myself, expecting at some point for the favour to be returned."
"WCLS08672","Reducing cost to sell more."
"WCLS08673","reducing it by half of what it originally was"
"WCLS08674","Reducing money for efforts that you have worked hard for. Not overly fair."
"WCLS08675","Reducing my potential earnings by a third"
"WCLS08676","Reducing price to achieve sale"
"WCLS08677","Reducing price to achieve sale - previously failed"
"WCLS08678","Reducing prices during a sale"
"WCLS08679","reducing prices to a child buying something from you at a carboot sale"
"WCLS08680","Reducing something for someone to buy on Vinted."
"WCLS08681","Reducing the amount retained"
"WCLS08682","Reducing the price by 1/2 of the previous amount."
"WCLS08683","reducing the price by 25 percent"
"WCLS08684","Reducing the price by 4 is equivalent of trying to build relationships with suppliers - i am willing to negotiate to build a long term relationship"
"WCLS08685","Reducing the price for a clothing item that I'd be selling"
