vignette_id,structure,sender_profile,sender_keeps,sender_gives,receiver_action,receiver_transfer,setting,market_anonymous,text
DG-M-P,DG,Moral,6,6,NA,NA,personal,False,"Anna receives twelve meal vouchers and is asked to decide how many to keep and how many to give to Marco. She says that, since both of them have the same need for meals, the fair choice is to divide the vouchers equally. Anna keeps six vouchers and gives six to Marco."
DG-M-K,DG,Moral,6,6,NA,NA,market,True,"An online platform assigns a twelve-dollar transaction bonus to one of two anonymous businesses that contributed equally to completing an order. The selected business alone chooses whether to transfer any of the bonus to the other business. Its manager says equal contributions deserve equal payments, so the business keeps six dollars and transfers six dollars to the other anonymous business."
DG-S-P,DG,Self-interest,12,0,NA,NA,personal,False,"David receives twelve travel credits in his own name and may give some of them to Laura. David says the credits were awarded to him, so he has the right to use all of them. Because every credit he gives away reduces what he can spend on his own trip, he keeps all twelve credits and gives Laura nothing."
DG-S-K,DG,Self-interest,12,0,NA,NA,market,True,"A one-time anonymous marketplace assigns a twelve-dollar sales rebate to a seller and allows the seller to transfer any part of it to the buyer. The seller has no past or future dealings with the buyer. Its manager says the rebate legally belongs to the seller and wants to maximize the firm's earnings, so the seller keeps all twelve dollars and transfers nothing."
UG-M-A-P,UG,Moral,6,6,accept,NA,personal,False,"Elena and Paolo can receive twelve concert credits if they agree on how to divide them. Elena must propose a division, and Paolo can accept it or reject it; rejection gives both of them nothing. Elena says an equal division is the fair outcome and proposes six credits for herself and six for Paolo. Paolo accepts, so each receives six credits."
UG-M-A-K,UG,Moral,6,6,accept,NA,market,True,"Two anonymous firms qualify for a one-time twelve-dollar platform bonus. One firm proposes how to divide it, and the other can accept or reject; rejection cancels the entire bonus. The proposing firm says both businesses made equal contributions and offers six dollars to each. The other firm accepts, so the platform pays six dollars to each anonymous firm."
UG-M-R-P,UG,Moral,6,6,reject,NA,personal,False,"Sara and Matteo can receive twelve project tokens if they agree on a division. Sara proposes how many each will receive, while Matteo can accept or reject; rejection leaves both with zero. Sara says they should be treated equally and proposes six tokens for herself and six for Matteo. Matteo rejects the proposal, so neither of them receives any tokens."
UG-M-R-K,UG,Moral,6,6,reject,NA,market,True,"Two businesses with hidden identities qualify for a one-time twelve-dollar transaction credit. One business proposes a division, and the other can accept or reject; if it rejects, both receive zero. The proposing business says an equal division is fair and offers six dollars to each. The other anonymous business rejects, so the transaction credit is cancelled and neither is paid."
UG-S-A-P,UG,Self-interest,8,4,accept,NA,personal,False,"Luca and Giulia can receive twelve event credits if they agree on a division. Luca makes the proposal, and Giulia can accept it or reject it; rejection gives both zero. Luca wants to keep as much as possible while still offering Giulia something worth accepting. He proposes eight credits for himself and four for Giulia. Giulia accepts, so the proposed division is implemented."
UG-S-A-K,UG,Self-interest,8,4,accept,NA,market,True,"An anonymous seller and buyer can receive a one-time twelve-dollar marketplace rebate only if they accept one division. The seller proposes keeping eight dollars and giving four to the buyer because it wants the largest feasible share. The buyer accepts the low allocation because four dollars is better than receiving nothing after rejection. The rebate is therefore paid eight dollars to the seller and four to the buyer."
UG-S-R-P,UG,Self-interest,8,4,reject,NA,personal,False,"Marta and Andrea can receive twelve prize credits if they agree on a division. Marta proposes the split, and Andrea can accept or reject; rejection eliminates the prize for both. Marta wants to retain most of the credits but gives Andrea four to reduce the chance of losing everything. She proposes eight for herself and four for Andrea. Andrea rejects, so both receive zero."
UG-S-R-K,UG,Self-interest,8,4,reject,NA,market,True,"Two anonymous businesses qualify for a one-time twelve-dollar platform payment. The first business proposes keeping eight dollars and paying four to the second because it wants to retain most of the payment. The second business can accept or reject, with rejection cancelling the payment for both. It rejects the four-dollar allocation, so neither anonymous business receives anything."
UG-C-A-P,UG,Cooperation,4,8,accept,NA,personal,False,"Chiara and Stefano have access to twelve production credits only if they agree on a division. Chiara proposes the split, and Stefano can accept or reject; rejection destroys the opportunity for both. Chiara gives Stefano a substantial share so that he can carry out his part and the full joint project can proceed. She proposes four credits for herself and eight for Stefano. Stefano accepts."
UG-C-A-K,UG,Cooperation,4,8,accept,NA,market,True,"Two anonymous firms can undertake a one-time project worth twelve payment units only if they accept one division. The lead firm proposes keeping four units and assigning eight to the other firm so that the latter can complete the resource-intensive stage and the full joint return can be realized. The other firm accepts, and the twelve units are paid according to the proposed division."
UG-C-R-P,UG,Cooperation,4,8,reject,NA,personal,False,"Francesca and Tommaso can use twelve project credits only if they agree on a division. Francesca proposes four credits for herself and eight for Tommaso so he has enough resources to complete the main production stage and realize the full joint return. Tommaso can accept or reject the proposal. He rejects it, so the project is cancelled and both receive zero."
UG-C-R-K,UG,Cooperation,4,8,reject,NA,market,True,"Two firms with concealed identities qualify for a one-time twelve-unit production payment. One firm proposes keeping four units and assigning eight to the other so the costly production stage can be completed and the entire joint return obtained. The second firm can accept or reject, and rejection cancels the payment for both. It rejects, so neither anonymous firm receives any units."
