hp_response_id,memory
HP0440,A situation where i've won $12 and would like to split it equally with someone
HP0444,Splitting a sandwich right down the middle with my friend
HP0446,"Socialism, where people are more equal regardless of their power level."
HP0448,A situation where I am practicing justice and acting with a sense of equality. 
HP0451,Being fair and splitting something with someone else.
HP0454,"A hypothetical scenario would be where a work friend and I are splitting lunch and they don't have enough money, so I cover part of their meal."
HP0459,What I imagine is sending someone money for a coffee that they picked up from me.
HP0461,Splitting something equally with a friend
HP0463,"This is some good, not as good as could be but still nice. "
HP0468,that is a compromise situation giving a little to appease
HP0469,maybe me and a friend have earnt the money through a game or a survey so we equally decide to split as we both deserve the same amount of money
HP0471,Buying my friend a sandwich at lunchtime 
HP0476,Fifty /fifty
HP0478,Sending money to my rother
HP0479,"I think this is similar to communism, sharing your wealth equally, no matter what."
HP0485,Agreeing in advance to share proceeds
HP0497,"Its just sharing something equally, like splitting some food with someone else. "
HP0501,Splitting food with partner
HP0503,"Me and a friend got a reward for completing a task, we both did equal amounts of work so got the same money. "
HP0505,sharing food when there's not enough to feed us both
HP0508,splitting my money
HP0511,Placing a smaller bet.
HP0513,sending money afterwards for splitting a bill evenly at a restaurant
HP0514,giving a homeless person some money
HP0515,A small handout
HP0516,"This is similar to paying someone, maybe using CashApp to transfer money to cover a meal. "
HP0517,Splitting a slice of cake with a friend and wanting it to be even.
HP0521,"This is me purchasing a small item from them, say a bar of chocolate."
HP0523,Paying sales tax to the government on all our purchases
HP0524,giving someone $2 for a favour
HP0525,Donating money to somebody. Just a little bit. 
HP0527,A  little unfair 
HP0528,"This is like sharing extra snacks with a friend who has less, but keeping most for yourself."
HP0529,A fair trade that represents equality and parity. Splitting something in half and having an equal portion with somebody else. Such as splitting the pizza and have equal portions.
HP0530,making a charity donation in a shop or off of the adverts on tv
HP0531,"sending money for a small amount to cover parking, food etc "
HP0532,Purchasing a raffle ticket.
HP0537,"I find this like paying a bill such as electricity, where it is small but noticeable."
HP0540,I would imagine the other participant as a friend and would want the reward to be equal.
HP0541,This is the fair and just way of doing the American way.
HP0542,An act of goodwill to make it even in society.
HP0544,"I find it similar to two friends that are going out to lunch. One friend makes more money than the other and knows he can help a friend out. The friend is short on cash and so the other friend, who has a higher income, covers the cost for his friend with the lower income. The action is done out of kindness and fairness, to balance the experience and balance the damages financially. "
HP0547,Winning some cash and then losing most of it through a hole in my pocket
HP0548,Donating to charity 
HP0551,sharing as a child. giving half of your candy bar to someone
HP0552,splitting a win 50/50 with a friend
HP0553,I find it similar to communism where we both get an equal allocation.
HP0555,"similar to the golden rule, treating others equally"
HP0556,"Being paid and giving a generous charitable donation, so I feel a level of personal worth as part of the transaction."
HP0561,This is similar to winning at the casino then buying dinner for the entire group. 
HP0563,Nothing
HP0564,"This seems like the most fair option, as the other person doesn't have any choice in how much they get. I would want to give them an equal amount."
HP0567,Helping out a friend.
HP0569,Finding money with your friend and splitting it evenly.
HP0570,"It is similar to having a full meal and sharing it with someone who doesn't have any food, so you both end up with the same amount."
HP0571,I find this similar to buying a candy bar or soda at a supermarket.
HP0573,giving up half is okay
HP0579,Like two of us are sharing a packet of crisps and I realise I have take more crisps from them and I make this right by giving them the extra crisps and we have then both eaten the same amount.
HP0587,This is being charitable toward the other participant
HP0588,buying a present for my child
HP0590,this would be similar to buying someone a drink like a beer 
HP0591,"It would feel like a rich person deciding to donate a little bit of their money to charity. I would like this approach, but it might not be fair to my partner."
HP0593,Sharing half of the candy I got with my sister on halloween when she misplaced all of hers.
HP0594,My co-worker and I did the spent the same amount of time on the job.
HP0595,It would be like offering to pay for a friends alcoholic drink at a pub. 
HP0597,This is the same as me at work and splitting equally the workload we have.  I think this is fair and is a kind thing to do.  
HP0599,Buying something?
HP0600,Paying for something in a shop.
HP0601,I find this similar to a date or to an outing with a friend. I want them to have a fair experience.
HP0613,Giving half of a sandwich to my friend.
HP0614,A small act of charity like giving a beggar a happy meal
HP0617,A small donation to charity
HP0620,giving my children pocket money
HP0623,Splitting a bill equally at a cafe with a friend
HP0624,This is what some would do so that they can feel good about themselves and keep a greater portion for themselves similar to how we typically choose an amount of money to donate to a worthy cause.
HP0631,donating to charity
HP0632,I think the other person would be somewhat disappointed as they were originally allocated $4 but are no only receiving half that amount.
HP0633,Splitting something evenly between siblings
HP0640,helping my son with bus fare
HP0641,being a winner of a prize but sharing the prize equally with the second place winner
HP0642,Helpi ng a buddy out.
HP0648,Splitting tips with a coworker
HP0649,similar to getting allowance from parent. both siblings get the same amount
HP0650,Less greedy
HP0652,It would be be similar to splitting a candy bar in half. We both end up with exactly the same amount. 
HP0655,I find it similar to paying someone to do something but they have not done as much as you have
HP0659,Giving money to charity.
HP0660,equally sharing costs of an event that you attend with a friend
HP0665,It reminds me of someone buying something for me and me transferring them the money
HP0666,Like donating to charity
HP0668,Splitting tips at work with someone
HP0669,sharing
HP0671,I have $12 and choose to transfer $6. This is like my most recent work bonus to the tax man.
HP0673,I find this similar to the real word situation of a children having all the snacks and they choose to share half of them with a friend.
HP0674,This is equality and equity. We're making everyone equal.
HP0676,"This would be an example of equality, making things equal, like Democrats do (they also want equity)."
HP0677,6
HP0679,Zelling a guy who watched our dogs while we were out of town
HP0683,Sharing your cake with them exactly down the middle
HP0684,Just a little care
HP0686,"Similar to giving someone a small bit of my food, but just a small taste"
HP0689,"This is akin to splitting a small unexpected cost with someone, like adding a little extra when chipping in for a group gift—it's cooperative and fair, slightly above the minimum but not fully self-sacrificing."
HP0690,This would be giving them money to buy you a burger at a fast food joint.
HP0694,When two people collaborate together on something so they try to split the prize evenly.
HP0696,I find it similar to grabbing the last donut in the break room right as someone else comes in for it. I decide to split it with them. 
HP0699,Giving a token gesture but perhaps not really wanting to share
HP0700,This represents a society with a moderate level of programs and supports to help those who are underprivileged. This is more like our modern democratic society in the U.S. 
HP0703,A friend covers my coffee because I realise I forgot my wallet when we were out for coffee together. I later transfer $6 to her to cover my coffee.
HP0704,"If I gave $6 to another person, it would be a gift, like on a birthday or holiday."
HP0705,Splitting the money 50/50 which is fair. 
HP0712,Just a similarity of other studies who do this type of money game with other prolific participants.
HP0713,This is equality because we both will have $6.
HP0716,I owed them for a taxi
HP0717,Similar to giving a small gift to a colleague at Christmas
HP0718,Lending someone a sum of money
HP0719,Thanking someone for helping me.
HP0720,"giving to charity when someone has more, they help someone who has less."
HP0721,Giving change for the bus
HP0722,sharing bills equally with a partner
HP0725,Paying taxes
HP0728,Being equal
HP0729,Sharing equally 
HP0731,Tipping a cashier at a restaurant while checking out. 
HP0734,"Splitting my winnings with  the wife, she gets half of everything"
HP0736,I imagine that a friend and I found $12 and we decided to split it evenly.
HP0737,The middle class helping each other out or donating to a charity with pride.
HP0746,Being fair and splitting things 50/50.
HP0751,It's like a divorce settlement.
HP0752,Donating to a food bank
HP0753,This amount seems a little low. I would like to make things as even as possible.
HP0755,Sending a friend money after they bought me something.
HP0757,"This is similar to participating in a fair exchange, such as contributing to a group activity where everyone adds a reasonable amount. It represents balanced generosity that neither overreaches nor withdraws."
HP0758,"When I have the last dessert at the party and my friend also wants some, so I decide to split mine with them."
HP0761,Even Stevens rule
HP0762,Going halves for a meal
HP0766,Sharing equally.
HP0767,Topping up a payment for something
HP0769,"It is similar to an occasion where a person has bought some groceries for you and you are transferring the money over, "
HP0770,someone getting a slightly newer chair than someone else in the office
HP0771,being fair to my friends
HP0776,Being fair and empathetic to another person.
HP0777,Being fair
HP0779,I found a £20 note on the floor and I transferred my friend who was with me £10.
HP0780,Splitting winnings fairly
HP0784,A BUSINESS PARTNERSHIP
HP0787,"i sent my child to school the other morning, everything was fine. he felt fine, i felt fine. i went to work. i was only at work about an hour when i got a call from his school. the nurse on the phone said that my child was in her office and he was running a fever and had a very swollen throat. i immediately went and picked him up and took him to the doctor.  turned out that he had strep throat"
HP0788,"it would be similar to making a situation fair or equal between me and someone else, if i have two cookies and they have none it would be me giving them 1 so we both have the same"
HP0789,"this represents equity, socialism"
HP0793,Donating money to a charity box
HP0794,splitting your money evenly between you and charity.
HP0796,Similar to buying a burger for someone at a fast food restaurant.
HP0797,It's similar to trying to be fair with your coworker or friend.
HP0801,Buying someone a coffee
HP0802,When I decided not share my winning of the money I won in a darts double game. 
HP0804,Opening a gift box and it being empty.
HP0805,This would be like going for a meal and my friend eating less but still splitting the bill 50/50.  I would benefit from that transaction.
HP0807,"Sharing your good luck with others, like buying a round of drinks."
HP0810,Not being able to afford to let any of my own money go
HP0811,This is similar to not giving anything to charity when asked. even a small amount wouldn't affect me as much as it would have a positive affect on them. 
HP0813,If I got a tip at work and didn't share it evenly
HP0814,taking more for myself
HP0815,Someone making sure that they benefit more than the other person 
HP0816,"I find this similar to my older brother getting some money, and then reluctantly giving me a little just to make our parents not get on his case."
HP0817,I would find it similar to buying a couple energy drinks at a gas station.
HP0818,I can't imagine doing that! I suppose it's similar to what some refer to as 'gender pay gap' that women earn less than their male counterparts. 
HP0819,I think this would be generous because I could offer zero but it's also not even half so it's a little bit greedy
HP0820,Scamming someone to make them foot the bill for me
HP0821,"A decent compromise, but best for me"
HP0822,Paying for a souvenir 
HP0826,I find this similar to small talk with the other participant and moving along with my day after.
HP0827,My mom putting a gesture appeasement payment in the church plate as it's passed round the congregation.
HP0828,Knowing that I had a more pressing need for the money but appreciating that it would be selfish to keep all of it and wanting to not look that way so I decided to give some of the money to the other player. 
HP0829,"A bit fair, similar to a person investing a whole workday volunteering"
HP0831,I think this is an example of when someone eats all of the food in the refrigerator but does not share any
HP0832,This reminds me of paying for a candy bar a co-worker is selling.
HP0833,I feel it is similar to ignoring a problem instead of fixing or trying to help fix it.
HP0834,I find this similar to myself and a girl I know who did cleaning for a neighbor who gave us 12 dollars but I did almost all the work so I only gave her 4 dollars.
HP0835,It would be similar to keeping my earnings and not giving to others. 
HP0837,It would be a wash. 
HP0838,It reminds me of greed and taking more than another which is selfish.
HP0839,A boss and an employee where I am the boss and the other participant is an employee
HP0841,paying taxes
HP0842,Taking money that would be fair for them to have some of.
HP0843,Not giving to a homeless person asking for money
HP0844,Taking 2/3 of a pizza a friend and I got to share
HP0845,failing an exam
HP0846,"Giving to charity, where you still have fun money left over even after sharing."
HP0847,Someone asking me for money to borrow and me saying no to them.
HP0849,a bit okay but would be considered unfair 
HP0850,Having been given a good start in life and not helping anyone else around you.
HP0851,"When you have a good amount, and you decide to share a bit with someone else. Probably feel good about yourself for doing so."
HP0852,"Basically, normal everyday life. Everyone is treated equally and fairly, without favoring or discriminating against someone else."
HP0853,Im not sure? I would transfer half really. I don't have anything to compare it to though
HP0855,"Being slightly charitable however, still maintaining that you want to keep most of the payment."
HP0856,How life currently works at the moment
HP0857,inequity
HP0858,I would find it similar to buying a friend or co-worker a cup of coffee.
HP0860,a time when I had no money in my account to give to anyone
HP0862,it would be similar to giving someone one slice of pizza and I keep more
HP0864,"Similar as above, if there was a prepayment that was missing and the $4 was remaining and would cancel it out."
HP0865,"Greed, and it reminds me of CEOs and owners of businesses that underpay their employees."
HP0866,I see it as paying for some of my partners meal
HP0867,being a parent giving a child a bit of money to spend
HP0870,It would be more equal and more like sharing
HP0872,"I find it similar to the idea of giving what you can, even if it's not exactly equitable."
HP0873,I find this is simple if we are at the store paying for something and me or their person needs help paying for their things and they are short on cash.
HP0874,"It's like if me and my friend go out to dinner, and we each pay only for what we bought."
HP0875,"Transferring $0 to the other participant means that am not giving anything to the other participant and I am not taking anything from them. This situation reminds me of two cowokers. If one is getting $8 bonus it means that they worked so hard for it, while the one who got $4 means that the didnt not put in so much effort. Therefore, the one with a higher bonus does not want to share their bonus as well not want to take anything from the other co workers account."
HP0876,Gaining money
HP0877,us keeping what we have
HP0878,Paying my brother back for money that I've borrowed
HP0880,"I am an employer and for every 12 dollars I make, I transfer a smaller portion to my employees because it is about me and my business. "
HP0881,Being completely neutral.
HP0882,Believing that I deserve a larger share of wealth by default.
HP0883,"This is more similar to a donation, where you give up a small percentage of your income to help others."
HP0884,Being the elite rich
HP0886,"I would find it similar to going out shopping with a friend and us buying our own goods without either of us spotting each other money because we could't afford something, so our money stays our own or goes to a certain business as payment."
HP0887,we keep the same amount of money we started with
HP0888,sitting on the shelf and hoping for the best 
HP0889,not sharing something nice with family
HP0890,paying for a cup of coffee in a coffee shop
HP0891,Giving someone a small amount to help cover an item or thing. Especially if they are a couple of dollars short and they don't have enough in their bank account or wallet. 
HP0892,That person wouldn’t be gaining anything from me and wouldn’t be happy.
HP0893,that would be they are getting 50%
HP0894,Like I am not being entirely fair. 
HP0895,Similar to when my friend worked for this dodgy cafe that tried to pay her in cash and gave her less pay than she earned
HP0896,This makes me uncomfortable as it is unfair.
HP0897,"This is similar to the other food example, but this time you're keeping the majority of your meal and sharing a little with someone else that only wants a wee bit. "
HP0898,being given unequal payment for the same job and keeping the bigger share for myself
HP0899,"Also rude, we should leave with equal money"
HP0900,"Being born upper-middle class and voting to retain your situation, rather than improve the situation for those worse off."
HP0901,Paying my mortgage out of salary
HP0902,i think it reminds me of someone asking to borrow money but you saying no
HP0903,"Me and a friend got a reward for completing a task, I did more work so they got the smaller amount of money."
HP0904,similar to helping someone in need
HP0905,letting someone try my food when they didn't get any
HP0906,"Letting things be, the luck fo the draw. THings that are luck based in society that people don't try to make right when they have all of the information. Letting billionaires get bail outs. idk "
HP0907,This feels like I am hoarding what I have.
HP0908,taking a better split
HP0909,I would find it similar to hanging out with someone I don't like very much. I wouldn't give them any money if I didn't want to.
HP0910,I would compare sending the other participant 4 dollars to buying a large coffee in the morning
HP0911,BEING VERY CAUTIOUS WITH MONEY
HP0912,I find transferring nothing similar to seeing someone getting the wrong price at the grocery store.
HP0913,winning a lottery and just keeping what you are given
HP0914,buying a homeless person a meal deal
HP0916,This is a neutral situation. We both exist with our respective amounts of money without transferring any between us. 
HP0917,This makes me think about taxes in that this is about 1/3 and it seems similar to tax rates. 
HP0918,I find it similar to not giving money to someone in need.
HP0919,This is similar to splitting lottery winnings with a family member.
HP0920,This isn't wrong but especially in this season of giving sharing so that things are equal would be a nice gesture.
HP0921,Absolutely nothing. Nothing is happening here.
HP0922,Doing nothing and hoping for the best
HP0923,The ruling class giving no money to the lower class.
HP0924,paying someone in kind
HP0925,Keeping the status quo and not giving away money. 
HP0926,Finding money in your pocket that you'd forgotten about.
HP0927,I would find it similar to the time my friends were in a Situation if choice 
HP0929,"Similar to the pizza example above, except this time, I'm keeping two-thirds and my friend is only getting one-third."
HP0931,refusing to lend money out to people 
HP0933,"Current state of the UK, where everyone looks to hold on to what they have."
HP0934,I am not helping others.
HP0935,There is a charity collector on the street. He is trying to raise some money for his foundation and I donate to it
HP0936,"Keeping an unfair extra share, which I haven't done anything to deserve. I can't think of a situation in real life that I've experienced which feels similar to this but it would be like secretively keeping something back for my own advantage."
HP0937,I find this similar to a very neutral situation like meeting a stranger.
HP0938,ignoring the other person
HP0939,Sharing abite of my food
HP0943,Being mean and looking out for myself
HP0945,I am giving my child an allowance once a month
HP0946,"I decided that as the amount money had been given specifically for me, it would be going against the benefactors wishes if I then gave some of it away to someone else"
HP0949,Interest payment on savings
HP0950,Transferring nothing means the person thinks this is a fair distribution. Participant thinks that he/she should maintain the edge. 
HP0951,"giving a little, like tithing."
HP0952,sharing my earnings with a friend
HP0953,I find it similar to being taxed by the government where the government takes a percent of my income.
HP0954,Being a selfish person
