hp_response_id,category_num
HP2009,2
HP2010,0
HP2011,0
HP2012,0
HP2014,0
HP2015,3
HP2016,3
HP2017,0
HP2018,0
HP2019,0
HP2020,3
HP2021,2
HP2022,2
HP2023,0
HP2024,3
HP2025,2
HP2027,1
HP2028,3
HP2029,0
HP2031,0
HP2032,2
HP2033,1
HP2034,3
HP2035,0
HP2036,1
HP2037,3
HP2038,0
HP2039,0
HP2040,3
HP2041,0
HP2042,3
HP2043,1
HP2044,0
HP2045,3
HP2046,3
HP2047,0
HP2048,2
HP2049,2
HP2050,0
HP2052,0
HP2053,2
HP2054,2
HP2055,3
HP2057,0
HP2058,3
HP2059,2
HP2060,2
HP2061,3
HP2063,3
HP2064,0
HP2065,3
HP2066,2
HP2067,0
HP2068,1
HP2069,1
HP2071,3
HP2072,2
HP2073,2
HP2074,2
HP2076,0
HP2077,3
HP2078,0
HP2079,3
HP2080,1
HP2081,0
HP2083,2
HP2084,2
HP2085,2
HP2086,0
HP2088,0
HP2089,0
HP2090,0
HP2091,2
HP2092,2
HP2094,0
HP2095,0
HP2096,1
HP2097,0
HP2098,1
HP2099,2
HP2100,0
HP2101,2
HP2102,2
HP2103,0
HP2104,2
HP2105,2
HP2106,2
HP2107,3
HP2108,1
HP2110,0
HP2111,2
HP2112,0
HP2113,2
HP2114,0
HP2115,1
HP2116,0
HP2117,0
HP2119,3
HP2120,2
HP2121,3
HP2122,2
HP2123,0
HP2124,0
HP2126,0
HP2127,3
HP2128,0
HP2129,0
HP2130,0
HP2131,3
HP2132,0
HP2133,2
HP2134,3
HP2135,0
HP2136,3
HP2137,2
HP2138,3
HP2139,0
HP2140,0
HP2141,1
HP2142,2
HP2143,0
HP2144,0
HP2147,0
HP2148,3
HP2150,0
HP2151,3
HP2152,0
HP2153,0
HP2154,1
HP2155,0
HP2156,3
HP2157,2
HP2158,2
HP2159,0
HP2160,3
HP2161,0
HP2162,2
HP2163,3
HP2164,3
HP2165,2
HP2166,3
HP2167,2
HP2168,0
HP2169,0
HP2170,3
HP2171,1
HP2172,1
HP2174,0
HP2175,1
HP2176,3
HP2177,1
HP2178,0
HP2179,1
HP2180,0
HP2181,0
HP2182,1
HP2183,0
HP2184,0
HP2185,2
HP2186,0
HP2187,3
HP2188,0
HP2189,0
HP2190,0
HP2191,2
HP2192,0
HP2193,0
HP2194,2
HP2195,2
HP2197,1
HP2198,3
HP2199,0
HP2200,0
HP2202,2
HP2203,2
HP2204,1
HP2205,0
HP2206,0
HP2207,3
HP2208,2
HP2209,2
HP2210,0
HP2211,0
HP2213,2
HP2216,0
HP2218,1
HP2219,3
HP2220,0
HP2221,2
HP2222,0
HP2223,0
HP2224,3
HP2225,0
HP2226,0
HP2228,3
HP2230,1
HP2231,0
HP2232,3
HP2233,0
HP2234,3
HP2235,3
HP2236,1
HP2237,0
HP2238,3
HP2239,0
HP2240,1
HP2241,3
HP2242,3
HP2243,0
HP2244,3
HP2245,2
HP2247,2
HP2249,3
HP2250,1
HP2251,0
HP2252,0
HP2253,2
HP2254,1
HP2255,3
HP2256,0
HP2257,0
HP2258,0
HP2259,1
HP2260,2
HP2261,0
HP2262,3
HP2263,3
HP2264,2
HP2265,2
HP2266,0
HP2267,2
HP2268,3
HP2269,0
HP2270,3
HP2271,1
HP2273,0
HP2274,0
HP2275,1
HP2276,2
HP2277,0
HP2278,1
HP2280,0
HP2281,1
HP2282,3
HP2283,1
HP2284,0
HP2285,3
HP2286,2
HP2287,1
HP2288,3
HP2289,3
HP2292,0
HP2293,2
HP2294,0
HP2295,3
HP2296,0
HP2297,3
HP2298,0
HP2299,0
HP2300,1
HP2301,2
HP2302,2
HP2303,2
HP2304,3
HP2305,3
HP2306,2
HP2307,2
HP2308,2
HP2309,0
HP2310,2
HP2311,3
HP2312,1
HP2313,1
HP2314,0
HP2315,1
HP2316,0
HP2317,0
HP2318,1
HP2319,0
HP2320,2
HP2321,0
HP2322,0
HP2323,1
HP2324,0
HP2325,0
HP2326,0
HP2327,0
HP2328,0
HP2329,0
HP2330,3
HP2331,2
HP2332,0
HP2333,0
HP2334,0
HP2336,0
HP2337,2
HP2338,0
HP2339,3
HP2340,0
HP2341,3
HP2342,3
HP2343,1
HP2344,0
HP2345,3
HP2347,2
HP2348,0
HP2349,0
HP2350,1
HP2352,0
HP2353,3
HP2354,2
HP2355,0
HP2356,3
HP2357,0
HP2358,0
HP2359,3
HP2360,0
HP2361,2
HP2363,1
HP2364,3
HP2365,2
HP2366,3
HP2367,2
HP2368,3
HP2369,2
HP2370,0
HP2371,3
HP2372,1
HP2373,0
HP2374,0
HP2375,2
HP2376,0
HP2377,3
HP2378,3
HP2379,2
HP2380,3
HP2381,2
HP2382,2
HP2383,1
HP2384,0
HP2385,1
HP2386,0
HP2387,0
HP2388,0
HP2389,3
HP2391,2
HP2392,0
HP2393,0
HP2394,1
HP2395,2
HP2396,0
HP2397,0
HP2398,3
HP2399,3
HP2400,0
HP2401,3
HP2402,0
HP2403,2
HP2404,0
HP2405,2
HP2406,0
HP2407,2
HP2408,1
HP2409,0
HP2410,1
HP2411,2
HP2412,0
HP2414,0
HP2415,1
HP2416,1
HP2417,0
HP2418,0
HP2419,1
HP2420,0
HP2421,0
HP2422,2
HP2424,0
HP2425,1
HP2426,0
HP2427,2
HP2428,2
HP2429,0
HP2430,2
HP2431,0
HP2432,0
HP2433,0
HP2434,1
HP2436,2
HP2437,3
HP2438,0
HP2439,3
HP2440,2
HP2441,1
HP2442,1
HP2443,0
HP2444,1
HP2445,1
HP2447,0
HP2448,2
HP2449,1
