hp_response_id,similarity_reference_B
HP2401,19
HP2402,78
HP2403,72
HP2404,3
HP2405,93
HP2406,43
HP2407,84
HP2408,58
HP2409,60
HP2410,89
HP2411,80
HP2412,21
HP2413,59
HP2414,60
HP2415,20
HP2416,76
HP2417,21
HP2418,58
HP2419,57
HP2420,81
HP2421,0
HP2422,80
HP2423,96
HP2424,69
HP2425,8
HP2426,46
HP2427,63
HP2428,79
HP2429,90
HP2430,78
HP2431,20
HP2432,76
HP2433,17
HP2434,11
HP2435,65
HP2436,60
HP2437,1
HP2438,60
HP2439,56
HP2440,84
HP2441,17
HP2442,48
HP2443,47
HP2444,5
HP2445,18
HP2446,16
HP2447,62
HP2448,82
HP2449,6
HP2450,70
HP2451,14
HP2452,75
HP2453,73
HP2454,18
HP2455,76
HP2456,80
HP2457,50
HP2458,10
HP2459,62
HP2460,6
HP2461,11
HP2462,75
HP2463,88
HP2464,75
HP2465,80
HP2466,64
HP2467,80
HP2468,9
HP2469,20
HP2470,31
HP2471,64
HP2472,80
HP2473,65
HP2474,4
HP2475,70
HP2476,92
HP2477,64
HP2478,13
HP2479,48
HP2480,13
HP2481,56
HP2482,76
HP2483,18
HP2484,60
HP2485,61
HP2486,63
HP2487,83
HP2488,55
HP2489,62
HP2490,3
HP2491,45
HP2492,10
HP2493,45
HP2494,64
HP2495,60
HP2496,83
HP2497,83
HP2498,2
HP2499,67
HP2500,67
HP2501,52
HP2502,73
HP2503,8
HP2504,60
HP2505,58
HP2506,15
HP2507,72
HP2508,74
HP2509,0
HP2510,10
HP2511,60
HP2512,8
HP2513,72
HP2514,78
HP2515,2
HP2516,14
HP2517,62
HP2518,72
HP2519,19
HP2520,66
HP2521,73
HP2522,87
HP2523,91
HP2524,92
HP2525,62
HP2526,82
HP2527,55
HP2528,57
HP2529,69
HP2530,13
HP2531,74
HP2532,13
HP2533,65
HP2534,76
HP2535,64
HP2536,57
HP2537,62
HP2538,81
HP2539,67
HP2540,60
HP2541,4
HP2542,92
HP2543,24
HP2544,4
HP2545,62
HP2546,17
HP2547,79
HP2548,46
HP2549,86
HP2550,15
HP2551,88
HP2552,56
HP2553,78
HP2554,70
HP2555,70
HP2556,74
HP2557,60
HP2558,90
HP2559,58
HP2560,1
HP2561,55
HP2562,70
HP2563,76
HP2564,44
HP2565,79
HP2566,2
HP2567,2
HP2568,31
HP2569,77
HP2570,86
HP2571,28
HP2572,61
HP2573,64
HP2574,61
HP2575,26
HP2576,21
HP2577,80
HP2578,67
HP2579,70
HP2580,12
HP2581,24
HP2582,3
HP2583,5
HP2584,77
HP2585,2
HP2586,14
HP2587,10
HP2588,94
HP2589,57
HP2590,66
HP2591,65
HP2592,20
HP2593,97
HP2594,12
HP2595,45
HP2596,14
HP2597,67
HP2598,81
HP2599,69
HP2600,39
HP2601,76
HP2602,20
HP2603,50
HP2604,67
HP2605,2
HP2606,70
HP2607,76
HP2608,66
HP2609,68
HP2610,64
HP2611,15
HP2612,89
HP2613,63
HP2614,3
HP2615,71
HP2616,73
HP2617,76
HP2618,77
HP2619,85
HP2620,71
HP2621,0
HP2622,19
HP2623,1
HP2624,72
HP2625,78
HP2626,81
HP2627,70
HP2628,20
HP2629,69
HP2630,70
HP2631,70
HP2632,7
HP2633,75
HP2634,56
HP2635,75
HP2636,75
HP2637,78
HP2638,44
HP2639,4
HP2640,56
HP2641,76
HP2642,93
HP2643,92
HP2644,88
HP2645,66
HP2646,65
HP2647,67
HP2648,41
HP2649,15
HP2650,53
HP2651,1
HP2652,84
HP2653,74
HP2654,1
HP2655,69
HP2656,8
HP2657,70
HP2658,2
HP2659,80
HP2660,7
HP2661,4
HP2662,20
HP2663,72
HP2664,7
HP2665,9
HP2666,75
HP2667,55
HP2668,15
HP2669,51
HP2670,70
HP2671,0
HP2672,91
HP2673,70
HP2674,98
HP2675,76
HP2676,10
HP2677,57
HP2678,8
HP2679,92
HP2680,59
HP2681,13
HP2682,79
HP2683,5
HP2684,10
HP2685,91
HP2686,4
HP2687,58
HP2688,80
HP2689,80
HP2690,23
HP2691,14
HP2692,72
HP2693,7
HP2694,15
HP2695,14
HP2696,70
HP2697,73
HP2698,69
HP2699,66
HP2700,74
HP2701,58
HP2702,72
HP2703,14
HP2704,18
HP2705,17
HP2706,14
HP2707,94
HP2708,13
HP2709,81
HP2710,59
HP2711,98
HP2712,16
HP2713,13
HP2714,80
HP2715,68
HP2716,60
HP2717,0
HP2718,75
HP2719,40
HP2720,66
HP2721,13
HP2722,97
HP2723,63
HP2724,59
HP2725,19
HP2726,63
HP2727,15
HP2728,72
HP2729,77
HP2730,64
HP2731,67
HP2732,72
HP2733,14
HP2734,93
HP2735,69
HP2736,64
HP2737,78
HP2738,51
HP2739,95
HP2740,81
HP2741,60
HP2742,4
HP2743,81
HP2744,13
HP2745,60
HP2746,64
HP2747,67
HP2748,81
HP2749,56
HP2750,74
HP2751,1
HP2752,39
HP2753,19
HP2754,56
HP2755,89
HP2756,66
HP2757,21
HP2758,62
HP2759,44
HP2760,67
HP2761,68
HP2762,60
HP2763,15
HP2764,20
HP2765,13
HP2766,5
HP2767,16
HP2768,98
HP2769,3
HP2770,79
HP2771,63
HP2772,83
HP2773,66
HP2774,8
HP2775,77
HP2776,44
HP2777,89
HP2778,75
HP2779,84
HP2780,51
HP2781,74
HP2782,12
HP2783,18
HP2784,63
HP2785,96
HP2786,72
HP2787,22
HP2788,19
HP2789,42
HP2790,12
HP2791,79
HP2792,56
HP2793,67
HP2794,7
HP2795,96
HP2796,57
HP2797,69
HP2798,77
HP2799,56
HP2800,48
