subject_id,PROLIFIC_PID,source_study,game,Market,kw_dummy,treatment_cell,trial_order,actual_allocation_kept,actual_share_sent,actual_reason,actual_reason_category,actual_reason_category_num,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
market_control::lt::55146e64fdf99b253d5b1c5d,55146e64fdf99b253d5b1c5d,market_control,lt,1,0,lt_market,2,10.5,0.125,to make the data worth more so i can make more money,Mutual Benefit / Cooperation,2,-0.3903311438018378,-0.14390683507284507,2,0.5463668062096525,0.3134894012607265,0.14014379252962103
market_control::lt::5589480afdf99b5ccca3c1ea,5589480afdf99b5ccca3c1ea,market_control,lt,1,0,lt_market,2,9.0,0.25,I think it is fair overall. I make decisions based on fairness for the most part and believe 1 is a fair number,Moral,1,0.2604088929240888,-0.080868427145936,1,0.42640757389984707,0.45738420142823466,0.1162082246719183
market_control::lt::5589b65afdf99b118adfa595,5589b65afdf99b118adfa595,market_control,lt,1,0,lt_market,1,6.0,0.5,I think it is fair to both parties.,Moral,1,0.4163404946962477,-0.10281387486093779,2,0.39805129076336454,0.49586100601943106,0.10608770321720444
market_control::lt::562cee16733ea00011163376,562cee16733ea00011163376,market_control,lt,1,0,lt_market,2,8.0,0.3333333333333333,"I think it is fair for the data controller to make a profit but it should be a reasonable one, fair to all parties.",Moral,1,0.16254424495575656,0.1938479478199508,4,0.4281976694711286,0.4187268731337166,0.15307545739515482
market_control::lt::5664b80b4ef50400127da023,5664b80b4ef50400127da023,market_control,lt,1,0,lt_market,2,12.0,0.0,they can give me more,Self-interest,3,-0.046215248498630936,0.6297723266947416,3,0.4253378666758919,0.34137682973293026,0.23328530359117777
market_control::lt::5698045b8d9be6000a879f95,5698045b8d9be6000a879f95,market_control,lt,1,0,lt_market,1,11.0,0.0833333333333333,"If it is my data, I should receive most compensation: a broker should only get a minimal handling fee",Self-interest,3,-0.33617933209989836,0.3506933293725338,2,0.49432810208075584,0.2995175034544114,0.20615439446483275
market_control::lt::56b4fd68a9d33a000a891ff9,56b4fd68a9d33a000a891ff9,market_control,lt,1,0,lt_market,2,8.0,0.3333333333333333,"I felt that the data would have more worth than the brokerage role, so allocated more potential payment to the data provider.",Moral,1,-0.5416148878518917,0.1326625249123156,4,0.545522495153978,0.2708071725366765,0.18367033230934557
market_control::lt::56c63573305eaa000bf21126,56c63573305eaa000bf21126,market_control,lt,1,0,lt_market,2,8.0,0.3333333333333333,The 2 to 1 split of the price seemed fair reward for the work each undertook.,Moral,1,-0.06716916080694475,-0.16037122510299504,3,0.49137359826586535,0.38470116707832575,0.12392523465580896
market_control::lt::56de005e6893b5000ce95d71,56de005e6893b5000ce95d71,market_control,lt,1,0,lt_market,1,12.0,0.0,I am willing to be generous as I don’t believe there is a real life prolific person playing the game with me,Moral,1,0.5113475364077094,-0.1298597868487042,2,0.3811086906595954,0.520044046815243,0.0988472625251617
market_control::lt::56e68157f6ed90000ba5855c,56e68157f6ed90000ba5855c,market_control,lt,1,0,lt_market,2,8.0,0.3333333333333333,I WAS UNSURE EITHER WAY.,No clear justification,0,-0.16893168199384156,0.36340560493519247,1,0.4685573923592175,0.3335451093663458,0.1978974982744367
market_control::lt::56fa7c2e51c6bf000ccb2954,56fa7c2e51c6bf000ccb2954,market_control,lt,1,0,lt_market,2,6.0,0.5,To even the amounts as I had done more work,Moral,1,0.1325920837816999,-0.2178274544650158,4,0.45738174397889575,0.43370366772409075,0.10891458829701349
market_control::lt::571cd566e1d2ec0013a68b64,571cd566e1d2ec0013a68b64,market_control,lt,1,0,lt_market,1,4.0,0.6666666666666667,it seem the most reasonable,No clear justification,0,-0.24241999018484217,-0.04504259453363697,1,0.5142658814601118,0.34036104726429617,0.14537307127559207
market_control::lt::572f897aad13160009008979,572f897aad13160009008979,market_control,lt,1,0,lt_market,1,11.5,0.0416666666666666,I wanted to get as much money as possible,Self-interest,3,0.2604088929240888,-0.080868427145936,1,0.42640757389984707,0.45738420142823466,0.1162082246719183
market_control::lt::574061ecd700ea000ef44a8f,574061ecd700ea000ef44a8f,market_control,lt,1,0,lt_market,1,4.0,0.6666666666666667,$8 seems high and the value of the data can't be determined beforehand. Reducing the fee seems to make more sense. Also less money spent to achieve the same outcome seems more reasonable.,Self-interest,3,-0.33617933209989836,0.35069332937253367,2,0.49432810208075584,0.2995175034544114,0.20615439446483272
market_control::lt::578901354a84da00014c41cf,578901354a84da00014c41cf,market_control,lt,1,0,lt_market,1,9.5,0.2083333333333333,I am wanting to get a higher price as I want to overperform and do better.,Self-interest,3,0.3502384522091585,-0.17651577956845124,3,0.4138087361209157,0.48363370359318547,0.10255756028589888
market_control::lt::57b6dfafe2d5a60001099543,57b6dfafe2d5a60001099543,market_control,lt,1,0,lt_market,1,9.0,0.25,I thought it was fair to increase it slightly,Moral,1,0.03731886017141742,0.3226591128731309,2,0.43983182557390177,0.3816693115022103,0.17849886292388792
market_control::lt::57e7b82b21d77800018e51fe,57e7b82b21d77800018e51fe,market_control,lt,1,0,lt_market,2,12.0,0.0,I think both my partner and I deserve the same amount,Moral,1,0.056834278311391595,-0.08754987291404444,2,0.4644432898183499,0.40973518842229545,0.12582152175935457
market_control::lt::582086da97b5100001b9b830,582086da97b5100001b9b830,market_control,lt,1,0,lt_market,1,12.0,0.0,I feel this is fair as this data belongs to me.,Moral,1,0.6322967281518345,-0.14495761439176233,3,0.3586812075600192,0.54972327990078,0.09159551253920085
market_control::lt::58635484a73baa00010db537,58635484a73baa00010db537,market_control,lt,1,0,lt_market,1,12.0,0.0,"Because, I find that if the prolific worker can get more money for the data, it's because I added a lot of information to the data and made sure that I tried my best to add value to the open-ended questions as I always try to give as much detail as I can if I know what exactly I am trying to give examples of. Though, this type of open-ended questions were a little different from what I'm used to, so I had to think about what kind of similar real life situations those were.. and I'm not sure if I did it right. I did feel like the 0 would be the easiest because that is truly like helping out a friend. So, I tried to put in as much thought as I could. But didn't know how much we were supposed to write for each box.",No clear justification,0,-0.40233666069201396,-0.221939782510233,3,0.55415909970848,0.31421786772975235,0.13162303256176772
market_control::lt::5884593bd920ed0001fdccb4,5884593bd920ed0001fdccb4,market_control,lt,1,0,lt_market,2,5.0,0.5833333333333333,because i wanted to test the others persons process,No clear justification,0,0.1325920837816999,-0.21782745446501575,4,0.45738174397889575,0.43370366772409075,0.1089145882970135
market_control::lt::58a477c660cd820001e9a5d6,58a477c660cd820001e9a5d6,market_control,lt,1,0,lt_market,1,10.0,0.1666666666666666,I would want to charge more so I can make more money.,Self-interest,3,-0.18586686805578373,-0.09650106266169477,1,0.5082945724316597,0.35513767390099116,0.13656775366734916
market_control::lt::58af7fe1b48dc6000173bffe,58af7fe1b48dc6000173bffe,market_control,lt,1,0,lt_market,2,12.0,0.0,I wanted to maximise the possibility of me receiving the most money. I do not care about the broker in this transaction and only wanted to maximise my price.,Self-interest,3,-0.1331162172467738,0.41716502263560573,1,0.45822877411177687,0.3377475886534488,0.2040236372347744
market_control::lt::5915e5c6405db80001f30ff1,5915e5c6405db80001f30ff1,market_control,lt,1,0,lt_market,1,10.0,0.1666666666666666,I think it is worth more than $8 a $2 peoce increase is not huge but makes a small difference,Mutual Benefit / Cooperation,2,0.05672922341367261,-0.11066860470094907,2,0.4658049394030017,0.41085257081427373,0.12334248978272463
market_control::lt::5928b6414a05920001393ecf,5928b6414a05920001393ecf,market_control,lt,1,0,lt_market,1,10.0,0.1666666666666666,I simply increased the price to get more money.,Self-interest,3,0.4163404946962477,-0.10281387486093779,2,0.39805129076336454,0.49586100601943106,0.10608770321720444
market_control::lt::5942d73df8bfc00001985c3c,5942d73df8bfc00001985c3c,market_control,lt,1,0,lt_market,2,12.0,0.0,Again I dont think the other participant is real.,No clear justification,0,0.05672922341367261,-0.11066860470094907,2,0.4658049394030017,0.41085257081427373,0.12334248978272463
market_control::lt::594b80f264c25300013deb95,594b80f264c25300013deb95,market_control,lt,1,0,lt_market,2,10.5,0.125,i thought i should increase it by a little to show willing,Moral,1,0.20271910893113304,-0.03572521979616134,1,0.43476479819840197,0.44132129716157764,0.12391390464002038
market_control::lt::595bee9282be5500017ad683,595bee9282be5500017ad683,market_control,lt,1,0,lt_market,1,10.0,0.1666666666666666,I think it's best to try for a small profit without pricing yourself out of the market of what your selling.,Mutual Benefit / Cooperation,2,0.8134369554369972,-0.1629987387226181,4,0.32521956770786953,0.5932805315422189,0.08149990074991156
market_control::lt::596141af7ab4ce00017b8638,596141af7ab4ce00017b8638,market_control,lt,1,0,lt_market,2,12.0,0.0,i wanted to increase the price by 4,No clear justification,0,0.3099571703530825,-0.07044642818123877,1,0.4166229042964789,0.46867968981410496,0.11469740588941615
market_control::lt::596df2ca780e5c0001852208,596df2ca780e5c0001852208,market_control,lt,1,0,lt_market,2,6.0,0.5,So I can split it equally with the broker as they will have little say in negotiations as there fee is set.,Moral,1,-0.08034450326116314,0.22525224571035157,3,0.46657136513362174,0.36136826196865124,0.17206037289772705
market_control::lt::598afb77600a7a00018fabd7,598afb77600a7a00018fabd7,market_control,lt,1,0,lt_market,1,10.0,0.1666666666666666,I would like to make as much money as possible and as long as the buyer it happy to pay the price I will also be happy,Self-interest,3,-0.280229608365742,0.25826308870077275,2,0.4950383029836831,0.3163942310473726,0.18856746596894425
market_control::lt::598f22af33481c000164d359,598f22af33481c000164d359,market_control,lt,1,0,lt_market,2,11.5,0.0416666666666666,To take a chance on making more money,Mutual Benefit / Cooperation,2,0.4725844341046694,-0.19088725063921586,4,0.3908490846577801,0.513706518128007,0.09544439721421275
market_control::lt::59d4fac0d1ab390001da2e46,59d4fac0d1ab390001da2e46,market_control,lt,1,0,lt_market,2,11.0,0.0833333333333333,This price is near enough to the price I expected for the data.,No clear justification,0,0.10780316037711343,-0.15234459016615892,2,0.4586607839133205,0.42480566993717295,0.11653354614950653
market_control::lt::59d8d3aeea41450001ec79b0,59d8d3aeea41450001ec79b0,market_control,lt,1,0,lt_market,2,11.0,0.0833333333333333,"Given the data producer has done most of the work and the broker is not, I feel that more the value that the broker receives should be shared with the data collector. That is not to say that the Broker shouldn't receive something commensurate to the work performed.",Moral,1,-0.18444609119845176,0.16154094341250583,4,0.48854766089229923,0.34222285843443095,0.1692294806732698
market_control::lt::59dc924bbe399f0001e495f2,59dc924bbe399f0001e495f2,market_control,lt,1,0,lt_market,1,5.5,0.5416666666666667,I think I clicked the button the wrong way I meant to put it up 2.5 to negotiate,Mutual Benefit / Cooperation,2,0.47258443410466955,-0.19088725063921583,4,0.3908490846577801,0.5137065181280072,0.09544439721421273
market_control::lt::59f474a3f4217300016cbfa0,59f474a3f4217300016cbfa0,market_control,lt,1,0,lt_market,1,10.5,0.125,I think my work should be worth the slight increase.,Self-interest,3,0.30931173943857937,-0.04788387181476837,1,0.4156469829398019,0.46734288377063804,0.11701013328956009
market_control::lt::59f4fa78da08940001d4e7b7,59f4fa78da08940001d4e7b7,market_control,lt,1,0,lt_market,2,10.0,0.1666666666666666,Its bad karma to give a low amount to someone,Moral,1,-0.4836946886838424,-0.2184511829604697,3,0.5673347960722825,0.2974304316552432,0.13523477227247432
market_control::lt::5a03241a6e1ea9000124dead,5a03241a6e1ea9000124dead,market_control,lt,1,0,lt_market,2,5.0,0.5833333333333333,I feel that I should profit more from the sale of my data.,Self-interest,3,0.2920031901621047,0.25737481908746435,3,0.4018884780533435,0.4451852328785681,0.1529262890680885
market_control::lt::5a23ff0d84da9c0001b6db6f,5a23ff0d84da9c0001b6db6f,market_control,lt,1,0,lt_market,2,10.0,0.1666666666666666,Because making a profit is key in business management.,Mutual Benefit / Cooperation,2,0.32880477878820624,0.29561373944889735,3,0.3932407982055123,0.45138365428723815,0.15537554750724966
