subject_id,PROLIFIC_PID,source_study,game,Market,kw_dummy,treatment_cell,trial_order,actual_allocation_kept,actual_share_sent,actual_reason,actual_reason_category,actual_reason_category_num,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
control_kwlt::543e5938fdf99b73557f2136,543e5938fdf99b73557f2136,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,It was fair,Moral,1,-0.6338459784526013,-0.08293100677771605,3,0.7964277519034667,0.17554450988327766,0.02802773821325554
control_kwlt::54f844c0fdf99b2bd032e149,54f844c0fdf99b2bd032e149,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,"This is a windfall; neither of us has earned the money, so it is only fair that the funds be shared equally.",Moral,1,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::55999e94fdf99b37246adab5,55999e94fdf99b37246adab5,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,i feel bad they got nothing plus its not my money so half seems fair,Moral,1,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::55e9aa1c735c45001043fbb6,55e9aa1c735c45001043fbb6,control_kwlt,kw,0,1,kw_control,1,8.0,0.3333333333333333,I thought 4 is good not 50% but not too bad,Moral,1,-0.6338459784526013,-0.08293100677771605,3,0.7964277519034667,0.17554450988327766,0.02802773821325554
control_kwlt::561f684fed6e5a000dc7e878,561f684fed6e5a000dc7e878,control_kwlt,kw,0,1,kw_control,1,7.0,0.4166666666666666,This is the only amount i can loan out.,Self-interest,3,1.6203285484162173,-0.047387732865296316,3,0.5357137745288646,0.4476675989661434,0.016618626504992032
control_kwlt::56610c81b018d100126e5da9,56610c81b018d100126e5da9,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,I chose this option to be fair and equal with my partner.,Moral,1,0.09150295042799497,-0.07250595039042276,3,0.7288123664630296,0.24687778125082477,0.024309852286145676
control_kwlt::56a93b0a402025000bd62f17,56a93b0a402025000bd62f17,control_kwlt,kw,0,1,kw_control,1,12.0,0.0,I don't know the other person so don't feel beholden to give them any money,Self-interest,3,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::56c81007ba8e37000d7b211e,56c81007ba8e37000d7b211e,control_kwlt,kw,0,1,kw_control,2,9.5,0.2083333333333333,It feels fair to share,Moral,1,0.0354920961097864,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::5731d20d5b8b0600107d1995,5731d20d5b8b0600107d1995,control_kwlt,kw,0,1,kw_control,1,8.0,0.3333333333333333,I do think it's fair they have something but I would like more,Self-interest,3,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::57a3de9ddcff7d0001c7d35a,57a3de9ddcff7d0001c7d35a,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,"Both unfairly allocated money, best to make it equal",Moral,1,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
control_kwlt::57a78015454e5400015f57ec,57a78015454e5400015f57ec,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,I believe that we should divide up our resources equally,Moral,1,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
control_kwlt::5815a5f000b325000184db51,5815a5f000b325000184db51,control_kwlt,kw,0,1,kw_control,2,8.0,0.3333333333333333,"Same as last time. It seems unfair if they get nothing, but I want the money for myself!",Self-interest,3,0.1316652888925463,-0.06926366648785251,3,0.7247105410046907,0.25111932744758747,0.024170131547721904
control_kwlt::58174d95a22f0f0001a3f0be,58174d95a22f0f0001a3f0be,control_kwlt,kw,0,1,kw_control,2,10.0,0.1666666666666666,"I didn't want to be greedy, so gave a small amount to the other participant as they had nothing",Moral,1,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::5841a2d39d65770001cebfa1,5841a2d39d65770001cebfa1,control_kwlt,kw,0,1,kw_control,2,8.0,0.3333333333333333,"I always do the right thing and for once decided to do slightly less then the right thing. I probably won't think about this again though, and its hypothetical.",Moral,1,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::589fc07f1521230001ebf494,589fc07f1521230001ebf494,control_kwlt,kw,0,1,kw_control,2,12.0,0.0,Same. I am here to make money so of course I want to maximize my income.,Self-interest,3,-0.10112948304054419,-0.05101403594573973,2,0.747285608713868,0.22682194287474444,0.02589244841138765
control_kwlt::58bd73414cdfd90001778323,58bd73414cdfd90001778323,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,"it seemed a fair distribution for another participant, hopefully they will do the same",Moral,1,1.4001721134209464,-0.041899533733555525,2,0.5693224816765518,0.4127386565373724,0.01793886178607588
control_kwlt::58e4193733ae3700012735e5,58e4193733ae3700012735e5,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,Because it's fair that we get the same each,Moral,1,-0.617179808388059,-0.058969390017264374,2,0.7944639375342607,0.17694258445463806,0.02859347801110124
control_kwlt::590a361371adfd000150e4c2,590a361371adfd000150e4c2,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,because it's fair and i dont know the outcome so hedging my bets,Mutual Benefit / Cooperation,2,0.05569138459223965,0.7779644050161407,4,0.708407241482039,0.2360778812497956,0.05551487726816534
control_kwlt::5937fa89d3501e0001bc077b,5937fa89d3501e0001bc077b,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,even it out,Moral,1,-0.10112948304054419,-0.05101403594573973,2,0.747285608713868,0.22682194287474444,0.02589244841138765
control_kwlt::5944e8d4d8d2690001d0a6fa,5944e8d4d8d2690001d0a6fa,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,"I'm not greedy, we share equally",Moral,1,-0.03727782198302366,-0.025968623280514226,1,0.7406286617817986,0.23320402791426587,0.026167310303935487
control_kwlt::5953acc10dd7710001aec19e,5953acc10dd7710001aec19e,control_kwlt,kw,0,1,kw_control,2,6.5,0.4583333333333333,it was where the cursor stopped and it did not seem to want to go further,No clear justification,0,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::596ba5ec6956b40001c59bf4,596ba5ec6956b40001c59bf4,control_kwlt,kw,0,1,kw_control,2,9.0,0.25,I wanted to give them something and not leave them with nothing,Moral,1,-0.19474250282503003,-0.07816156922751266,3,0.7567179274067074,0.21755424288361602,0.02572782970967654
control_kwlt::5978828cae36d500016ca8b9,5978828cae36d500016ca8b9,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,I wanted to be as fair as possible. I hope that others would make any decision that affected me in the same way.,Moral,1,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::5979d62b1fc28a000191759a,5979d62b1fc28a000191759a,control_kwlt,kw,0,1,kw_control,1,9.0,0.25,"Certain I won't get a bonus, as the structure of the study doesn't make it realistic, so picked random, odd amount.",No clear justification,0,0.19855988686252463,-0.044552228515932595,2,0.7174442778377254,0.25816406726181873,0.024391654900455986
control_kwlt::59930c0fb9269d00016ec252,59930c0fb9269d00016ec252,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,i like to be fair,Moral,1,0.6042554469183791,-0.07274063385008926,3,0.673915535233119,0.30449337349279704,0.021591091274083905
control_kwlt::599dacb43c7d1a0001deef97,599dacb43c7d1a0001deef97,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,fairness.,Moral,1,0.09150295042799497,-0.07250595039042276,3,0.7288123664630296,0.24687778125082477,0.024309852286145676
control_kwlt::59d264e2faf42e00012b6cba,59d264e2faf42e00012b6cba,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,"I thought a 50/50 split was fair, it gave us equal amounts. Even though the participant is unknown to me, I imagined how I would feel to be in their position and how I would think it was fair to split it 50/50. I did not want to be selfish.",Moral,1,0.19855988686252463,-0.044552228515932595,2,0.7174442778377254,0.25816406726181873,0.024391654900455986
control_kwlt::59d37a45f7b7a00001198315,59d37a45f7b7a00001198315,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,its fair,Moral,1,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
control_kwlt::59dc80b77f3d71000171d3c8,59dc80b77f3d71000171d3c8,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,"It seems the most fair to me - neither I nor the other party did anything to make me think we don't deserve equal shares (as far as I know, at least)",Moral,1,0.7234804667959527,-0.08303830320225501,4,0.6601106837385211,0.31913021086148324,0.02075910539999561
control_kwlt::59dc8c1b24d7bf00012f099f,59dc8c1b24d7bf00012f099f,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,i thought it was best to split the money,Moral,1,-0.6553061082647963,-0.08672159303610953,3,0.7983568938432501,0.17360022704942335,0.02804287910732649
control_kwlt::59e60f9a3e4b5a00016aa0cd,59e60f9a3e4b5a00016aa0cd,control_kwlt,kw,0,1,kw_control,2,0.0,1.0,"I would have no hesitation in paying for regular help and support with day to day essentials such as shopping, support in the home, and attending essential medical needs.",No clear justification,0,-0.5842104289318815,-0.03304872731938094,1,0.7910290791819482,0.17983991364527635,0.02913100717277548
control_kwlt::59e8502b7f3d71000171df0a,59e8502b7f3d71000171df0a,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,I thought it was only fair to share evenly.,Moral,1,0.19855988686252463,-0.044552228515932595,2,0.7174442778377254,0.25816406726181873,0.024391654900455986
control_kwlt::59e9d2c6c0d35a0001295448,59e9d2c6c0d35a0001295448,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,To split the money equally,Moral,1,0.035492096109786445,-0.09620122299106279,4,0.7348240386038116,0.24112598057838544,0.024049980817803
control_kwlt::59edc2c816ecc200016ff9cc,59edc2c816ecc200016ff9cc,control_kwlt,kw,0,1,kw_control,1,8.0,0.3333333333333333,I feel that it would be fair to give the other participant a little bit of money. If I didn't I would feel quite guilty. I was quite tempted to take all the money but I thought I should share some of it.,Moral,1,-0.6843279864440104,-0.11026260710346344,4,0.8013508869904555,0.17108433562849146,0.027564777381053
control_kwlt::59fd4a71f5b5a3000139379c,59fd4a71f5b5a3000139379c,control_kwlt,kw,0,1,kw_control,2,6.0,0.5,I decided that we would both get half of the reward,Moral,1,0.1316652888925463,-0.06926366648785251,3,0.7247105410046907,0.25111932744758747,0.024170131547721904
control_kwlt::5a00e6da120fb300019480b3,5a00e6da120fb300019480b3,control_kwlt,kw,0,1,kw_control,1,6.0,0.5,SHARING IS A GOOD THING,Moral,1,0.1316652888925463,-0.06926366648785251,3,0.7247105410046907,0.25111932744758747,0.024170131547721904
control_kwlt::5a4e26a8f4c9dc0001b7a1b5,5a4e26a8f4c9dc0001b7a1b5,control_kwlt,kw,0,1,kw_control,1,8.0,0.3333333333333333,I have decided to transfer a portion as it was allocated to me for a reason and im giving a token amount. It would be selfish to keep it all,Moral,1,0.8904282887081608,-0.05758032756318518,3,0.6392746284443539,0.340326294247655,0.020399077307991058
