hp_response_id,similarity_reference_A
HP2401,18
HP2402,9
HP2403,6
HP2404,2
HP2405,32
HP2406,10
HP2407,12
HP2408,5
HP2409,5
HP2410,19
HP2411,14
HP2412,13
HP2413,6
HP2414,6
HP2415,75
HP2416,10
HP2417,4
HP2418,6
HP2419,13
HP2420,13
HP2421,0
HP2422,9
HP2423,77
HP2424,8
HP2425,53
HP2426,2
HP2427,5
HP2428,8
HP2429,10
HP2430,10
HP2431,4
HP2432,6
HP2433,78
HP2434,48
HP2435,6
HP2436,6
HP2437,1
HP2438,5
HP2439,8
HP2440,13
HP2441,72
HP2442,8
HP2443,4
HP2444,4
HP2445,29
HP2446,2
HP2447,6
HP2448,11
HP2449,20
HP2450,6
HP2451,4
HP2452,8
HP2453,7
HP2454,2
HP2455,7
HP2456,13
HP2457,4
HP2458,55
HP2459,6
HP2460,1
HP2461,50
HP2462,8
HP2463,13
HP2464,8
HP2465,15
HP2466,6
HP2467,18
HP2468,49
HP2469,19
HP2470,12
HP2471,5
HP2472,8
HP2473,5
HP2474,3
HP2475,7
HP2476,15
HP2477,6
HP2478,3
HP2479,4
HP2480,45
HP2481,5
HP2482,15
HP2483,26
HP2484,7
HP2485,5
HP2486,5
HP2487,16
HP2488,5
HP2489,7
HP2490,1
HP2491,3
HP2492,5
HP2493,5
HP2494,6
HP2495,5
HP2496,13
HP2497,12
HP2498,3
HP2499,6
HP2500,6
HP2501,5
HP2502,5
HP2503,23
HP2504,5
HP2505,5
HP2506,3
HP2507,5
HP2508,7
HP2509,0
HP2510,65
HP2511,5
HP2512,3
HP2513,8
HP2514,10
HP2515,2
HP2516,28
HP2517,5
HP2518,9
HP2519,45
HP2520,6
HP2521,17
HP2522,13
HP2523,8
HP2524,15
HP2525,5
HP2526,12
HP2527,4
HP2528,5
HP2529,7
HP2530,30
HP2531,7
HP2532,3
HP2533,5
HP2534,8
HP2535,6
HP2536,5
HP2537,6
HP2538,11
HP2539,6
HP2540,5
HP2541,36
HP2542,35
HP2543,4
HP2544,1
HP2545,5
HP2546,41
HP2547,8
HP2548,4
HP2549,6
HP2550,76
HP2551,10
HP2552,5
HP2553,10
HP2554,7
HP2555,7
HP2556,7
HP2557,5
HP2558,7
HP2559,5
HP2560,1
HP2561,5
HP2562,7
HP2563,8
HP2564,10
HP2565,11
HP2566,1
HP2567,1
HP2568,4
HP2569,8
HP2570,4
HP2571,4
HP2572,5
HP2573,6
HP2574,5
HP2575,4
HP2576,4
HP2577,9
HP2578,6
HP2579,8
HP2580,4
HP2581,2
HP2582,1
HP2583,2
HP2584,9
HP2585,2
HP2586,2
HP2587,57
HP2588,37
HP2589,4
HP2590,6
HP2591,6
HP2592,18
HP2593,54
HP2594,24
HP2595,15
HP2596,4
HP2597,6
HP2598,15
HP2599,20
HP2600,5
HP2601,7
HP2602,30
HP2603,4
HP2604,12
HP2605,3
HP2606,8
HP2607,8
HP2608,6
HP2609,12
HP2610,11
HP2611,3
HP2612,5
HP2613,5
HP2614,2
HP2615,14
HP2616,7
HP2617,7
HP2618,14
HP2619,10
HP2620,8
HP2621,0
HP2622,4
HP2623,1
HP2624,18
HP2625,9
HP2626,11
HP2627,7
HP2628,3
HP2629,7
HP2630,8
HP2631,7
HP2632,40
HP2633,20
HP2634,3
HP2635,7
HP2636,8
HP2637,8
HP2638,7
HP2639,2
HP2640,3
HP2641,11
HP2642,30
HP2643,43
HP2644,13
HP2645,5
HP2646,10
HP2647,8
HP2648,5
HP2649,6
HP2650,6
HP2651,1
HP2652,9
HP2653,15
HP2654,1
HP2655,7
HP2656,48
HP2657,8
HP2658,1
HP2659,10
HP2660,3
HP2661,3
HP2662,23
HP2663,12
HP2664,48
HP2665,3
HP2666,6
HP2667,4
HP2668,2
HP2669,4
HP2670,6
HP2671,0
HP2672,12
HP2673,8
HP2674,12
HP2675,6
HP2676,2
HP2677,5
HP2678,34
HP2679,9
HP2680,6
HP2681,5
HP2682,10
HP2683,5
HP2684,3
HP2685,7
HP2686,2
HP2687,5
HP2688,11
HP2689,8
HP2690,22
HP2691,57
HP2692,7
HP2693,3
HP2694,3
HP2695,22
HP2696,6
HP2697,8
HP2698,6
HP2699,6
HP2700,8
HP2701,5
HP2702,8
HP2703,3
HP2704,29
HP2705,4
HP2706,3
HP2707,6
HP2708,3
HP2709,15
HP2710,5
HP2711,37
HP2712,4
HP2713,55
HP2714,16
HP2715,14
HP2716,5
HP2717,0
HP2718,8
HP2719,7
HP2720,6
HP2721,4
HP2722,46
HP2723,6
HP2724,5
HP2725,3
HP2726,6
HP2727,3
HP2728,7
HP2729,7
HP2730,6
HP2731,6
HP2732,8
HP2733,3
HP2734,8
HP2735,15
HP2736,6
HP2737,9
HP2738,4
HP2739,27
HP2740,11
HP2741,6
HP2742,3
HP2743,11
HP2744,3
HP2745,5
HP2746,5
HP2747,6
HP2748,15
HP2749,4
HP2750,8
HP2751,1
HP2752,7
HP2753,55
HP2754,5
HP2755,4
HP2756,5
HP2757,26
HP2758,6
HP2759,6
HP2760,6
HP2761,6
HP2762,4
HP2763,3
HP2764,25
HP2765,7
HP2766,38
HP2767,3
HP2768,19
HP2769,3
HP2770,9
HP2771,11
HP2772,10
HP2773,9
HP2774,2
HP2775,8
HP2776,3
HP2777,5
HP2778,7
HP2779,7
HP2780,6
HP2781,9
HP2782,3
HP2783,4
HP2784,6
HP2785,35
HP2786,15
HP2787,4
HP2788,5
HP2789,6
HP2790,4
HP2791,11
HP2792,6
HP2793,6
HP2794,2
HP2795,30
HP2796,5
HP2797,7
HP2798,15
HP2799,7
HP2800,5
