model,triplet,game,story,points
claude-opus-4-7,1,DG-KW,Bonus,40
claude-opus-4-7,1,DG-KW,Aid,60
claude-opus-4-7,1,DG-LT,Bonus,50
claude-opus-4-7,1,DG-LT,Aid,50
claude-opus-4-7,1,UG,Bonus,60
claude-opus-4-7,1,UG,Aid,40
claude-opus-4-7,1,TG,Bonus,65
claude-opus-4-7,1,TG,Aid,35
claude-opus-4-7,2,TG,Aid,40
claude-opus-4-7,2,TG,Bonus,60
claude-opus-4-7,2,UG,Aid,45
claude-opus-4-7,2,UG,Bonus,55
claude-opus-4-7,2,DG-LT,Aid,60
claude-opus-4-7,2,DG-LT,Bonus,40
claude-opus-4-7,2,DG-KW,Aid,50
claude-opus-4-7,2,DG-KW,Bonus,50
claude-opus-4-7,3,DG-LT,Aid,55
claude-opus-4-7,3,DG-LT,Bonus,45
claude-opus-4-7,3,DG-KW,Aid,45
claude-opus-4-7,3,DG-KW,Bonus,55
claude-opus-4-7,3,TG,Aid,40
claude-opus-4-7,3,TG,Bonus,60
claude-opus-4-7,3,UG,Aid,50
claude-opus-4-7,3,UG,Bonus,50
gpt-5.5-thinking,1,DG-KW,Bonus,48
gpt-5.5-thinking,1,DG-KW,Aid,52
gpt-5.5-thinking,1,DG-LT,Bonus,56
gpt-5.5-thinking,1,DG-LT,Aid,44
gpt-5.5-thinking,1,UG,Bonus,54
gpt-5.5-thinking,1,UG,Aid,46
gpt-5.5-thinking,1,TG,Bonus,58
gpt-5.5-thinking,1,TG,Aid,42
gpt-5.5-thinking,2,DG-KW,Bonus,55
gpt-5.5-thinking,2,DG-KW,Aid,45
gpt-5.5-thinking,2,DG-LT,Bonus,75
gpt-5.5-thinking,2,DG-LT,Aid,25
gpt-5.5-thinking,2,UG,Bonus,65
gpt-5.5-thinking,2,UG,Aid,35
gpt-5.5-thinking,2,TG,Bonus,70
gpt-5.5-thinking,2,TG,Aid,30
gpt-5.5-thinking,3,DG-KW,Bonus,80
gpt-5.5-thinking,3,DG-KW,Aid,20
gpt-5.5-thinking,3,DG-LT,Bonus,55
gpt-5.5-thinking,3,DG-LT,Aid,45
gpt-5.5-thinking,3,UG,Bonus,70
gpt-5.5-thinking,3,UG,Aid,30
gpt-5.5-thinking,3,TG,Bonus,65
gpt-5.5-thinking,3,TG,Aid,35
gemini-pro-3.1,1,DG-KW,Bonus,20
gemini-pro-3.1,1,DG-KW,Aid,80
gemini-pro-3.1,1,DG-LT,Bonus,30
gemini-pro-3.1,1,DG-LT,Aid,70
gemini-pro-3.1,1,UG,Bonus,75
gemini-pro-3.1,1,UG,Aid,25
gemini-pro-3.1,1,TG,Bonus,85
gemini-pro-3.1,1,TG,Aid,15
gemini-pro-3.1,2,DG-KW,Bonus,15
gemini-pro-3.1,2,DG-KW,Aid,85
gemini-pro-3.1,2,DG-LT,Bonus,30
gemini-pro-3.1,2,DG-LT,Aid,70
gemini-pro-3.1,2,UG,Bonus,60
gemini-pro-3.1,2,UG,Aid,40
gemini-pro-3.1,2,TG,Bonus,70
gemini-pro-3.1,2,TG,Aid,30
gemini-pro-3.1,3,DG-KW,Bonus,50
gemini-pro-3.1,3,DG-KW,Aid,50
gemini-pro-3.1,3,DG-LT,Bonus,50
gemini-pro-3.1,3,DG-LT,Aid,50
gemini-pro-3.1,3,UG,Bonus,70
gemini-pro-3.1,3,UG,Aid,30
gemini-pro-3.1,3,TG,Bonus,70
gemini-pro-3.1,3,TG,Aid,30
