subject_id,PROLIFIC_PID,source_study,game,Market,kw_dummy,treatment_cell,trial_order,actual_allocation_kept,actual_share_sent,actual_reason,actual_reason_category,actual_reason_category_num,b_S_vs_M,b_C_vs_M,n_substantive_hp,weight_M,weight_S,weight_C
market_control::kw::53a18b8ffdf99b79ca51df6e,53a18b8ffdf99b79ca51df6e,market_control,kw,1,1,kw_market,2,6.0,0.5,I think it best to meet in the middle then everyone wins,Moral,1,-0.4236297631347847,-0.7421646600853435,4,0.6042751173004051,0.30295375690012255,0.09277112579947239
market_control::kw::545f1e11fdf99b3156e7588b,545f1e11fdf99b3156e7588b,market_control,kw,1,1,kw_market,2,12.0,0.0,I haven't been given any information about why I should decrease my own price.,Self-interest,3,1.7737481743571708,-0.337949527659812,4,0.17948103027042048,0.7782736516925519,0.0422453180370276
market_control::kw::54a439f9fdf99b5010dca84e,54a439f9fdf99b5010dca84e,market_control,kw,1,1,kw_market,2,11.0,0.0833333333333333,to give a little back,Moral,1,-0.7741294111051655,1.1544989793370228,3,0.42706770271126715,0.15500884209912658,0.4179234551896063
market_control::kw::54ab0771fdf99b55c3f55227,54ab0771fdf99b55c3f55227,market_control,kw,1,1,kw_market,2,8.0,0.3333333333333333,I think it's only fair that the other participant gets something for their efforts but i feel like i deserve a little bit more.,Moral,1,-0.4236297631347847,-0.7421646600853435,4,0.6042751173004051,0.30295375690012255,0.09277112579947239
market_control::kw::54b60d74fdf99b1ce0367ab5,54b60d74fdf99b1ce0367ab5,market_control,kw,1,1,kw_market,1,9.5,0.2083333333333333,I didn't want to pick an amount that was too high because I didnt want it to be unfair,Moral,1,-1.119727452540171,-0.6454109161641152,3,0.7040554965238398,0.1778121198587273,0.11813238361743288
market_control::kw::55871e2efdf99b28762c4604,55871e2efdf99b28762c4604,market_control,kw,1,1,kw_market,2,12.0,0.0,I chose this price because I did not want to change the initial price.,No clear justification,0,-0.4820952897411686,-0.3416584925829943,1,0.5873362586209776,0.2787482843859977,0.13391545699302473
market_control::kw::559a78a5fdf99b76964a0ddd,559a78a5fdf99b76964a0ddd,market_control,kw,1,1,kw_market,1,9.0,0.25,I like the number three and thought why not pick that.,No clear justification,0,-0.4820952897411686,-0.3416584925829943,1,0.5873362586209776,0.2787482843859977,0.13391545699302473
market_control::kw::55b47001fdf99b615b12d66c,55b47001fdf99b615b12d66c,market_control,kw,1,1,kw_market,2,6.0,0.5,wanted us both to make some money,Mutual Benefit / Cooperation,2,-0.10173882954887792,-0.5751415481058965,3,0.5346763577127431,0.36808589364354605,0.09723774864371089
market_control::kw::55c913d1fdf99b526d9b8351,55c913d1fdf99b526d9b8351,market_control,kw,1,1,kw_market,2,6.0,0.5,"I just wanted to be fair. Answering the previous questions reminded me of times i felt overlooked or ignored at work, or not given the credit for something I did.",Moral,1,1.2022912859674815,0.7192297118507233,4,0.24019528965730164,0.5997078888899551,0.16009682145274334
market_control::kw::55eee81b9df9fe000efae1d4,55eee81b9df9fe000efae1d4,market_control,kw,1,1,kw_market,2,12.0,0.0,"If I'm selling data, I would want the best price",Self-interest,3,0.9909272381431925,-0.49705025404166203,4,0.31173264721138616,0.6261357443861264,0.062131608402487486
