hp_response_id,source_row,PROLIFIC_PID,treatment,allocation,memory,hp,social_proximity,sp_num,Market,category_num,category,classification_origin,similarity_dg_kw_control_rater_1,similarity_dg_kw_control_rater_2,similarity_dg_kw_control_rater_3,similarity_dg_kw_control_mean,similarity_dg_kw_market_rater_1,similarity_dg_kw_market_rater_2,similarity_dg_kw_market_rater_3,similarity_dg_kw_market_mean
HP0001,1,63ecfe7a1e5faf247a255ac2,kw,6.0,Buying someone food,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,52,58,52,54.0,12,18,24,18.0
HP0002,2,66421a683ec1aada2f687975,lt,4.0,Giving the person all your winnings and leaving yourself with 0 ,4,Abstract stranger,1,0,0,No clear justification,inherited_hpmin,84,82,82,82.66666666666667,24,24,25,24.333333333333332
HP0003,3,676a584412b90586c1da74a0,lt,8.0,"Receiving more Christmas toys, and I choose to give some to my sibling.",4,Friend,4,0,1,Moral,gpt_5_6_round7,70,69,64,67.66666666666667,13,15,22,16.666666666666668
HP0004,4,5d260d4255a29b0017698915,lt,6.0,Giving some money in charity.,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,58,67,58,61.0,10,12,20,14.0
HP0005,5,613f1ef31c08d695c689a53a,kw,6.0,If I was out with friends for drinks but I was drinking soft drinks that are less expensive whilst they were drinking more expensive alcohol but we split the bill evenly.  I would have paid more for less of the total.,4,Friend,4,0,1,Moral,gpt_5_6_round7,24,38,24,28.666666666666668,17,24,30,23.666666666666668
HP0006,6,6658b54fc00cad4526a6d01f,lt,8.0,I'm not sure why I would,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,5,5,6,5.333333333333333,2,1,3,2.0
HP0007,7,57ea425e5b88f5000106bb9f,kw,12.0,Giving to charity. ,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,56,66,57,59.666666666666664,9,12,20,13.666666666666666
HP0008,8,5cfebb94eafc4d001a62cbc9,lt,8.0,Paying for someone's coffee,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,53,57,48,52.666666666666664,13,18,26,19.0
HP0009,9,61112fb91e6eb028aa1ba59b,lt,10.0,giving to charity,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,56,66,57,59.666666666666664,9,12,20,13.666666666666666
HP0010,10,570570eb61ab6a0010d484d0,lt,7.0,Sharing money with a friend to be able to buy something they want,4,Friend,4,0,1,Moral,gpt_5_6_round7,57,67,61,61.666666666666664,18,19,25,20.666666666666668
HP0011,11,6658bf916039705479385d08,lt,4.0,Its similiar to splitting my time in half with another 2 people so they both get my time equally. ,4,Anonymous peer,2,0,1,Moral,inherited_hpmin,42,47,34,41.0,8,13,22,14.333333333333334
HP0012,12,677880f787ed7d2cfb6f7345,kw,9.0,Nothing,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,0,0,0,0.0,0,0,2,0.6666666666666666
HP0013,13,63bc87f783afb5aed2c937d2,lt,6.0,Giving a friend a little extra,4,Friend,4,0,1,Moral,gpt_5_6_round7,57,65,56,59.333333333333336,17,17,22,18.666666666666668
HP0014,14,6633a447cefc384785ec5e16,kw,6.0,being generous,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,44,45,42,43.666666666666664,8,6,17,10.333333333333334
HP0015,15,5a2c51740a1e6b00016952c8,kw,12.0,Offering something to someone who is worse off than me like giving to a charity,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,60,70,60,63.333333333333336,10,14,21,15.0
HP0016,16,5dfa56fddc265f7ac3bee209,kw,7.0,I find this similar to giving someone some birthday money.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,54,61,53,56.0,12,15,21,16.0
HP0017,17,60f2a2b4932fed5326988e0f,kw,6.0,I would find it similar to buying a coffee from a barista at starbucks.,4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,18,31,24,24.333333333333332,22,28,34,28.0
HP0018,18,5a8351038fe2dc000105efb4,lt,4.0,I find that similar to how my parents would treat me and my sibling - that we are treated the same. ,4,Friend,4,0,1,Moral,inherited_hpmin,38,53,45,45.333333333333336,6,8,15,9.666666666666666
HP0019,19,67709d0088d93adec607305e,kw,6.0,This sounds pretty generous to me because it's more than I would have at that point,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,32,29,35,32.0,10,5,15,10.0
HP0020,20,5b1ac052ea64a000017c389e,kw,6.0,Feeling ripped off or unfairly sharing costs for a shared expense ,4,Anonymous peer,2,0,1,Moral,gpt_5_6_round7,23,33,20,25.333333333333332,19,18,26,21.0
HP0021,21,67abb13cc30b930b97db75e7,kw,11.0,Giving away most of my money and not worrying abot it,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,72,73,68,71.0,20,18,19,19.0
HP0022,22,6287a355e0dbfe43e55850b7,kw,6.0,Sending money for part of a meal,4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,34,48,37,39.666666666666664,21,26,27,24.666666666666668
HP0023,23,5b6e9435885b0b0001bb034b,kw,9.5,Spotting a friend for gas,4,Friend,4,0,1,Moral,gpt_5_6_round7,48,58,48,51.333333333333336,17,21,25,21.0
HP0024,24,5e63e793e50a6316a75213c4,lt,8.0,I would find it similar to giving a homeless person $4 while walking around a city.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,64,70,62,65.33333333333333,14,14,22,16.666666666666668
HP0025,25,661ed0d24e9ed72f176f2dd3,kw,7.0,Splitting the cost of lunch with a friend if I ordered more food.,4,Friend,4,0,1,Moral,gpt_5_6_round7,27,42,31,33.333333333333336,18,26,31,25.0
HP0026,26,656b7ab2b685a43aae816c5e,lt,6.0,I find this similar to purchasing an item for $4 and transferring the money spent on the item to the other participant.,4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,25,49,51,41.666666666666664,27,33,36,32.0
HP0027,27,571fdcb14b8ecc0013c24fcb,kw,6.0,My friend passed more exams than me so got a bigger reward.,4,Friend,4,0,1,Moral,gpt_5_6_round7,30,34,27,30.333333333333332,15,23,18,18.666666666666668
HP0028,28,561bbdf9811d22000df3138a,kw,6.0,"Knowing that my partner was in a position that they needed the money more than me but I still needed some.  Maybe for Christmas presents or something like that, a situation where we both needed it but it was dispersed according to the level of need. ",4,Anonymous peer,2,0,1,Moral,gpt_5_6_round7,66,63,64,64.33333333333333,17,19,23,19.666666666666668
HP0029,29,63eba3f11d699385d1d4075d,kw,10.0,Too much. A person that gives more than they're able to. ,4,Abstract stranger,1,0,3,Self-interest,gpt_5_6_round7,44,42,45,43.666666666666664,14,9,16,13.0
HP0030,30,664b8bef90cdb799d4c4c35d,lt,7.0,I find it similar to sending a friend some money for food. ,4,Friend,4,0,1,Moral,gpt_5_6_round7,58,64,53,58.333333333333336,18,20,24,20.666666666666668
HP0031,31,63ea4301f63c1d26f0ff83e9,lt,4.0,I feel this is the way a good relationship should be with anyone. 50/50,4,Abstract stranger,1,0,1,Moral,inherited_hpmin,42,49,49,46.666666666666664,9,13,21,14.333333333333334
HP0032,32,6630e75a1f3d3083c3fd00fc,kw,6.0,This is similar to pitching in for a birthday present for a co-worker.,4,Teammate / coworker,3,0,1,Moral,gpt_5_6_round7,39,49,42,43.333333333333336,15,19,25,19.666666666666668
HP0033,33,5589ce75fdf99b18be3203d2,lt,6.0,I find it similar to donating money to a good cause.,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,59,67,58,61.333333333333336,10,13,20,14.333333333333334
HP0034,34,5f57c697f9f7d02d07909dbb,kw,6.0,I find it similar to the other day when I had 12 dollars and my friend needed 8 and I gave it to her.,4,Friend,4,0,1,Moral,gpt_5_6_round7,82,84,83,83.0,23,24,29,25.333333333333332
HP0035,35,5ff5f6c52171e10f72d3610c,lt,6.0,Donating a larger portion to someone in desperate need.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,66,72,61,66.33333333333333,13,15,20,16.0
HP0036,36,6785704c3b1ab8813a4958b0,kw,8.0,This is like buying a small gift for someone- a pair of socks for a friend.,4,Friend,4,0,1,Moral,gpt_5_6_round7,52,57,47,52.0,12,15,22,16.333333333333332
HP0037,37,6294ea804cdf1298eefa87ac,lt,12.0,It sounds like losing $4,4,No mention of recipient,0,0,3,Self-interest,gpt_5_6_round7,22,24,35,27.0,12,10,14,12.0
HP0038,38,5efbe3c91cb67519d2f20b7b,lt,6.0,The time around Christmas when you give gifts to others.,4,Friend,4,0,1,Moral,gpt_5_6_round7,48,58,46,50.666666666666664,9,12,20,13.666666666666666
HP0039,39,677495e069e5abd571445a65,kw,6.0,Paying tax to the goverment,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,20,30,24,24.666666666666668,13,17,27,19.0
HP0040,40,63c15473935ae0d7279b094f,kw,8.5,Helping someone be able to purchase something they haven't got enough for.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,58,63,56,59.0,16,20,24,20.0
HP0041,41,65abe8df479fdc244d1643b2,kw,6.0,donating to someone or something,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,57,68,55,60.0,9,12,20,13.666666666666666
HP0042,42,5ac6e74f9534ba0001c756d5,lt,6.0,Trading places with them.,4,Anonymous peer,2,0,0,No clear justification,gpt_5_6_round7,12,12,18,14.0,3,7,11,7.0
HP0043,43,5c3f2e175fe5c60001ffc302,lt,7.0,Giving to a charity,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,56,66,57,59.666666666666664,9,12,20,13.666666666666666
HP0044,44,5c83394a3e93bf0001e143d6,kw,12.0,Helping my friend prepare for an event that I plan to attend as a guest,4,Friend,4,0,1,Moral,gpt_5_6_round7,29,24,28,27.0,10,9,18,12.333333333333334
HP0045,45,5855b0d59fcc070001dfe2a7,lt,6.0,giving to charity,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,56,66,57,59.666666666666664,9,12,20,13.666666666666666
HP0046,46,5fff542aeed8c2065133114e,kw,10.0,"Paying bills, where it seems like you start with a lot of money and then it quickly vanishes.",4,No mention of recipient,0,0,3,Self-interest,gpt_5_6_round7,15,24,18,19.0,17,21,19,19.0
HP0047,47,605a943f4994cf6834e4e8c6,lt,6.0,My buddy asking me to buy him some food because he hasn't got paid yet this week. ,4,Friend,4,0,1,Moral,gpt_5_6_round7,55,61,55,57.0,17,21,25,21.0
HP0048,48,5b25b16e34ffd00001b43e24,kw,10.0,A situation where I am being altruistic and self-sacrificing.,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,52,57,51,53.333333333333336,10,6,19,11.666666666666666
HP0049,49,671fb7534780312b6355a4c1,kw,6.0,This is not even for both sides,4,Anonymous peer,2,0,0,No clear justification,gpt_5_6_round7,23,18,28,23.0,5,8,17,10.0
HP0050,50,60ddc62b071a009e0b0c2922,lt,6.0,Giving money to charity helping all those around you.,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,56,66,58,60.0,10,13,20,14.333333333333334
HP0051,51,5e87c385d43d19456f757328,kw,12.0,Being in the advantageous position (having all the money) and deciding to be generous.,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,80,78,71,76.33333333333333,18,16,25,19.666666666666668
HP0052,52,5bd4c1d09afb5b00015c5bdd,lt,6.0,Helping someone in line cover the extra cost of their bill at a grocery store.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,49,59,50,52.666666666666664,16,20,25,20.333333333333332
HP0053,53,6723fefd7a09fe9da8f9bd10,kw,6.0,That's a little more than I'm willing to give. I'd like to walk out even,4,Anonymous peer,2,0,3,Self-interest,gpt_5_6_round7,31,35,41,35.666666666666664,15,13,15,14.333333333333334
