model,triplet,game,story,rating
claude-opus-4-7,1,DG-KW,Bonus,85
claude-opus-4-7,1,DG-KW,Aid,82
claude-opus-4-7,1,DG-LT,Bonus,30
claude-opus-4-7,1,DG-LT,Aid,28
claude-opus-4-7,1,UG,Bonus,35
claude-opus-4-7,1,UG,Aid,20
claude-opus-4-7,1,TG,Bonus,15
claude-opus-4-7,1,TG,Aid,8
claude-opus-4-7,2,TG,Aid,15
claude-opus-4-7,2,TG,Bonus,15
claude-opus-4-7,2,UG,Aid,15
claude-opus-4-7,2,UG,Bonus,15
claude-opus-4-7,2,DG-LT,Aid,30
claude-opus-4-7,2,DG-LT,Bonus,30
claude-opus-4-7,2,DG-KW,Aid,85
claude-opus-4-7,2,DG-KW,Bonus,80
claude-opus-4-7,3,DG-LT,Aid,35
claude-opus-4-7,3,DG-LT,Bonus,30
claude-opus-4-7,3,DG-KW,Aid,85
claude-opus-4-7,3,DG-KW,Bonus,80
claude-opus-4-7,3,TG,Aid,10
claude-opus-4-7,3,TG,Bonus,10
claude-opus-4-7,3,UG,Aid,20
claude-opus-4-7,3,UG,Bonus,20
gpt-5.5-thinking,1,DG-KW,Bonus,90
gpt-5.5-thinking,1,DG-KW,Aid,84
gpt-5.5-thinking,1,DG-LT,Bonus,55
gpt-5.5-thinking,1,DG-LT,Aid,50
gpt-5.5-thinking,1,UG,Bonus,62
gpt-5.5-thinking,1,UG,Aid,58
gpt-5.5-thinking,1,TG,Bonus,24
gpt-5.5-thinking,1,TG,Aid,20
gpt-5.5-thinking,2,DG-KW,Bonus,99
gpt-5.5-thinking,2,DG-KW,Aid,96
gpt-5.5-thinking,2,DG-LT,Bonus,64
gpt-5.5-thinking,2,DG-LT,Aid,60
gpt-5.5-thinking,2,UG,Bonus,47
gpt-5.5-thinking,2,UG,Aid,42
gpt-5.5-thinking,2,TG,Bonus,26
gpt-5.5-thinking,2,TG,Aid,28
gpt-5.5-thinking,3,DG-KW,Bonus,98
gpt-5.5-thinking,3,DG-KW,Aid,91
gpt-5.5-thinking,3,DG-LT,Bonus,45
gpt-5.5-thinking,3,DG-LT,Aid,48
gpt-5.5-thinking,3,UG,Bonus,38
gpt-5.5-thinking,3,UG,Aid,34
gpt-5.5-thinking,3,TG,Bonus,15
gpt-5.5-thinking,3,TG,Aid,12
gemini-pro-3.1,1,DG-KW,Bonus,95
gemini-pro-3.1,1,DG-KW,Aid,95
gemini-pro-3.1,1,DG-LT,Bonus,65
gemini-pro-3.1,1,DG-LT,Aid,65
gemini-pro-3.1,1,UG,Bonus,25
gemini-pro-3.1,1,UG,Aid,25
gemini-pro-3.1,1,TG,Bonus,10
gemini-pro-3.1,1,TG,Aid,10
gemini-pro-3.1,2,DG-KW,Bonus,95
gemini-pro-3.1,2,DG-KW,Aid,95
gemini-pro-3.1,2,DG-LT,Bonus,60
gemini-pro-3.1,2,DG-LT,Aid,60
gemini-pro-3.1,2,UG,Bonus,30
gemini-pro-3.1,2,UG,Aid,30
gemini-pro-3.1,2,TG,Bonus,15
gemini-pro-3.1,2,TG,Aid,15
gemini-pro-3.1,3,DG-KW,Bonus,95
gemini-pro-3.1,3,DG-KW,Aid,100
gemini-pro-3.1,3,DG-LT,Bonus,40
gemini-pro-3.1,3,DG-LT,Aid,40
gemini-pro-3.1,3,UG,Bonus,20
gemini-pro-3.1,3,UG,Aid,20
gemini-pro-3.1,3,TG,Bonus,10
gemini-pro-3.1,3,TG,Aid,10
