t_id,text
T01,"In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. One of you will be assigned to be Player 1, and the other will be assigned to be Player 2.

Player 1 is provisionally allocated $12. Player 1 will have the chance to decide whether and how to change this original allocation.

After seeing the proposed allocation, Player 2 will decide whether to accept or reject it. If Player 2 accepts, the proposed allocation will be implemented. If Player 2 rejects, both players will receive $0.

Please choose how much of the $12 you would like to transfer to Player 2.

If the transfer is accepted, it will be implemented."
T02,"James was going through a rough financial patch. He struggled to make ends meet and had no savings left. One morning, he received an unexpected email from a government welfare agency he had applied to months ago. ""Congratulations! You have been selected for financial assistance. You will be receiving the full aid amount to help with your expenses.""

As James went to the agency to collect, he found Mark, a neighbor. He learned that Mark also applied but wasn't selected. Only James received the funds.

Now James faced a choice. Should he keep all the money for himself? James was tempted because he really needed the money, and Mark was just an acquaintance. Or should he give some of it to Mark, given that he was struggling? What should he do?

In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. One of you will be assigned to be Player 1, and the other will be assigned to be Player 2.

Player 1 will receive $6, and Player 2 will receive $0. Player 1 will decide how much of the $6 to send to Player 2. Any amount sent will be multiplied by 3 before being received by Player 2.

After receiving this amount, Player 2 will decide how much of it to send back to Player 1. The amount sent back will not be changed.

Please choose how much of the $6 you would like to send to Player 2. The remaining amount will be yours.

Any amount you send will be multiplied by 3 before being received by Player 2.

Player 2 will then decide how much of the amount received to send back to you."
T03,"Data – Instructions

In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. One of you will be assigned to be the data provider (producer), and the other will be assigned to be the broker (intermediary).

The data provider produces survey data through online questionnaires like the one you are in. The data provider has produced 6 units of data, each valued at $1 by the research team, for a total of $6.

If you are assigned the role of data provider, you will decide how many units to sell to the research team for $1 per unit, and how many units to transfer to the broker.

The broker has access to a specialized buyer who is willing to pay $3 per unit, so the broker's revenue is 3 times the number of units you send.

If you are assigned the role of broker, you sell the units received to the high-value buyer, and your revenue is three times the units of data sent to you. After the sale, as a broker you will decide whether and how much of the revenue to transfer back to the data provider.

Please choose how much of the $6 worth of data you would like to send to the broker. The remaining amount will be sold to the research team and you will cash in its value.

Any amount you send will be multiplied by 3 before being received by the broker and sold to the research team.

The broker will then decide how much of the revenue received to send back to you."
T04,"James was going through a rough financial patch. He struggled to make ends meet and had no savings left. One morning, he received an unexpected email from a government welfare agency he had applied to months ago. ""Congratulations! You have been selected for financial assistance. You will be receiving the full aid amount to help with your expenses.""

As James went to the agency to collect, he found Mark, a neighbor. He learned that Mark also applied but wasn't selected. Only James received the funds.

Now James faced a choice. Should he keep all the money for himself? James was tempted because he really needed the money, and Mark was just an acquaintance. Or should he give some of it to Mark, given that he was struggling? What should he do?

Allocation Task - Instructions

In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. You and your match are provisionally allocated a certain amount of dollars, adding to a total of $12. You will have the chance to decide whether and how to change this original allocation.

You were provisionally allocated $12. The other participant was provisionally allocated $0.

You have the option to make a transfer to the other participant. You can transfer any amount between $0 and $12."
T05,"Data Price – Instructions

In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. One of you will be assigned to be data provider (producer), and the other will be assigned to be broker (intermediary).

The data provider produces survey data through online questionnaires like the one you are in. A computer determines an initial price for your data. If you are assigned the role of data provider, you will have the opportunity to adjust this initial price before it is sent to the broker.

The broker can sell the data to the research team for a fixed price of $12.

After seeing the proposed price set by the data provider, the broker will decide whether to accept or reject it.

- If the broker accepts, the data will be sold for $12. - The data provider receives a bonus equal to the final price set. - The broker receives $12 from the research team, pays the provider the set price, and keeps the difference. - If the broker rejects, the sale does not take place and both participants receive $0.

The computer selected a starting price of $12.

You may change the price by any amount between -$12 and $0. A negative change means that you decrease the price.

If the price is accepted by the broker, the sale will be implemented."
T06,"Allocation Task - Instructions

In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. You and your match are provisionally allocated a certain amount of dollars, adding to a total of $12. You will have the chance to decide whether and how to change this original allocation.

You were provisionally allocated $12. The other participant was provisionally allocated $0.

You have the option to make a transfer to the other participant. You can transfer any amount between $0 and $12."
T07,"After weeks of intense preparation, Steve was thrilled to learn that his team was awarded a performance bonus for exceeding their sales target. The recognition felt satisfying—a tangible reward for the long hours he'd poured into work and the many nights he'd stayed late fine-tuning his pitch. The director called Steve to discuss the bonus and said: ""You guys did great. Since you are the team leader, the full bonus is allocated to you. However, you may choose to give a portion to your teammate Max if you wish. The final decision is yours.""

Now Steve faced a choice. He could keep the full bonus, as initially allocated. Or he could give some to Max, knowing that Max made a significant contribution to the team's success. What should he do?

In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. One of you will be assigned to be Player 1, and the other will be assigned to be Player 2.

Player 1 is provisionally allocated $12. Player 1 will have the chance to decide whether and how to change this original allocation.

After seeing the proposed allocation, Player 2 will decide whether to accept or reject it. If Player 2 accepts, the proposed allocation will be implemented. If Player 2 rejects, both players will receive $0.

Please choose how much of the $12 you would like to transfer to Player 2.

If the transfer is accepted, it will be implemented."
T08,"After weeks of intense preparation, Steve was thrilled to learn that his team was awarded a performance bonus for exceeding their sales target. The recognition felt satisfying—a tangible reward for the long hours he'd poured into work and the many nights he'd stayed late fine-tuning his pitch. The director called Steve to discuss the bonus and said: ""You guys did great. Since you are the team leader, the full bonus is allocated to you. However, you may choose to give a portion to your teammate Max if you wish. The final decision is yours.""

Now Steve faced a choice. He could keep the full bonus, as initially allocated. Or he could give some to Max, knowing that Max made a significant contribution to the team's success. What should he do?

In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. One of you will be assigned to be Player 1, and the other will be assigned to be Player 2.

Player 1 will receive $6, and Player 2 will receive $0. Player 1 will decide how much of the $6 to send to Player 2. Any amount sent will be multiplied by 3 before being received by Player 2.

After receiving this amount, Player 2 will decide how much of it to send back to Player 1. The amount sent back will not be changed.

Please choose how much of the $6 you would like to send to Player 2. The remaining amount will be yours.

Any amount you send will be multiplied by 3 before being received by Player 2.

Player 2 will then decide how much of the amount received to send back to you."
T09,"In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. One of you will be assigned to be Player 1, and the other will be assigned to be Player 2.

Player 1 will receive $6, and Player 2 will receive $0. Player 1 will decide how much of the $6 to send to Player 2. Any amount sent will be multiplied by 3 before being received by Player 2.

After receiving this amount, Player 2 will decide how much of it to send back to Player 1. The amount sent back will not be changed.

Please choose how much of the $6 you would like to send to Player 2. The remaining amount will be yours.

Any amount you send will be multiplied by 3 before being received by Player 2.

Player 2 will then decide how much of the amount received to send back to you."
T10,"In this task, you are matched with another Prolific participant. You will never know the identity of the person with whom you are paired, and this person will never know your identity. You take the role of data provider (producer), and the other participant takes the role of broker (intermediary). As a data provider, you produce survey data through online questionnaires like the one you are in. A computer will randomly determine an initial price for your data. You will then have the opportunity to adjust this price before it is sent to the broker.

The broker will sell your data to the research team for a fixed price of $12. You will receive the final price you set.

- The data provider (you) receives a bonus payment equal to the final price you set. - The broker receives $12 from the research team for the sold data and pays the provider the set price, keeping the difference.

The computer selected a starting price of $12 for the data.

You may change the price by any amount between -$12 and $0. A negative change means that you decrease the price."
