set,context,vignette_id,points
1,C-LT,ML5,6
1,C-LT,CH6,0
1,C-LT,CH5,0
1,C-LT,CH4,0
1,C-LT,SH4,0
1,C-LT,MH6,2
1,C-LT,MH4,15
1,C-LT,CL5,0
1,C-LT,SL2,0
1,C-LT,CL3,0
1,C-LT,SH3,1
1,C-LT,SL6,0
1,C-LT,SH8,0
1,C-LT,ML8,5
1,C-LT,CH2,0
1,C-LT,SL5,0
1,C-LT,ML4,3
1,C-LT,CL8,0
1,C-LT,SH6,0
1,C-LT,SL1,1
1,C-LT,MH3,2
1,C-LT,SL8,0
1,C-LT,CH8,0
1,C-LT,SH7,0
1,C-LT,CL4,0
1,C-LT,SL4,0
1,C-LT,ML1,6
1,C-LT,MH1,6
1,C-LT,MH8,8
1,C-LT,ML2,12
1,C-LT,CL2,0
1,C-LT,ML7,8
1,C-LT,SH1,2
1,C-LT,CH1,0
1,C-LT,ML3,8
1,C-LT,CH7,0
1,C-LT,CH3,0
1,C-LT,SL7,0
1,C-LT,CL6,0
1,C-LT,MH7,5
1,C-LT,SL3,0
1,C-LT,SH5,0
1,C-LT,MH5,5
1,C-LT,ML6,3
1,C-LT,CL1,0
1,C-LT,SH2,0
1,C-LT,MH2,2
1,C-LT,CL7,0
1,C-UG,ML5,6
1,C-UG,CH6,0
1,C-UG,CH5,0
1,C-UG,CH4,0
1,C-UG,SH4,0
1,C-UG,MH6,2
1,C-UG,MH4,14
1,C-UG,CL5,0
1,C-UG,SL2,0
1,C-UG,CL3,1
1,C-UG,SH3,1
1,C-UG,SL6,0
1,C-UG,SH8,0
1,C-UG,ML8,5
1,C-UG,CH2,0
1,C-UG,SL5,0
1,C-UG,ML4,3
1,C-UG,CL8,0
1,C-UG,SH6,0
1,C-UG,SL1,1
1,C-UG,MH3,2
1,C-UG,SL8,0
1,C-UG,CH8,0
1,C-UG,SH7,1
1,C-UG,CL4,0
1,C-UG,SL4,0
1,C-UG,ML1,6
1,C-UG,MH1,5
1,C-UG,MH8,8
1,C-UG,ML2,10
1,C-UG,CL2,0
1,C-UG,ML7,7
1,C-UG,SH1,2
1,C-UG,CH1,0
1,C-UG,ML3,8
1,C-UG,CH7,0
1,C-UG,CH3,0
1,C-UG,SL7,0
1,C-UG,CL6,0
1,C-UG,MH7,5
1,C-UG,SL3,0
1,C-UG,SH5,0
1,C-UG,MH5,4
1,C-UG,ML6,2
1,C-UG,CL1,0
1,C-UG,SH2,0
1,C-UG,MH2,1
1,C-UG,CL7,0
1,BONUS,ML5,12
1,BONUS,CH6,0
1,BONUS,CH5,0
1,BONUS,CH4,0
1,BONUS,SH4,0
1,BONUS,MH6,1
1,BONUS,MH4,4
1,BONUS,CL5,0
1,BONUS,SL2,0
1,BONUS,CL3,0
1,BONUS,SH3,0
1,BONUS,SL6,0
1,BONUS,SH8,0
1,BONUS,ML8,9
1,BONUS,CH2,0
1,BONUS,SL5,0
1,BONUS,ML4,2
1,BONUS,CL8,0
1,BONUS,SH6,0
1,BONUS,SL1,0
1,BONUS,MH3,1
1,BONUS,SL8,0
1,BONUS,CH8,0
1,BONUS,SH7,0
1,BONUS,CL4,0
1,BONUS,SL4,0
1,BONUS,ML1,5
1,BONUS,MH1,10
1,BONUS,MH8,10
1,BONUS,ML2,6
1,BONUS,CL2,0
1,BONUS,ML7,8
1,BONUS,SH1,0
1,BONUS,CH1,0
1,BONUS,ML3,4
1,BONUS,CH7,0
1,BONUS,CH3,0
1,BONUS,SL7,0
1,BONUS,CL6,0
1,BONUS,MH7,12
1,BONUS,SL3,0
1,BONUS,SH5,0
1,BONUS,MH5,14
1,BONUS,ML6,1
1,BONUS,CL1,0
1,BONUS,SH2,0
1,BONUS,MH2,1
1,BONUS,CL7,0
1,M-UG,ML5,1
1,M-UG,CH6,0
1,M-UG,CH5,0
1,M-UG,CH4,1
1,M-UG,SH4,7
1,M-UG,MH6,1
1,M-UG,MH4,1
1,M-UG,CL5,0
1,M-UG,SL2,0
1,M-UG,CL3,0
1,M-UG,SH3,13
1,M-UG,SL6,3
1,M-UG,SH8,11
1,M-UG,ML8,1
1,M-UG,CH2,0
1,M-UG,SL5,1
1,M-UG,ML4,0
1,M-UG,CL8,0
1,M-UG,SH6,11
1,M-UG,SL1,0
1,M-UG,MH3,0
1,M-UG,SL8,3
1,M-UG,CH8,0
1,M-UG,SH7,7
1,M-UG,CL4,4
1,M-UG,SL4,8
1,M-UG,ML1,0
1,M-UG,MH1,0
1,M-UG,MH8,0
1,M-UG,ML2,0
1,M-UG,CL2,0
1,M-UG,ML7,0
1,M-UG,SH1,2
1,M-UG,CH1,0
1,M-UG,ML3,0
1,M-UG,CH7,2
1,M-UG,CH3,0
1,M-UG,SL7,1
1,M-UG,CL6,0
1,M-UG,MH7,1
1,M-UG,SL3,10
1,M-UG,SH5,5
1,M-UG,MH5,0
1,M-UG,ML6,0
1,M-UG,CL1,0
1,M-UG,SH2,1
1,M-UG,MH2,0
1,M-UG,CL7,2
1,C-KW,ML5,7
1,C-KW,CH6,0
1,C-KW,CH5,0
1,C-KW,CH4,0
1,C-KW,SH4,0
1,C-KW,MH6,2
1,C-KW,MH4,14
1,C-KW,CL5,0
1,C-KW,SL2,0
1,C-KW,CL3,0
1,C-KW,SH3,1
1,C-KW,SL6,0
1,C-KW,SH8,0
1,C-KW,ML8,6
1,C-KW,CH2,0
1,C-KW,SL5,0
1,C-KW,ML4,3
1,C-KW,CL8,0
1,C-KW,SH6,0
1,C-KW,SL1,1
1,C-KW,MH3,2
1,C-KW,SL8,0
1,C-KW,CH8,0
1,C-KW,SH7,0
1,C-KW,CL4,0
1,C-KW,SL4,0
1,C-KW,ML1,6
1,C-KW,MH1,6
1,C-KW,MH8,8
1,C-KW,ML2,10
1,C-KW,CL2,0
1,C-KW,ML7,8
1,C-KW,SH1,1
1,C-KW,CH1,0
1,C-KW,ML3,8
1,C-KW,CH7,0
1,C-KW,CH3,0
1,C-KW,SL7,0
1,C-KW,CL6,0
1,C-KW,MH7,6
1,C-KW,SL3,0
1,C-KW,SH5,0
1,C-KW,MH5,6
1,C-KW,ML6,2
1,C-KW,CL1,0
1,C-KW,SH2,0
1,C-KW,MH2,2
1,C-KW,CL7,0
1,AID,ML5,2
1,AID,CH6,0
1,AID,CH5,0
1,AID,CH4,0
1,AID,SH4,0
1,AID,MH6,7
1,AID,MH4,8
1,AID,CL5,0
1,AID,SL2,0
1,AID,CL3,0
1,AID,SH3,0
1,AID,SL6,0
1,AID,SH8,0
1,AID,ML8,2
1,AID,CH2,0
1,AID,SL5,0
1,AID,ML4,10
1,AID,CL8,0
1,AID,SH6,0
1,AID,SL1,3
1,AID,MH3,4
1,AID,SL8,0
1,AID,CH8,0
1,AID,SH7,0
1,AID,CL4,0
1,AID,SL4,0
1,AID,ML1,11
1,AID,MH1,4
1,AID,MH8,4
1,AID,ML2,6
1,AID,CL2,0
1,AID,ML7,4
1,AID,SH1,1
1,AID,CH1,0
1,AID,ML3,15
1,AID,CH7,0
1,AID,CH3,0
1,AID,SL7,0
1,AID,CL6,0
1,AID,MH7,2
1,AID,SL3,0
1,AID,SH5,0
1,AID,MH5,3
1,AID,ML6,7
1,AID,CL1,0
1,AID,SH2,0
1,AID,MH2,7
1,AID,CL7,0
1,C-TG,ML5,0
1,C-TG,CH6,4
1,C-TG,CH5,4
1,C-TG,CH4,5
1,C-TG,SH4,4
1,C-TG,MH6,0
1,C-TG,MH4,1
1,C-TG,CL5,4
1,C-TG,SL2,1
1,C-TG,CL3,6
1,C-TG,SH3,0
1,C-TG,SL6,2
1,C-TG,SH8,1
1,C-TG,ML8,0
1,C-TG,CH2,5
1,C-TG,SL5,2
1,C-TG,ML4,1
1,C-TG,CL8,3
1,C-TG,SH6,1
1,C-TG,SL1,2
1,C-TG,MH3,1
1,C-TG,SL8,2
1,C-TG,CH8,4
1,C-TG,SH7,1
1,C-TG,CL4,7
1,C-TG,SL4,3
1,C-TG,ML1,0
1,C-TG,MH1,0
1,C-TG,MH8,0
1,C-TG,ML2,0
1,C-TG,CL2,4
1,C-TG,ML7,0
1,C-TG,SH1,2
1,C-TG,CH1,4
1,C-TG,ML3,0
1,C-TG,CH7,3
1,C-TG,CH3,6
1,C-TG,SL7,2
1,C-TG,CL6,3
1,C-TG,MH7,0
1,C-TG,SL3,1
1,C-TG,SH5,1
1,C-TG,MH5,0
1,C-TG,ML6,0
1,C-TG,CL1,5
1,C-TG,SH2,1
1,C-TG,MH2,1
1,C-TG,CL7,4
1,M-TG,ML5,0
1,M-TG,CH6,3
1,M-TG,CH5,2
1,M-TG,CH4,4
1,M-TG,SH4,3
1,M-TG,MH6,0
1,M-TG,MH4,0
1,M-TG,CL5,3
1,M-TG,SL2,1
1,M-TG,CL3,3
1,M-TG,SH3,1
1,M-TG,SL6,4
1,M-TG,SH8,1
1,M-TG,ML8,0
1,M-TG,CH2,4
1,M-TG,SL5,2
1,M-TG,ML4,1
1,M-TG,CL8,2
1,M-TG,SH6,6
1,M-TG,SL1,1
1,M-TG,MH3,1
1,M-TG,SL8,5
1,M-TG,CH8,3
1,M-TG,SH7,1
1,M-TG,CL4,11
1,M-TG,SL4,5
1,M-TG,ML1,0
1,M-TG,MH1,0
1,M-TG,MH8,0
1,M-TG,ML2,0
1,M-TG,CL2,2
1,M-TG,ML7,0
1,M-TG,SH1,1
1,M-TG,CH1,3
1,M-TG,ML3,0
1,M-TG,CH7,4
1,M-TG,CH3,3
1,M-TG,SL7,2
1,M-TG,CL6,3
