classification_id,category_num,classification_origin
WCLS04317,1,gpt_5_6_subagent_rowwise
WCLS04318,1,gpt_5_6_subagent_rowwise
WCLS04319,0,gpt_5_6_subagent_rowwise
WCLS04320,1,gpt_5_6_subagent_rowwise
WCLS04321,1,gpt_5_6_subagent_rowwise
WCLS04322,0,gpt_5_6_subagent_rowwise
WCLS04323,1,gpt_5_6_subagent_rowwise
WCLS04324,0,gpt_5_6_subagent_rowwise
WCLS04325,0,gpt_5_6_subagent_rowwise
WCLS04326,0,gpt_5_6_subagent_rowwise
WCLS04327,1,gpt_5_6_subagent_rowwise
WCLS04328,0,gpt_5_6_subagent_rowwise
WCLS04329,1,gpt_5_6_subagent_rowwise
WCLS04330,0,gpt_5_6_subagent_rowwise
WCLS04331,1,gpt_5_6_subagent_rowwise
WCLS04332,1,gpt_5_6_subagent_rowwise
WCLS04333,1,gpt_5_6_subagent_rowwise
WCLS04334,1,gpt_5_6_subagent_rowwise
WCLS04335,1,gpt_5_6_subagent_rowwise
WCLS04336,1,gpt_5_6_subagent_rowwise
WCLS04337,1,gpt_5_6_subagent_rowwise
WCLS04338,1,gpt_5_6_subagent_rowwise
WCLS04339,0,gpt_5_6_subagent_rowwise
WCLS04340,1,gpt_5_6_subagent_rowwise
WCLS04341,1,gpt_5_6_subagent_rowwise
WCLS04342,0,gpt_5_6_subagent_rowwise
WCLS04343,1,gpt_5_6_subagent_rowwise
WCLS04344,1,gpt_5_6_subagent_rowwise
WCLS04345,1,gpt_5_6_subagent_rowwise
WCLS04346,0,gpt_5_6_subagent_rowwise
WCLS04347,1,gpt_5_6_subagent_rowwise
WCLS04348,3,gpt_5_6_subagent_rowwise
WCLS04349,1,gpt_5_6_subagent_rowwise
WCLS04350,0,gpt_5_6_subagent_rowwise
WCLS04351,0,gpt_5_6_subagent_rowwise
WCLS04352,3,gpt_5_6_subagent_rowwise
WCLS04353,0,gpt_5_6_subagent_rowwise
WCLS04354,1,gpt_5_6_subagent_rowwise
WCLS04355,1,gpt_5_6_subagent_rowwise
WCLS04356,2,gpt_5_6_subagent_rowwise
WCLS04357,1,gpt_5_6_subagent_rowwise
WCLS04358,1,gpt_5_6_subagent_rowwise
WCLS04359,1,gpt_5_6_subagent_rowwise
WCLS04360,1,gpt_5_6_subagent_rowwise
WCLS04361,0,gpt_5_6_subagent_rowwise
WCLS04362,3,gpt_5_6_subagent_rowwise
WCLS04363,0,gpt_5_6_subagent_rowwise
WCLS04364,1,gpt_5_6_subagent_rowwise
WCLS04365,0,gpt_5_6_subagent_rowwise
WCLS04366,0,gpt_5_6_subagent_rowwise
WCLS04367,0,gpt_5_6_subagent_rowwise
WCLS04368,0,gpt_5_6_subagent_rowwise
WCLS04369,3,gpt_5_6_subagent_rowwise
WCLS04370,1,gpt_5_6_subagent_rowwise
WCLS04371,3,gpt_5_6_subagent_rowwise
