within_hp_id,source_study,source_row,PROLIFIC_PID,subject_id,game,Market,trial_order,anchor_allocation_kept,memory_source_column,memory,kw_dummy,market_x_kw,treatment_cell,anchor_share_sent,memory_key,actual_allocation_kept,actual_share_sent,actual_reason,actual_reason_category,actual_reason_category_num,category_num,category,classification_origin
WHP00001,control_kwlt,507,543e5938fdf99b73557f2136,control_kwlt::543e5938fdf99b73557f2136,lt,0,1,4.0,memory_lt_$4,More fair,0,0,lt_control,0.6666666666666666,more fair,6.0,0.5,It felt the fairest,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00002,control_kwlt,507,543e5938fdf99b73557f2136,control_kwlt::543e5938fdf99b73557f2136,lt,0,1,6.0,memory_lt_$2,A small meaningless gesture,0,0,lt_control,0.5,a small meaningless gesture,6.0,0.5,It felt the fairest,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00003,control_kwlt,507,543e5938fdf99b73557f2136,control_kwlt::543e5938fdf99b73557f2136,lt,0,1,8.0,memory_lt_$0,Being cowardly,0,0,lt_control,0.3333333333333333,being cowardly,6.0,0.5,It felt the fairest,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00004,control_kwlt,507,543e5938fdf99b73557f2136,control_kwlt::543e5938fdf99b73557f2136,lt,0,1,12.0,memory_lt_-$4,Being unfair; stealing,0,0,lt_control,0.0,being unfair; stealing,6.0,0.5,It felt the fairest,Moral,1,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00005,control_kwlt,507,543e5938fdf99b73557f2136,control_kwlt::543e5938fdf99b73557f2136,kw,0,2,4.0,memory_kw_$8,Being generous,1,0,kw_control,0.6666666666666666,being generous,6.0,0.5,It was fair,Moral,1,1,Moral,inherited_gpt_5_6_between
WHP00006,control_kwlt,507,543e5938fdf99b73557f2136,control_kwlt::543e5938fdf99b73557f2136,kw,0,2,6.0,memory_kw_$6,Being fair,1,0,kw_control,0.5,being fair,6.0,0.5,It was fair,Moral,1,1,Moral,inherited_gpt_5_6_between
WHP00007,control_kwlt,507,543e5938fdf99b73557f2136,control_kwlt::543e5938fdf99b73557f2136,kw,0,2,8.0,memory_kw_$4,A worthless gesture,1,0,kw_control,0.3333333333333333,a worthless gesture,6.0,0.5,It was fair,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00008,control_kwlt,507,543e5938fdf99b73557f2136,control_kwlt::543e5938fdf99b73557f2136,kw,0,2,12.0,memory_kw_$0,Being unfair,1,0,kw_control,0.0,being unfair,6.0,0.5,It was fair,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00009,control_kwlt,570,54f844c0fdf99b2bd032e149,control_kwlt::54f844c0fdf99b2bd032e149,kw,0,1,4.0,memory_kw_$8,It feels like I'm giving a gift.,1,0,kw_control,0.6666666666666666,it feels like i'm giving a gift.,6.0,0.5,"This is a windfall; neither of us has earned the money, so it is only fair that the funds be shared equally.",Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00010,control_kwlt,570,54f844c0fdf99b2bd032e149,control_kwlt::54f844c0fdf99b2bd032e149,kw,0,1,6.0,memory_kw_$6,It feels like someone has done the bulk of some work and I am paying them for having done it.,1,0,kw_control,0.5,it feels like someone has done the bulk of some work and i am paying them for having done it.,6.0,0.5,"This is a windfall; neither of us has earned the money, so it is only fair that the funds be shared equally.",Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00011,control_kwlt,570,54f844c0fdf99b2bd032e149,control_kwlt::54f844c0fdf99b2bd032e149,kw,0,1,8.0,memory_kw_$4,It feels similar to paying someone for completing a job or task.,1,0,kw_control,0.3333333333333333,it feels similar to paying someone for completing a job or task.,6.0,0.5,"This is a windfall; neither of us has earned the money, so it is only fair that the funds be shared equally.",Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00012,control_kwlt,570,54f844c0fdf99b2bd032e149,control_kwlt::54f844c0fdf99b2bd032e149,kw,0,1,12.0,memory_kw_$0,It feels like passing a homeless person and not giving any money despite having plenty to share.,1,0,kw_control,0.0,it feels like passing a homeless person and not giving any money despite having plenty to share.,6.0,0.5,"This is a windfall; neither of us has earned the money, so it is only fair that the funds be shared equally.",Moral,1,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00013,control_kwlt,570,54f844c0fdf99b2bd032e149,control_kwlt::54f844c0fdf99b2bd032e149,lt,0,2,4.0,memory_lt_$4,Tax breaks for the rich - sharing the general services equally despite what people might already have.,0,0,lt_control,0.6666666666666666,tax breaks for the rich - sharing the general services equally despite what people might already have.,6.0,0.5,"Again, the funds were allocated at random and/or as a windfall, so nobody is 'entitled' to anything. The only fair outcome is a fair outcome - everyone ends with the same amount.",Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00014,control_kwlt,570,54f844c0fdf99b2bd032e149,control_kwlt::54f844c0fdf99b2bd032e149,lt,0,2,6.0,memory_lt_$2,"Sharing food e.g., at a family meal so that everyone has the same amount.",0,0,lt_control,0.5,"sharing food e.g., at a family meal so that everyone has the same amount.",6.0,0.5,"Again, the funds were allocated at random and/or as a windfall, so nobody is 'entitled' to anything. The only fair outcome is a fair outcome - everyone ends with the same amount.",Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00015,control_kwlt,570,54f844c0fdf99b2bd032e149,control_kwlt::54f844c0fdf99b2bd032e149,lt,0,2,8.0,memory_lt_$0,Not sharing your fries with a friend who had a smaller meal but is still hungry.,0,0,lt_control,0.3333333333333333,not sharing your fries with a friend who had a smaller meal but is still hungry.,6.0,0.5,"Again, the funds were allocated at random and/or as a windfall, so nobody is 'entitled' to anything. The only fair outcome is a fair outcome - everyone ends with the same amount.",Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00016,control_kwlt,570,54f844c0fdf99b2bd032e149,control_kwlt::54f844c0fdf99b2bd032e149,lt,0,2,12.0,memory_lt_-$4,Charging for goods or services.,0,0,lt_control,0.0,charging for goods or services.,6.0,0.5,"Again, the funds were allocated at random and/or as a windfall, so nobody is 'entitled' to anything. The only fair outcome is a fair outcome - everyone ends with the same amount.",Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00017,control_kwlt,63,55999e94fdf99b37246adab5,control_kwlt::55999e94fdf99b37246adab5,lt,0,1,4.0,memory_lt_$4,they went over and beyond to help me,0,0,lt_control,0.6666666666666666,they went over and beyond to help me,6.0,0.5,i didnt want them to miss out but i dont know them so didnt want to give more,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00018,control_kwlt,63,55999e94fdf99b37246adab5,control_kwlt::55999e94fdf99b37246adab5,lt,0,1,6.0,memory_lt_$2,they held a door open for me,0,0,lt_control,0.5,they held a door open for me,6.0,0.5,i didnt want them to miss out but i dont know them so didnt want to give more,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00019,control_kwlt,63,55999e94fdf99b37246adab5,control_kwlt::55999e94fdf99b37246adab5,lt,0,1,8.0,memory_lt_$0,they didnt do anything,0,0,lt_control,0.3333333333333333,they didnt do anything,6.0,0.5,i didnt want them to miss out but i dont know them so didnt want to give more,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00020,control_kwlt,63,55999e94fdf99b37246adab5,control_kwlt::55999e94fdf99b37246adab5,lt,0,1,12.0,memory_lt_-$4,when someone owes you money and didn't give it to you so next time you undercharge them for not giving you the money back,0,0,lt_control,0.0,when someone owes you money and didn't give it to you so next time you undercharge them for not giving you the money back,6.0,0.5,i didnt want them to miss out but i dont know them so didnt want to give more,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
