v_id,text
V01,"Camilla and Federico can undertake a joint project. Camilla can send project funds to Federico, who uses them to generate 300% returns and then chooses how much to send back. Camilla sees a terrific opportunity to generate high joint returns, so she sends a large share of the funds. Federico generates the extra returns and sends a substantial payment back to Camilla, so they both benefit from the investment."
V02,"An online marketplace assigns a sales rebate to a selling firm and allows it to transfer any part of the rebate to the buyer. The seller's manager decides to keep all the rebate, to maximize her firm's earnings."
V03,"Nicola can send part of his funds to Beatrice for a project that generates 300% returns, after which Beatrice chooses how much to pay back. Nicola is worried that Beatrice might pay him nothing, so, to protect his own payoff, he sends only a small amount. Beatrice generates the extra returns and sends a payment back to Nicola, so they both gain from the investment."
V04,"David receives some travel credits from a travel agency. He thinks whether to give some to his employee, Laura, but decides to keep them all to himself. The credits were given to him and he values them quite a bit."
V05,"Firm A must set the price for its product for a final good producer, Firm B. The firm sets a high price, leaving a small but positive margin for B. Firm B does not accept, as the margin is considered too small."
V06,"Firm A receives a payment from an online platform. It must now decide how much to send to Firm B, which can reinvest at a 300% return. Firm A says that sending half of the initial payment is fair. Firm B invests the money and returns a sizable share to Firm A, so both firms gain from the investment."
V07,"Anna receives a set of meal vouchers and must decide how many to keep and how many to give to Marco. She says that, since both of them have the same need for meals, the fair choice is to divide the vouchers equally."
V08,"Chiara and Stefano have access to a set of production credits, but only if they agree on a division. Chiara argues that this is a great profit opportunity for both, and proposes to reap it with an equal split with Stefano. Stefano accepts and the credits are distributed."
V09,"Firm A must set the price for its product for a final good producer, Firm B. The firm sets a high price, leaving a small but positive margin for B. Firm B accepts, because some margin is better than none."
V10,"Two firms can undertake a joint project, but first they need to agree on how to split future profits. One firm argues that this is a terrific opportunity for both, so proposes an equal split. The other firm accepts, and they undertake the project and split the profits."
V11,"Firms A and B are matched anonymously on an online platform for a one-time project. Firm A can send part of its funds to Firm B, which uses them to generate 300% returns and then chooses how much to pay back. Firm A is worried that Firm B might pay nothing back, so, to protect its own payoff, it sends only a small amount. Firm B generates the extra returns and sends a payment back to Firm A, so they both gain from the investment."
V12,"Luca and Giulia can receive a set of event credits if they agree on a division. Luca values the credit very much, and proposes to keep most to for himself leaving just a few to Giulia, to make sure she accepts. Giulia still decides to reject the proposal, so the credits are lost."
V13,"An online platform gives a bonus to Firm A subject on A's input supplier, Firm B, accepting the giveaway. Firm A assesses that an equal split is fair, and B accepts it. The bonus is thus distributed to the firms."
V14,"An online platform gives a bonus to Firm A subject on A's input supplier, Firm B, accepting the giveaway. Firm A assesses that an equal split is fair, but B does not accept it. Thus, the bonus is lost."
V15,"A local theater offers some concert credits to two friends, Elena and Paolo, who must jointly decide whether to accept the credits. Elena proposes a 50:50 split arguing it's the fair outcome. Paolo does not accept the offer, so the credits are lost."
V16,"Camilla and Federico can undertake a joint project. Camilla can send project funds to Federico, who uses them to generate 300% returns and then chooses how much to send back. Camilla sees a terrific opportunity to generate high joint returns, so she sends a large share of the funds. Federico generates the extra returns but sends nothing back to Camilla, so he only benefits from the investment."
V17,"Firms A and B are matched on an online platform for a one-time project. The platform pays the project's reward to Firm A, which alone decides how much of it to transfer to Firm B. Firm A transfers a substantial share to B so that both can benefit from the return of their joint work."
