model,set,task,context,item_id,points
claude,1,retrieval,C-UG,S3,3
claude,1,retrieval,C-UG,C7,2
claude,1,retrieval,C-UG,M1,8
claude,1,retrieval,C-UG,C2,2
claude,1,retrieval,C-UG,S8,3
claude,1,retrieval,C-UG,M6,12
claude,1,retrieval,C-UG,C4,4
claude,1,retrieval,C-UG,S1,2
claude,1,retrieval,C-UG,M8,6
claude,1,retrieval,C-UG,C1,1
claude,1,retrieval,C-UG,S5,2
claude,1,retrieval,C-UG,M3,5
claude,1,retrieval,C-UG,C8,1
claude,1,retrieval,C-UG,S2,1
claude,1,retrieval,C-UG,M7,7
claude,1,retrieval,C-UG,C5,1
claude,1,retrieval,C-UG,S6,3
claude,1,retrieval,C-UG,M2,8
claude,1,retrieval,C-UG,C3,1
claude,1,retrieval,C-UG,S7,1
claude,1,retrieval,C-UG,M4,16
claude,1,retrieval,C-UG,C6,4
claude,1,retrieval,C-UG,S4,2
claude,1,retrieval,C-UG,M5,5
claude,1,retrieval,BONUS,S3,1
claude,1,retrieval,BONUS,C7,1
claude,1,retrieval,BONUS,M1,34
claude,1,retrieval,BONUS,C2,1
claude,1,retrieval,BONUS,S8,0
claude,1,retrieval,BONUS,M6,8
claude,1,retrieval,BONUS,C4,0
claude,1,retrieval,BONUS,S1,1
claude,1,retrieval,BONUS,M8,15
claude,1,retrieval,BONUS,C1,2
claude,1,retrieval,BONUS,S5,0
claude,1,retrieval,BONUS,M3,4
claude,1,retrieval,BONUS,C8,0
claude,1,retrieval,BONUS,S2,1
claude,1,retrieval,BONUS,M7,12
claude,1,retrieval,BONUS,C5,0
claude,1,retrieval,BONUS,S6,0
claude,1,retrieval,BONUS,M2,9
claude,1,retrieval,BONUS,C3,0
claude,1,retrieval,BONUS,S7,1
claude,1,retrieval,BONUS,M4,6
claude,1,retrieval,BONUS,C6,1
claude,1,retrieval,BONUS,S4,0
claude,1,retrieval,BONUS,M5,3
claude,1,retrieval,M-KW,S3,2
claude,1,retrieval,M-KW,C7,3
claude,1,retrieval,M-KW,M1,8
claude,1,retrieval,M-KW,C2,3
claude,1,retrieval,M-KW,S8,3
claude,1,retrieval,M-KW,M6,9
claude,1,retrieval,M-KW,C4,8
claude,1,retrieval,M-KW,S1,3
claude,1,retrieval,M-KW,M8,8
claude,1,retrieval,M-KW,C1,2
claude,1,retrieval,M-KW,S5,3
claude,1,retrieval,M-KW,M3,5
claude,1,retrieval,M-KW,C8,1
claude,1,retrieval,M-KW,S2,2
claude,1,retrieval,M-KW,M7,6
claude,1,retrieval,M-KW,C5,1
claude,1,retrieval,M-KW,S6,8
claude,1,retrieval,M-KW,M2,5
claude,1,retrieval,M-KW,C3,1
claude,1,retrieval,M-KW,S7,2
claude,1,retrieval,M-KW,M4,6
claude,1,retrieval,M-KW,C6,8
claude,1,retrieval,M-KW,S4,2
claude,1,retrieval,M-KW,M5,5
claude,1,retrieval,C-TG,S3,1
claude,1,retrieval,C-TG,C7,9
claude,1,retrieval,C-TG,M1,1
claude,1,retrieval,C-TG,C2,13
claude,1,retrieval,C-TG,S8,1
claude,1,retrieval,C-TG,M6,3
claude,1,retrieval,C-TG,C4,12
claude,1,retrieval,C-TG,S1,5
claude,1,retrieval,C-TG,M8,1
claude,1,retrieval,C-TG,C1,9
claude,1,retrieval,C-TG,S5,1
claude,1,retrieval,C-TG,M3,1
claude,1,retrieval,C-TG,C8,10
claude,1,retrieval,C-TG,S2,3
claude,1,retrieval,C-TG,M7,1
claude,1,retrieval,C-TG,C5,8
claude,1,retrieval,C-TG,S6,4
claude,1,retrieval,C-TG,M2,1
claude,1,retrieval,C-TG,C3,9
claude,1,retrieval,C-TG,S7,2
claude,1,retrieval,C-TG,M4,1
claude,1,retrieval,C-TG,C6,11
claude,1,retrieval,C-TG,S4,1
claude,1,retrieval,C-TG,M5,2
claude,1,retrieval,AID,S3,1
claude,1,retrieval,AID,C7,1
claude,1,retrieval,AID,M1,9
claude,1,retrieval,AID,C2,1
claude,1,retrieval,AID,S8,0
claude,1,retrieval,AID,M6,8
claude,1,retrieval,AID,C4,0
claude,1,retrieval,AID,S1,1
claude,1,retrieval,AID,M8,13
claude,1,retrieval,AID,C1,0
claude,1,retrieval,AID,S5,1
claude,1,retrieval,AID,M3,10
claude,1,retrieval,AID,C8,0
claude,1,retrieval,AID,S2,2
claude,1,retrieval,AID,M7,15
claude,1,retrieval,AID,C5,0
claude,1,retrieval,AID,S6,0
claude,1,retrieval,AID,M2,12
claude,1,retrieval,AID,C3,0
claude,1,retrieval,AID,S7,1
claude,1,retrieval,AID,M4,16
claude,1,retrieval,AID,C6,0
claude,1,retrieval,AID,S4,1
claude,1,retrieval,AID,M5,8
claude,1,retrieval,M-UG,S3,2
claude,1,retrieval,M-UG,C7,3
claude,1,retrieval,M-UG,M1,7
claude,1,retrieval,M-UG,C2,3
claude,1,retrieval,M-UG,S8,4
claude,1,retrieval,M-UG,M6,8
claude,1,retrieval,M-UG,C4,9
claude,1,retrieval,M-UG,S1,3
claude,1,retrieval,M-UG,M8,7
claude,1,retrieval,M-UG,C1,2
claude,1,retrieval,M-UG,S5,4
claude,1,retrieval,M-UG,M3,4
claude,1,retrieval,M-UG,C8,1
claude,1,retrieval,M-UG,S2,2
claude,1,retrieval,M-UG,M7,5
claude,1,retrieval,M-UG,C5,1
claude,1,retrieval,M-UG,S6,9
claude,1,retrieval,M-UG,M2,4
claude,1,retrieval,M-UG,C3,1
claude,1,retrieval,M-UG,S7,1
claude,1,retrieval,M-UG,M4,5
claude,1,retrieval,M-UG,C6,9
claude,1,retrieval,M-UG,S4,3
claude,1,retrieval,M-UG,M5,3
claude,1,retrieval,C-KW,S3,1
claude,1,retrieval,C-KW,C7,1
claude,1,retrieval,C-KW,M1,9
claude,1,retrieval,C-KW,C2,1
claude,1,retrieval,C-KW,S8,1
claude,1,retrieval,C-KW,M6,10
claude,1,retrieval,C-KW,C4,1
claude,1,retrieval,C-KW,S1,1
claude,1,retrieval,C-KW,M8,10
claude,1,retrieval,C-KW,C1,1
claude,1,retrieval,C-KW,S5,1
claude,1,retrieval,C-KW,M3,9
claude,1,retrieval,C-KW,C8,1
claude,1,retrieval,C-KW,S2,1
claude,1,retrieval,C-KW,M7,11
claude,1,retrieval,C-KW,C5,1
claude,1,retrieval,C-KW,S6,1
claude,1,retrieval,C-KW,M2,11
claude,1,retrieval,C-KW,C3,1
claude,1,retrieval,C-KW,S7,1
claude,1,retrieval,C-KW,M4,15
claude,1,retrieval,C-KW,C6,1
claude,1,retrieval,C-KW,S4,1
claude,1,retrieval,C-KW,M5,8
claude,1,retrieval,M-TG,S3,1
claude,1,retrieval,M-TG,C7,9
claude,1,retrieval,M-TG,M1,1
claude,1,retrieval,M-TG,C2,13
claude,1,retrieval,M-TG,S8,1
claude,1,retrieval,M-TG,M6,2
claude,1,retrieval,M-TG,C4,12
claude,1,retrieval,M-TG,S1,5
claude,1,retrieval,M-TG,M8,1
claude,1,retrieval,M-TG,C1,9
claude,1,retrieval,M-TG,S5,1
claude,1,retrieval,M-TG,M3,1
claude,1,retrieval,M-TG,C8,10
claude,1,retrieval,M-TG,S2,2
claude,1,retrieval,M-TG,M7,1
claude,1,retrieval,M-TG,C5,8
claude,1,retrieval,M-TG,S6,4
claude,1,retrieval,M-TG,M2,1
claude,1,retrieval,M-TG,C3,9
claude,1,retrieval,M-TG,S7,1
claude,1,retrieval,M-TG,M4,1
claude,1,retrieval,M-TG,C6,12
claude,1,retrieval,M-TG,S4,1
claude,1,retrieval,M-TG,M5,1
claude,1,retrieval,C-LT,S3,2
claude,1,retrieval,C-LT,C7,1
claude,1,retrieval,C-LT,M1,9
claude,1,retrieval,C-LT,C2,1
claude,1,retrieval,C-LT,S8,1
claude,1,retrieval,C-LT,M6,9
claude,1,retrieval,C-LT,C4,1
claude,1,retrieval,C-LT,S1,3
claude,1,retrieval,C-LT,M8,10
claude,1,retrieval,C-LT,C1,1
claude,1,retrieval,C-LT,S5,2
claude,1,retrieval,C-LT,M3,8
claude,1,retrieval,C-LT,C8,1
claude,1,retrieval,C-LT,S2,2
claude,1,retrieval,C-LT,M7,11
claude,1,retrieval,C-LT,C5,1
claude,1,retrieval,C-LT,S6,1
claude,1,retrieval,C-LT,M2,11
claude,1,retrieval,C-LT,C3,1
claude,1,retrieval,C-LT,S7,2
claude,1,retrieval,C-LT,M4,13
claude,1,retrieval,C-LT,C6,1
claude,1,retrieval,C-LT,S4,2
claude,1,retrieval,C-LT,M5,6
claude,1,retrieval,M-LT,S3,2
claude,1,retrieval,M-LT,C7,3
claude,1,retrieval,M-LT,M1,7
