hp_response_id,category_num
HP0001,1
HP0003,1
HP0004,1
HP0005,1
HP0006,0
HP0007,1
HP0008,1
HP0009,1
HP0010,1
HP0012,0
HP0013,1
HP0014,1
HP0015,1
HP0016,1
HP0017,0
HP0019,1
HP0020,1
HP0021,1
HP0022,0
HP0023,1
HP0024,1
HP0025,1
HP0026,0
HP0027,1
HP0028,1
HP0029,3
HP0030,1
HP0032,1
HP0033,1
HP0034,1
HP0035,1
HP0036,1
HP0037,3
HP0038,1
HP0039,0
HP0040,1
HP0041,1
HP0042,0
HP0043,1
HP0044,1
HP0045,1
HP0046,3
HP0047,1
HP0048,1
HP0049,0
HP0050,1
HP0051,1
HP0052,1
HP0053,3
HP0054,1
HP0055,1
HP0056,1
HP0057,1
HP0058,1
HP0059,0
HP0060,1
HP0061,1
HP0062,0
HP0063,1
HP0064,1
HP0065,1
HP0066,1
HP0067,0
HP0068,1
HP0069,1
HP0070,1
HP0071,1
HP0072,1
HP0073,1
HP0074,1
HP0075,1
HP0076,3
HP0077,0
HP0079,1
HP0080,1
HP0081,0
HP0082,1
HP0083,1
HP0084,1
HP0085,1
HP0086,0
HP0087,1
HP0088,0
HP0089,1
HP0090,0
HP0091,1
HP0092,1
HP0093,0
HP0094,0
HP0095,1
HP0096,1
HP0097,1
HP0098,1
HP0099,1
HP0100,1
HP0101,3
HP0102,1
HP0103,1
HP0104,1
HP0105,1
HP0106,1
HP0107,0
HP0108,0
HP0109,1
HP0110,1
HP0112,0
HP0113,1
HP0114,1
HP0115,1
HP0116,0
HP0117,2
HP0118,0
HP0119,0
HP0120,1
HP0121,0
HP0122,3
HP0123,0
HP0124,1
HP0125,1
HP0126,0
HP0127,0
HP0128,1
HP0129,1
HP0130,1
HP0132,0
HP0133,1
HP0134,0
HP0135,0
HP0136,1
HP0137,0
HP0138,1
HP0139,1
HP0140,1
HP0141,1
HP0142,1
HP0143,1
HP0144,1
HP0145,1
HP0146,1
HP0147,1
HP0148,1
HP0149,1
HP0150,1
HP0151,1
HP0152,1
HP0153,1
HP0154,1
HP0155,1
HP0156,1
HP0157,1
HP0158,1
HP0159,0
HP0160,1
HP0161,1
HP0162,1
HP0163,1
HP0164,1
HP0165,1
HP0166,1
HP0167,1
HP0168,0
HP0169,1
HP0170,1
HP0171,1
HP0172,1
HP0173,1
HP0174,1
HP0175,1
HP0176,1
HP0177,1
HP0178,3
HP0179,1
HP0180,0
HP0181,1
HP0182,0
HP0183,1
HP0184,1
HP0185,1
HP0186,1
HP0187,1
HP0188,0
HP0189,1
HP0190,3
HP0192,1
HP0193,1
HP0194,1
HP0195,1
HP0196,1
HP0197,1
HP0198,1
HP0199,0
HP0200,0
HP0201,1
HP0202,1
HP0203,1
HP0204,0
HP0205,1
HP0206,3
HP0207,0
HP0208,1
HP0209,1
HP0210,1
HP0211,1
HP0212,1
HP0213,1
HP0214,1
HP0215,1
HP0216,1
HP0217,0
HP0218,1
HP0219,1
HP0221,1
HP0222,1
HP0223,1
HP0224,1
HP0225,0
HP0226,0
HP0227,1
HP0228,1
HP0229,1
HP0230,0
HP0231,1
HP0232,0
HP0233,1
HP0234,1
HP0235,0
HP0236,1
HP0237,1
HP0238,1
HP0239,1
HP0240,1
HP0241,1
HP0242,1
HP0243,1
HP0244,1
HP0245,1
HP0246,1
HP0247,1
HP0248,1
HP0249,1
HP0251,1
HP0252,1
HP0253,1
HP0254,3
HP0255,1
HP0256,1
HP0257,1
HP0258,1
HP0259,1
HP0260,0
HP0261,1
HP0262,1
HP0263,1
HP0264,1
HP0266,1
HP0267,0
HP0268,1
HP0269,1
HP0270,1
HP0271,1
HP0272,1
HP0273,1
HP0274,1
HP0275,1
HP0276,1
HP0278,1
HP0279,0
HP0280,1
HP0281,1
HP0282,1
HP0283,1
HP0284,1
HP0285,1
HP0287,0
HP0288,0
HP0289,1
HP0291,1
HP0292,0
HP0293,1
HP0294,1
HP0295,1
HP0296,1
HP0297,1
HP0298,1
HP0301,1
HP0302,1
HP0303,0
HP0304,1
HP0305,0
HP0306,1
HP0307,1
HP0308,1
HP0309,1
HP0310,1
HP0311,1
HP0312,3
HP0313,0
HP0314,1
HP0315,1
HP0316,0
HP0317,1
HP0319,1
HP0320,1
HP0321,1
HP0322,1
HP0323,1
HP0324,0
HP0325,0
HP0326,1
HP0327,1
HP0328,1
HP0329,1
HP0330,1
HP0332,1
HP0333,1
HP0334,1
HP0335,1
HP0336,1
HP0337,1
HP0338,1
HP0339,0
HP0340,1
HP0341,1
HP0342,0
HP0343,1
HP0344,1
HP0345,0
HP0346,1
HP0347,1
HP0348,1
HP0349,1
HP0350,0
HP0351,0
HP0352,1
HP0354,1
HP0355,0
HP0356,1
HP0357,1
HP0358,1
HP0359,1
HP0360,1
HP0361,0
HP0362,1
HP0363,0
HP0364,3
HP0365,1
HP0366,1
HP0367,0
HP0368,1
HP0369,0
HP0370,1
HP0371,1
HP0372,1
HP0373,1
HP0374,0
HP0375,1
HP0376,1
HP0377,1
HP0378,1
HP0379,1
HP0380,1
HP0381,0
HP0382,1
HP0383,1
HP0384,1
HP0385,1
HP0386,1
HP0387,0
HP0388,1
HP0389,1
HP0390,1
HP0391,0
HP0392,1
HP0393,1
HP0394,1
HP0395,1
HP0396,1
HP0397,1
HP0398,1
HP0399,0
HP0400,1
HP0402,1
HP0403,1
HP0406,0
HP0407,1
HP0408,1
HP0409,1
HP0411,1
HP0412,1
HP0415,1
HP0418,1
HP0421,1
HP0423,1
HP0424,1
HP0425,1
HP0429,1
HP0430,1
HP0431,1
HP0436,1
HP0437,3
