hp_response_id,similarity_reference_A
HP0401,57
HP0402,50
HP0403,70
HP0404,62
HP0405,43
HP0406,5
HP0407,44
HP0408,61
HP0409,65
HP0410,40
HP0411,55
HP0412,41
HP0413,45
HP0414,53
HP0415,47
HP0416,80
HP0417,70
HP0418,45
HP0419,67
HP0420,48
HP0421,49
HP0422,60
HP0423,57
HP0424,43
HP0425,42
HP0426,57
HP0427,46
HP0428,72
HP0429,27
HP0430,68
HP0431,35
HP0432,31
HP0433,67
HP0434,85
HP0435,60
HP0436,56
HP0437,22
HP0438,53
HP0439,45
HP0440,79
HP0441,51
HP0442,38
HP0443,66
HP0444,68
HP0445,59
HP0446,43
HP0447,55
HP0448,53
HP0449,46
HP0450,67
HP0451,61
HP0452,36
HP0453,43
HP0454,57
HP0455,41
HP0456,57
HP0457,34
HP0458,68
HP0459,41
HP0460,56
HP0461,65
HP0462,63
HP0463,27
HP0464,56
HP0465,43
HP0466,43
HP0467,68
HP0468,49
HP0469,57
HP0470,66
HP0471,57
HP0472,51
HP0473,42
HP0474,56
HP0475,76
HP0476,55
HP0477,57
HP0478,65
HP0479,49
HP0480,65
HP0481,66
HP0482,39
HP0483,38
HP0484,42
HP0485,45
HP0486,36
HP0487,79
HP0488,41
HP0489,44
HP0490,56
HP0491,51
HP0492,28
HP0493,63
HP0494,57
HP0495,50
HP0496,58
HP0497,66
HP0498,80
HP0499,66
HP0500,41
HP0501,64
HP0502,62
HP0503,53
HP0504,61
HP0505,63
HP0506,43
HP0507,55
HP0508,73
HP0509,64
HP0510,55
HP0511,15
HP0512,46
HP0513,43
HP0514,68
HP0515,59
HP0516,41
HP0517,67
HP0518,61
HP0519,66
HP0520,61
HP0521,32
HP0522,45
HP0523,26
HP0524,50
HP0525,65
HP0526,67
HP0527,22
HP0528,68
HP0529,66
HP0530,65
HP0531,43
HP0532,15
HP0533,50
HP0534,39
HP0535,39
HP0536,66
HP0537,27
HP0538,55
HP0539,65
HP0540,62
HP0541,41
HP0542,48
HP0543,44
HP0544,57
HP0545,21
HP0546,64
HP0547,18
HP0548,66
HP0549,54
HP0550,52
HP0551,67
HP0552,62
HP0553,50
HP0554,58
HP0555,44
HP0556,62
HP0557,41
HP0558,45
HP0559,73
HP0560,43
HP0561,49
HP0562,54
HP0563,0
HP0564,69
HP0565,44
HP0566,43
HP0567,54
HP0568,14
HP0569,81
HP0570,71
HP0571,30
HP0572,12
HP0573,62
HP0574,43
HP0575,43
HP0576,50
HP0577,63
HP0578,71
HP0579,68
HP0580,41
HP0581,49
HP0582,3
HP0583,36
HP0584,41
HP0585,63
HP0586,30
HP0587,60
HP0588,59
HP0589,40
HP0590,56
HP0591,64
HP0592,43
HP0593,69
HP0594,18
HP0595,55
HP0596,63
HP0597,38
HP0598,45
HP0599,19
HP0600,28
HP0601,43
HP0602,60
HP0603,42
HP0604,28
HP0605,42
HP0606,15
HP0607,40
HP0608,50
HP0609,44
HP0610,57
HP0611,82
HP0612,68
HP0613,67
HP0614,66
HP0615,61
HP0616,62
HP0617,65
HP0618,56
HP0619,64
HP0620,60
HP0621,65
HP0622,66
HP0623,43
HP0624,65
HP0625,66
HP0626,28
HP0627,52
HP0628,68
HP0629,58
HP0630,59
HP0631,66
HP0632,32
HP0633,65
HP0634,41
HP0635,58
HP0636,54
HP0637,58
HP0638,61
HP0639,62
HP0640,60
HP0641,59
HP0642,53
HP0643,44
HP0644,61
HP0645,56
HP0646,49
HP0647,58
HP0648,44
HP0649,50
HP0650,36
HP0651,53
HP0652,69
HP0653,45
HP0654,55
HP0655,35
HP0656,57
HP0657,49
HP0658,51
HP0659,66
HP0660,43
HP0661,77
HP0662,76
HP0663,64
HP0664,63
HP0665,41
HP0666,66
HP0667,64
HP0668,44
HP0669,53
HP0670,62
HP0671,39
HP0672,67
HP0673,72
HP0674,50
HP0675,44
HP0676,41
HP0677,3
HP0678,43
HP0679,40
HP0680,65
HP0681,44
HP0682,62
HP0683,68
HP0684,33
HP0685,64
HP0686,62
HP0687,14
HP0688,80
HP0689,49
HP0690,35
HP0691,57
HP0692,64
HP0693,52
HP0694,52
HP0695,60
HP0696,68
HP0697,66
HP0698,42
HP0699,49
HP0700,41
HP0701,39
HP0702,61
HP0703,39
HP0704,64
HP0705,64
HP0706,34
HP0707,61
HP0708,18
HP0709,58
HP0710,28
HP0711,60
HP0712,58
HP0713,69
HP0714,56
HP0715,60
HP0716,40
HP0717,59
HP0718,52
HP0719,48
HP0720,65
HP0721,59
HP0722,42
HP0723,41
HP0724,46
HP0725,29
HP0726,4
HP0727,67
HP0728,44
HP0729,59
HP0730,35
HP0731,43
HP0732,76
HP0733,64
HP0734,65
HP0735,61
HP0736,82
HP0737,57
HP0738,60
HP0739,42
HP0740,53
HP0741,61
HP0742,54
HP0743,45
HP0744,82
HP0745,12
HP0746,62
HP0747,73
HP0748,59
HP0749,42
HP0750,57
HP0751,28
HP0752,66
HP0753,46
HP0754,21
HP0755,41
HP0756,58
HP0757,49
HP0758,68
HP0759,68
HP0760,65
HP0761,36
HP0762,43
HP0763,48
HP0764,51
HP0765,68
HP0766,60
HP0767,31
HP0768,46
HP0769,40
HP0770,10
HP0771,42
HP0772,41
HP0773,68
HP0774,33
HP0775,55
HP0776,43
HP0777,41
HP0778,42
HP0779,76
HP0780,60
HP0781,6
HP0782,42
HP0783,53
HP0784,31
HP0785,56
HP0786,49
HP0787,2
HP0788,74
HP0789,44
HP0790,55
HP0791,42
HP0792,42
HP0793,65
HP0794,68
HP0795,41
HP0796,57
HP0797,47
HP0798,41
HP0799,43
HP0800,51
